"","Median","low-CI","high-CI","p-value"
"Puccinia graminis",-0.20948089962423,-0.251547277850337,-0.167497109282574,5.20469027330932e-22
"Puccinia sorghi",-0.427362670165731,-0.479272785493398,-0.375667080232934,3.70747949473501e-58
"Malassezia globosa",-0.504496869116361,-0.568178744757051,-0.43992758603309,2.13845672674791e-47
"Malassezia restricta",-0.215383147464031,-0.317220789590296,-0.113167579114108,4.29318769248148e-05
"Malassezia sympodialis",0.341248259639084,0.258691595929939,0.42448675688559,6.23088800979925e-16
"Malassezia vespertilionis",-0.0394852590961905,-0.0998167091392821,0.020530963444478,0.195649445309267
"Tilletiaria anomala",0.217411662961473,0.168674105209646,0.265309649656393,2.37610580655741e-18
"Ceraceosorus bombacis",0.240842257020421,0.188378811244886,0.293243559388674,4.26395576405737e-19
"Tilletia controversa",0.951556063340868,0.786718474524987,1.14779785686419,5.17162479053336e-42
"Tilletia walkeri",-0.11497701977929,-0.225083048343487,-0.00395273133616606,0.0424151217166833
"Tilletia indica",-0.162008976914626,-0.232555119628924,-0.0917262264442318,6.11565854102167e-06
"Tilletia caries",0.0143959195768865,-0.0651192796709207,0.103031316405142,0.724712980070886
"Violaceomyces palustris",-0.0688730764570486,-0.131548305730813,-0.00634725698456237,0.0305634922617946
"Testicularia cyperi",0.703974746583616,0.635992569045915,0.772315929140648,2.31640793058055e-86
"Pseudozyma hubeiensis",0.33870577164499,0.271813767076463,0.405880293393383,1.29524843162118e-22
"Kalmanozyma brasiliensis",0.155814803953694,0.0945474722458953,0.21742936877895,6.07901998929193e-07
"Moesziomyces aphidis",0.450767858006287,0.333195555803373,0.56823115883997,2.11260572460404e-13
"Moesziomyces antarcticus",0.836239802683245,0.738508166392136,0.935493570595296,1.46830334743532e-59
"Ustilago hordei",-0.0666693448580041,-0.140931913635184,0.00700075432524699,0.0764036114974527
"Ustilago bromivora",0.602469216239855,0.491295565158509,0.716320501070654,5.81192803729928e-28
"Ustilago maydis",0.380056295587939,0.325128189697197,0.434203993578862,3.15818557529477e-39
"Anthracocystis flocculosa",0.648602918085862,0.590723113151749,0.706917120572038,6.63527937001763e-96
"Sporisorium graminicola",0.0186088654408718,-0.0444490807854808,0.0817365815368622,0.561012004061307
"Sporisorium reilianum",0.788975140834611,0.731967326630308,0.845736963856886,1.15752710549398e-137
"Dacryopinax primogenitus",0.360324281023593,0.299579842698029,0.420803272029839,1.87428803226462e-30
"Calocera viscosa",0.649104498855384,0.591745653394239,0.706366376456338,7.31442581389712e-97
"Calocera cornea",0.121776816912352,0.0746592093075265,0.168698416912334,4.66694130155538e-07
"Xanthophyllomyces dendrorhous",0.134888678316281,0.0763877532451102,0.19384402887148,5.87268086843539e-06
"Trichosporon asahii",0.707782190766835,0.648238238135179,0.76757427200626,1.71844519745336e-100
"Naematelia encephala",0.0790993216830251,-0.00788028383661699,0.16704958484719,0.0746857570728779
"Tremella mesenterica",0.227105308610024,0.169058949828502,0.2846241243222,3.15272941607901e-14
"Kwoniella heveanensis",0.441119925107555,0.366759358422858,0.5158538479352,2.77057288764263e-30
"Kwoniella bestiolae",-0.448813560482402,-0.507714425896884,-0.390300797118941,1.62355560753105e-49
"Kwoniella dejecticola",0.0711280023003449,0.00828108850602358,0.133972097300768,0.0261917548654229
"Kwoniella pini",-0.449800143213291,-0.507156693686887,-0.39316973305353,4.83031872655303e-52
"Kwoniella mangrovensis",0.12237694856741,0.0361945512323458,0.227979118619405,0.00384180620620688
"Cryptococcus wingfieldii",0.218860672737525,0.117451942723209,0.321608945084154,2.45476389347014e-05
"Cryptococcus amylolentus",0.228055471985481,0.163263781305292,0.335564477104513,3.95066994923764e-26
"Cryptococcus gattii VGII",0.0384298548022733,0.000385338811856801,0.0779127026302947,0.0478275970926111
"Cryptococcus gattii VGIII",-1.09710038369659,-1.41992950633075,-0.848843485268798,5.74336075025363e-51
"Cryptococcus gattii VGIV",-0.203499727585558,-0.351832007824495,-0.0612417730181022,0.00447156118490681
"Cryptococcus gattii VGI",-0.00187293006924262,-0.0118717016450987,0.00809936838717837,0.712474206206833
"Cryptococcus depauperatus",-0.256755560607478,-0.323214656688621,-0.191414509445156,5.12673601451753e-15
"Cryptococcus neoformans",-0.0400253967716645,-0.103229849823607,0.023832666833729,0.22359227986324
"Sphaerobolus stellatus",-0.103120912886921,-0.135350900037618,-0.0710530193968423,2.57748877263949e-10
"Punctularia strigosozonata",-0.0277569383584497,-0.0808967129502438,0.0255535998008606,0.308197688906057
"Gloeophyllum trabeum",0.126113682726802,0.0711530279988031,0.181614762409221,6.56419333221288e-06
"Neolentinus lepideus",-0.217755671880135,-0.266281632341988,-0.169011415698307,2.01545106348334e-18
"Sistotremastrum niveocremeum",-0.0513050299418576,-0.129958536071346,0.026950855039261,0.198613757518165
"Sistotremastrum suecicum",0.0341335262871658,-0.0355527082468352,0.103537821212261,0.334937358861267
"Serendipita vermifera",-0.110828168241621,-0.163562554134091,-0.0587183416032216,2.96949928982706e-05
"Serendipita indica",-0.273652360901716,-0.333066811757213,-0.214584043876179,1.8145852952618e-19
"Exidia glandulosa",0.280414039127464,0.239654713962028,0.320946047210355,2.47704644970716e-39
"Schizopora paradoxa",-0.396014312969707,-0.442875440273563,-0.349480481206013,1.18619288147131e-59
"Fomitiporia mediterranea",-0.46667007572211,-0.510472269464874,-0.422781327967743,7.16675671163873e-90
"Pyrrhoderma noxium",-0.151729566053872,-0.209673064437826,-0.093148593909875,3.47943730063308e-07
"Botryobasidium botryosum",0.255243039837389,0.202095659280215,0.308220483575331,1.23858731654152e-20
"Rhizoctonia solani",-0.101652462249369,-0.132488554768924,-0.0707014937834358,1.37073260400673e-10
"Peniophora sp. CONT",0.462871965913241,0.413455088768292,0.512438869358449,9.56022983298776e-70
"Stereum hirsutum",0.0440911972588549,-0.00373527276404676,0.0923749611110809,0.0702018697139687
"Heterobasidion irregulare",0.169997392347155,0.116406784753808,0.223344994305452,5.11472187228478e-10
"Phlebia centrifuga",-0.155627706041257,-0.21655586086613,-0.0945645414536926,5.54084012871739e-07
"Gelatoporia subvermispora",0.17817608114187,0.114143460625138,0.242403007749635,5.56029583175813e-08
"Fomitopsis pinicola",0.476525331942907,0.413617308950927,0.539259147993153,3.5695601751908e-48
"Daedalea quercina",0.321177045161382,0.263862005926487,0.378474022369207,4.70667572209879e-28
