"","2014_ZellerG_Mean","2015_FengQ_Mean","2016_VogtmannE_Mean","2019_Thom_Mean","2019_WirbelJ_Mean","2019_Yachida_Mean","2021_JunY_1_Mean","2021_JunY_2_Mean","2014_ZellerG_Rank","2015_FengQ_Rank","2016_VogtmannE_Rank","2019_Thom_Rank","2019_WirbelJ_Rank","2019_Yachida_Rank","2021_JunY_1_Rank","2021_JunY_2_Rank","Rank3","Rank5","Rank10"
"Romboutsia_ilealis",64.8380832825112,28.8909472869585,66.3204966912651,30.6515042663717,20.3224928589605,26.0502440047728,90.1651971722141,37.3910219825289,11,33,15,30,30,19,2,5,"Sel","Sel","Sel"
"Porphyromonas_asaccharolytica",71.057827447702,100,47.8566094515276,30.0653661433352,30.2612175921791,19.7422059613141,38.2881562342393,19.342413194896,9,1,31,31,12,29,39,24,"Sel","Sel","Sel"
"Eubacterium_eligens",36.0519306046115,16.1587840527553,36.0719298176836,17.7621581370826,14.539757568333,34.9010740237438,56.777416547936,15.5263784801181,32,54,43,53,50,7,16,38,"Ign","Ign","Sel"
"Clostridium_beijerinckii",63.9804089242954,57.6448093644483,59.8084923500236,34.0284235748976,14.9918800502931,28.4435112385192,74.6517819630697,9.78195036148357,12,10,20,27,47,12,8,53,"Ign","Ign","Sel"
"Fusobacterium_periodonticum",30.7693620925934,40.9957473614867,52.0924822676861,47.8838589338648,12.1910535946064,31.2495961982661,55.0212642944176,32.0829507793939,41,17,27,12,56,9,19,7,"Ign","Ign","Sel"
"Streptococcus_anginosus",18.2233746208078,17.5247426012455,77.7792670821829,43.3462455991725,30.0497159538676,26.436986222685,16.8669566613667,19.9615482392415,60,51,10,17,13,17,60,23,"Ign","Ign","Sel"
"Bifidobacterium_catenulatum",59.0770765730303,57.0263378421955,46.4492019108125,25.8490781525477,23.0231521039883,11.1769633168519,37.4822170789504,16.3592208628767,14,11,34,37,24,55,41,33,"Ign","Ign","Ign"
"Lactobacillus_ruminis",56.1308302440896,52.8214612339403,57.476758308376,47.6486654056952,15.9930028019164,15.562404190709,81.4234711611926,17.8643942360465,15,13,22,13,41,43,5,27,"Ign","Sel","Sel"
"Bifidobacterium_angulatum",38.3637338406539,28.4561919761642,26.5042287262689,25.3609952425809,14.8373485321882,15.1129398271328,31.3843654117153,11.3819993113677,31,35,54,38,49,46,47,48,"Ign","Ign","Ign"
"Streptococcus_salivarius",98.1126109588099,21.0360351977181,0,13.4615780509708,13.6108009988456,28.2428697259622,25.9095540991151,23.737858028374,1,45,64,60,54,14,52,13,"Sel","Sel","Sel"
