"","N.count","P.count","Missing","pvalue","2014_ZellerG-Median","2014_ZellerG-p-value","2015_FengQ-Median","2015_FengQ-p-value","2016_VogtmannE-Median","2016_VogtmannE-p-value","2019_Thom-Median","2019_Thom-p-value","2019_WirbelJ-Median","2019_WirbelJ-p-value","2019_Yachida-Median","2019_Yachida-p-value","2021_JunY_1-Median","2021_JunY_1-p-value","2021_JunY_2-Median","2021_JunY_2-p-value"
"Rhizoclosmatium globosum",6,2,0,7,-0.442785380178863,1.42539045135226e-110,-0.484329587928296,1.68816855496497e-63,0.0169590826409867,0.594788723413358,-0.205092997883365,1.00787592000486e-10,-0.721539606466107,3.08780457665246e-47,0.10269857738712,2.34459093099795e-50,-0.301834777934143,4.47215070747115e-36,-0.398806143284205,1.16299583634138e-160
"Anaeromyces robustus",6,2,0,8,-0.810557841941171,4.93140573517036e-283,-0.228937473083241,1.58923939952843e-20,-0.168584642533584,6.01722715354167e-12,0.350606252337072,2.87496294203612e-25,-0.540418463193403,2.80031673744804e-25,0.124367724159498,1.22168559258125e-93,-0.453801440378467,2.13590528717683e-89,-0.354633193851777,9.80994950851669e-158
"Piromyces sp. E2",7,1,0,7,-0.823236441194805,3.70920275640957e-231,-0.0177827566085873,0.491170697787286,-0.327087632882232,5.87987852118804e-33,0.659139008098063,4.08703191936383e-81,-1.05318529534797,8.79423736593559e-86,-0.152691609629063,4.17043706445791e-125,-0.68774633795254,2.02318863208875e-141,-0.376006131532282,1.13252366265065e-130
"Piromyces finnis",3,5,0,7,-0.685268336073153,1.87160117599702e-195,0.068521514366737,0.0111645915315297,0.055626266469951,0.0298526279373068,0.183767003367137,1.3128548779267e-06,-0.236512390946032,3.70570628629015e-05,0.157797855928969,7.39295012736031e-143,0.00965672630859567,0.673691020241034,-0.198786026033473,2.44947317460216e-52
"Neocallimastix californiae",6,2,0,8,-0.807092419035372,1.21867922781326e-265,-0.182297111868023,8.48466862699664e-11,-0.289090258066703,7.51299507507924e-35,0.276105109433796,7.47144882129906e-18,-0.575111225062133,6.99293005366891e-26,0.0228268986078084,1.68342344103927e-05,-0.410375461140054,8.74829878893856e-66,-0.262374309243956,3.76624157168516e-97
"Mortierella elongata",6,2,0,8,-0.248339587682709,2.02038452548241e-35,-0.208121767831966,3.80818182909921e-14,-0.338502581664018,4.3781038237272e-34,0.130570194335868,3.8516904731129e-05,-0.947299106753714,1.00457343324143e-62,0.220897632450276,3.29362590189219e-193,-0.13047390768927,2.59486229077013e-08,-0.22445759845043,1.45676138153865e-52
"Mortierella verticillata",3,5,0,6,0.0763009056157462,0.000170324508133757,-0.0522207775755808,0.118615541874838,-0.272732916320116,4.46054191140517e-19,0.165519600742981,3.67112016688384e-10,-0.0624192789662008,0.152635482510975,0.0540465372056986,3.02703419513682e-12,0.0960237301507293,3.69777432395806e-17,0.195395707891107,2.7672414870266e-83
"Rhizophagus irregularis",7,1,0,8,-0.96803560134773,0,-0.166501851748465,1.34320095328936e-10,-0.329237689668518,1.87909038540586e-42,0.302120962420953,2.25376415419512e-23,-1.49761846652367,1.76136873956334e-79,-0.308047103944388,0,-0.421962184126244,2.36541317185322e-71,-0.482524185145727,0
"Rhizophagus clarus",6,2,0,8,-0.857401520680136,0,-0.385112966370212,8.35288319711424e-60,-0.151073346108419,7.15325644798224e-15,0.148244399259015,7.19224776921137e-07,-0.996127944837437,4.70886109889062e-92,0.0784997847156878,1.41764495512537e-62,-0.765259614356492,1.20914523936544e-220,-0.430688394241681,2.05823246554113e-271
"Bifiguratus adelaidae",6,2,0,8,-0.157503585758961,5.9894670923568e-07,-0.32964926003264,1.92888004240513e-12,-0.120595211225904,0.00112153684046025,0.437972611274341,1.75072300332265e-17,-0.973619813079366,4.10653521465157e-31,0.236043831844392,9.57651866577639e-77,-0.247448320967289,3.87279565966737e-13,-0.490387324587314,1.27617306916361e-136
"Syncephalastrum racemosum",6,2,0,7,-0.291216926462359,1.21002454915531e-42,0.27119976652802,7.35866857343626e-14,-0.483083860028585,8.61310397833208e-42,-0.00738700550019718,0.829047555715683,-0.806343024937115,2.71456204629031e-47,0.166960564891505,4.18242484480701e-51,-0.397674085594949,3.14411752621168e-56,-0.707015079652715,0
"Lichtheimia corymbifera",4,4,0,8,-0.27795184219429,8.86038366923625e-36,0.203817166258033,3.82983148112695e-10,0.0763311549493091,0.018163276437913,0.32426130884248,4.06142025973568e-13,-0.349249313146133,1.56297088518876e-09,0.424193555954326,0,-0.0346579111369976,0.000271668631758741,-0.0779954520457439,2.3712935506637e-10
"Lichtheimia ramosa",7,1,0,8,-0.531613240302191,1.31842320870822e-107,0.261537692601803,9.31108328626519e-14,-0.0820385127926005,0.00546204247825978,-0.120096569811823,0.000515856733672139,-1.25925230426028,6.35853303338924e-76,-0.0228798394705927,0.000447406578676418,-0.34738171521793,3.04420905613706e-39,-0.400615063210281,3.96139074994489e-173
"Phycomyces blakesleeanus",6,2,0,8,-0.334039441543949,3.21096585108863e-76,-0.169786498927419,1.13893171835697e-12,-0.176382676442555,2.72179984681692e-09,0.462991153196701,8.19443625939407e-41,-0.644976299884712,2.19570530201073e-32,0.0293611603257978,1.39545796108323e-05,-0.332017742821282,1.73263130207187e-47,-0.412148662339554,1.44655420573559e-183
"Hesseltinella vesiculosa",3,5,0,8,0.25778719274884,8.11801405409771e-21,0.194776963761585,2.65319080382242e-06,0.173518532181913,1.49766462124512e-08,0.279713700922471,6.91150968581373e-09,-0.596359712953265,1.40166784065047e-21,0.150080056978231,1.07882523628814e-46,-0.277427720735196,5.34708947299992e-23,-0.312032459280091,1.55347664960005e-53
"Absidia glauca",5,3,0,6,-0.322511159799934,7.13745706572125e-61,0.0561882393785043,0.0758537079628544,-0.446483109667902,6.64052712089273e-47,0.443697166775889,6.71379913645544e-35,-0.599185759560172,3.71055390929327e-23,0.0041612684610092,0.596807407480934,-0.378685309425066,3.84645788234344e-46,-0.436664522925926,5.94676306569086e-137
"Absidia repens",5,3,0,7,-0.397258213855941,1.48504589764994e-85,0.206264951233889,2.59659662478067e-13,-0.0470159087331191,0.126032574797138,0.342384452183421,1.95412643990439e-35,-0.767035562185223,1.30541498929816e-44,0.160578116154671,8.19705376653438e-131,-0.469331696954086,3.58482125351113e-85,-0.333233415228335,1.33241358824401e-128
"Choanephora cucurbitarum",5,3,0,8,-0.694543287274184,2.46723383501441e-197,0.17210119077936,3.96966845519641e-09,-0.257379815067219,1.41497205407686e-21,0.207453340563172,1.54470420143406e-07,-1.14272432492257,1.51792895527945e-88,0.156742015073022,7.21973248253861e-126,-0.685417715617635,1.50077219587357e-173,-0.393755431454686,1.24236437684485e-197
"Mucor ambiguus",5,3,0,7,-0.355847225971352,9.3759762217434e-43,0.140715761937253,7.07229012223067e-05,0.0323611021648807,0.376941175710836,-0.319610837448268,2.5586227294771e-18,-0.772745295746533,6.14202372224788e-38,0.141133629461318,1.79149602280241e-75,-0.258473556828314,3.66906283455416e-22,-0.341965816038566,4.04422290012471e-93
"Mucor circinelloides",7,1,0,7,-0.359408737979342,6.53579860535497e-103,-0.0249223893954384,0.304569240548891,-0.169081287560581,2.40745063022351e-15,-0.106726176426957,9.8693040074116e-06,-0.985886027145236,1.97373858045662e-93,0.117976775223861,6.44537981674876e-81,-0.610671153977543,3.30098274608717e-147,-0.384557108443965,1.36576876830396e-181
"Rhizopus microsporus",5,3,0,7,-1.06898529549739,6.65860688618571e-46,0.146362141601901,0.0834360808243925,-1.61659793337809,1.89564239386717e-18,0.88685210599416,8.46526485897789e-17,-0.533144549756502,0.000970863319907118,0.0552597809350907,0.000542025829068959,-3.60340046905058,1.92263091964995e-143,-0.228240202009386,6.21200899456929e-09
"Rhizopus delemar",5,3,0,6,-0.663419475149029,7.57586160661771e-186,0.311151118969498,1.36991056893706e-21,0.0456278447617264,0.0874864745499219,0.362164935591842,9.31813508789187e-28,-0.836002622798561,3.228346412974e-57,-0.000682752139765016,0.921078063784233,-0.74498626755167,1.82537991431845e-151,-0.449145172071714,1.12162055653768e-183
"Trachipleistophora hominis",5,3,0,8,-0.469364966282873,2.1798904414921e-37,0.548072980888743,4.20212477933934e-15,-0.515142618872532,1.29927427804884e-31,0.617646136151423,7.47066079347258e-16,-0.330864792261061,0.00594424273037432,0.0978347236912183,9.07852265091417e-12,-0.730433106111965,2.99227227592251e-113,-0.071420841294647,0.000975743737751729
"Vavraia culicis",5,3,0,7,-0.887123564924403,5.35077607758494e-73,0.195581913456108,0.0151502408378372,0.67874805452033,4.66057675041392e-22,-0.102556757330811,0.284996570892156,-3.7719645259081,1.39630626562809e-80,0.22622226627071,7.56693764113333e-22,-0.368049171018076,6.30076724451754e-14,-0.985821328770657,1.51476768149949e-141
"Anncaliia algerae",4,4,0,7,-0.834072681232917,1.69753629665366e-208,-0.303838336910929,5.91727852067706e-21,0.132418719702185,0.000666997112374968,1.05023274071606,6.08291872650228e-132,-0.663649377084451,5.59168052472759e-34,0.0175263367606489,0.0202471312818475,0.0119585899238518,0.448513702881413,-0.0536460135849483,7.52723620540752e-10
"Amphiamblys sp. WSBS2006",3,5,0,7,0.287389621545911,1.3038783740571e-07,0.406737245618419,0.000142560386540165,-0.108533959735489,0.0501311775776575,2.65798593341609,1.72752054481549e-90,-2.52449175602729,3.39401223771678e-58,0.177119706647284,4.31718987674501e-15,-0.613840454141726,1.40296717295774e-27,0.341732935453584,1.76341111826512e-20
"Ordospora colligata",8,0,0,7,-0.330712812348624,1.30193441480076e-06,-0.344379395520862,0.00416065588240089,-0.453325418927602,3.83054028057163e-05,-0.290748666015777,0.00912657224776886,-1.25521797988321,6.46600363662219e-20,-0.0270734513438319,0.330894595416499,-1.97203541973282,1.79728775317944e-183,-0.144701750874173,0.000525265807899409
"Pseudoloma neurophilia",6,2,0,7,-0.63419527143805,8.55892151259841e-79,-0.77710456675505,1.45694468209856e-44,-0.499248032260859,6.3049073556366e-31,0.104362563736926,0.0696642441725651,-1.28858565932716,3.04010129849649e-86,0.256339935149155,4.44361969170189e-73,-1.37276593028122,2.90275070751087e-290,-0.63692736286915,4.7050064314925e-152
"Nematocida parisii",5,3,0,7,1.34856926405411,3.51476590313834e-21,-1.68355219963104,3.49545548515263e-09,4.72056741116496,6.41670452773483e-20,3.32192809488736,9.60561568078733e-13,-5.19279123574311,1.49621988861146e-23,-0.0803288274781575,0.117346056156633,-3.6334087609007,3.02317887057961e-20,-0.922054948754296,4.22125081924662e-30
"Nematocida displodere",5,3,0,7,-0.308375447130196,1.26078018351335e-06,-0.804261149004701,2.70573736177736e-18,0.0137713584289299,0.795667382286306,0.792450158062299,2.3080486317989e-14,-1.18457232222831,5.76105692826273e-12,0.17673867157331,6.35554731457411e-12,-0.420336163491451,4.70785008208273e-08,-1.45338266178743,7.23699114866851e-189
"Nematocida sp. 1",7,1,0,8,-0.414811421235095,2.15083506878205e-10,-0.226696740785536,0.00153971070065951,-0.223639989224091,0.00387160110087521,0.829689612371553,1.84146534624888e-20,-1.5962457117424,3.07941367817937e-21,-0.619487066739915,5.69782577042375e-119,-0.70145055407292,9.00618265672961e-36,-1.32186568502853,1.34314953880433e-284
"Nematocida sp. ERTm5",6,2,0,8,-1.92261282477399,4.8551994731208e-178,-0.412513893484384,1.12115100744973e-05,-0.582534714456038,8.03789413020633e-08,1.10172794890834,3.49550928732706e-19,-1.6669615635755,1.87698684179727e-19,0.0890369679158945,0.00021173730591161,-0.576480267690217,1.02395412661267e-23,-0.574527499513196,8.3912085833245e-53
"Edhazardia aedis",7,1,0,6,-0.994293022264333,0,-0.032977230407532,0.158965376593417,-0.117954290291367,1.19268793734903e-06,-0.00938488869620495,0.723864673742076,-1.18469584555717,2.13836831461086e-93,0.112992618443135,2.46567378657485e-108,-0.803229213042555,1.12210902630344e-208,-0.548632240547803,0
"Spraguea lophii",3,5,0,5,-0.966874199731421,1.58069063054898e-130,-0.070615389361686,0.145300497329816,0.05896299670015,0.356284443113945,0.378431726490615,2.20856650018771e-05,0.060315466753968,0.577236836349642,0.14429771759906,1.84470566248483e-25,0.0435933504063245,3.48492575742123e-06,-0.0955728990336989,4.86100069730595e-16
"Encephalitozoon intestinalis",5,3,0,4,0.0193893693036795,0.81681467807492,-0.147021500260883,0.267251970051137,-0.398488751313303,0.00026609429503673,0.0027354925020341,0.890379891034387,-4.38091557214926,2.75840488970233e-13,-0.30872311138103,4.61032138519027e-23,0.120946691666525,0.257198364492304,-1.10171849235284,1.30136224787648e-98
"Encephalitozoon cuniculi",6,2,0,6,-1.60319944853419,3.87462495149442e-47,-0.348063008498605,0.00376249525642104,-1.94224250077814,1.09114129907778e-22,0.010344777304597,0.707377416444762,-5.22406644002104,1.57537668062242e-41,0.0921508324985835,2.74364714205633e-07,-0.705980741280644,4.96569198187146e-14,-0.0167389482099107,0.751282286185383
"Encephalitozoon hellem",8,0,0,8,-1.90695558435887,3.7943090951197e-81,-2.88969003674125,2.89139408036088e-88,-1.1638538683855,2.73642669903223e-20,-1.28095254834967,1.68449685657181e-17,-5.77710028325289,6.8595538207836e-83,-0.0802456944684417,0.00409388532805244,-2.60316269583339,8.60356840699021e-83,-0.341951546262301,3.43801124485294e-10
"Encephalitozoon romaleae",7,1,0,7,-0.950513246526713,2.42416294818661e-37,-0.238850083922715,0.0335085869856956,-0.0834218023680078,0.51243612486999,1.22135175848376,1.32750538649942e-27,-2.81390905457139,5.6281236199566e-18,-0.242505771562215,2.39396593006219e-20,-1.52229472053383,5.97822285253144e-46,-0.367773412579323,1.10902001553243e-14
"Vittaforma corneae",5,3,0,7,-0.957468418294053,3.46443526434259e-35,0.239513399717172,0.00554620719252997,-0.560499249319996,8.86013581619661e-08,0.97549546414769,2.13578180905727e-08,-0.350352495787527,0.0596794653190431,1.10293656639293,2.8010654449238e-278,-0.697484965169108,1.59655647213391e-24,-0.280339563720622,5.57084566829331e-12
"Nosema apis",6,2,0,7,-1.36659774884129,9.52799190052545e-276,-0.318783620637284,6.80313174531100e-17,-0.450573740554442,9.07753978649886e-19,0.0942561984877557,0.124618867299099,-3.45825147114209,2.42256492476715e-117,0.0485389265281583,4.46730093545096e-06,-1.21612576023916,7.37670743288294e-282,-0.620346236910366,2.81954610108743e-233
"Nosema ceranae",5,3,0,7,-1.11213852632294,1.91368104686999e-156,0.0604022781514054,0.257355096371525,-0.566478565607503,1.23924194727176e-29,1.20454266644137,3.36709574990194e-59,-2.16216653797991,2.66080455301949e-76,0.0285549097669218,0.0106577328645139,-1.3228699200257,0,-0.192667401530475,1.38038603276608e-25
"Nosema bombycis",6,2,0,8,-1.05434350952631,1.20736123877687e-205,-0.203551236780572,1.26957200321495e-07,-0.793517188077308,7.82902515438608e-83,0.443471906600062,1.65641483851772e-15,-1.24652510440678,2.72223145348814e-37,0.0622465721749131,1.89965588246037e-10,-0.922522337745609,5.11103486932821e-183,-0.233260557388507,6.03299668825535e-39
"Enterospora canceri",6,2,0,7,-1.08352749928262,3.39869972352084e-71,-0.0521883511668139,0.521791261775103,0.194804186213773,0.0168000197582053,1.86805249345413,4.58877072572779e-44,-2.57102005774017,2.75584592605764e-52,-0.231561688653931,3.70083545193259e-17,-0.728357054373636,3.10421852381586e-44,-0.759328140090002,4.71956202220724e-65
"Hepatospora eriocheir",6,2,0,8,-0.762998160488351,9.81169460949577e-100,-0.228645324238005,9.69704279563732e-07,0.138893188074174,0.0176327427358994,0.436297256759501,2.5423573775284e-09,-1.25548813204223,1.95327980451294e-45,-0.0846664573381806,1.05854075416486e-09,-0.765640236796694,1.17806362264525e-130,-0.438094883675682,1.09631505641356e-105
"Enterocytozoon hepatopenaei",6,2,0,7,-1.58140289420528,7.00646544933734e-142,-0.246823520743327,0.000381361417189792,0.114076578725345,0.202079791687567,0.517209554481048,5.85180269098446e-09,-3.16231110660543,3.73772611120717e-80,-0.0521917075958923,0.00721113451124914,-1.48785550014116,2.0865542657697e-214,-0.487438757148963,2.19555354092795e-97
"Enterocytozoon bieneusi",7,1,0,8,-0.584647667789853,1.34460016287171e-118,-0.289290032863203,3.75933197124785e-14,-0.343235345955889,4.00741690377157e-21,-0.236454891103344,2.47010301430074e-12,-0.783109600120441,5.63671820530473e-27,0.208967849728986,1.09599756653102e-124,-0.424066235017113,3.79909351405166e-53,-0.350559057031687,4.89082409474949e-101
"Wallemia mellicola",6,2,0,7,-0.0892845960467936,0.00550258757273921,-0.768656772470988,6.61269570859725e-27,-0.472521471094817,1.5191800644649e-19,0.430633236646162,2.3545398122488e-14,-1.4325874139376,1.75611786386699e-51,0.0168711202882287,0.234225795712279,-0.61392493418995,2.19420892819818e-75,-0.369071940852925,1.25187246261493e-64
"Wallemia ichthyophaga",7,1,0,8,-0.669907679481531,9.50509882207868e-108,-1.17014955144431,1.71736155139905e-115,-0.312304866253735,9.16576456431151e-12,0.972219168310593,3.89689515956896e-32,-0.831606726773797,9.62776397338845e-24,-0.118509798521612,3.4298711076163e-15,-0.439175541273961,3.21608660884027e-26,-0.310895112008649,1.62933766301417e-38
"Mixia osmundae",4,4,0,8,0.434771880739573,1.59026645931017e-35,-0.185567141516919,0.0213622783304055,-0.334697713115507,4.41482415692372e-15,0.186740154718661,0.00028664035628095,-0.527957339126199,4.13390507243699e-08,0.0943173410370491,7.44937992522056e-10,-0.206788108172662,8.10309034867891e-11,0.215658145278468,2.47725678229764e-16
"Microbotryum intermedium",5,3,0,8,0.654314984206561,8.98746675466425e-92,-0.27649680226352,9.59751452586071e-06,-0.132296349614291,0.000759459295777928,-0.26714477787132,1.75645650696376e-09,-0.576075927214349,4.58439109986251e-21,0.0653542726917156,5.94016028857292e-08,-0.230817247666018,4.29995967983587e-13,0.13327432550507,5.62342965514175e-12
"Leucosporidium creatinivorum",5,3,0,6,0.0780666235713574,0.00986621967231578,-0.0768963625844105,0.0755551665577411,-0.328751242598593,2.39678881519936e-18,0.04120233528604,0.292322383919935,-0.742790644409008,1.04453704096278e-31,0.0389864898621351,0.00110042995666664,-0.212760343729373,6.67518716275758e-10,-0.247106550933767,2.7841891001964e-46
"Rhodotorula taiwanensis",4,4,0,6,0.725166980215012,1.45608732505084e-103,-0.025760751764098,0.628588208182964,-0.558066909733245,1.10884707689697e-47,0.361914854286622,5.56587517093957e-20,-0.608016298698328,3.48184393214762e-13,0.625035402781174,0,-0.00241139721275375,0.941249293691642,0.4531564578959,2.1313823665796e-81
"Rhodotorula graminis",3,5,0,5,0.679983550461673,2.63949618521668e-116,0.0426471237327732,0.235427930926981,0.0371307870206241,0.251020764991585,0.00264965906614381,0.943969928167734,-0.534996085273238,3.01998734266167e-21,0.272199729308362,1.23358529476892e-140,-0.123499242782879,0.000294267107377768,-0.0563133565580561,0.00199453079601444
"Rhodotorula toruloides",3,5,0,8,0.612485833479699,1.18192961925394e-92,0.171553928658104,9.3005171769014e-05,-0.249044622173507,3.53445675139276e-21,0.118303207583162,0.000267233860116259,-1.48044976761824,8.60316906621119e-89,0.251801581625867,4.28257573064979e-156,-0.142143065190492,1.35721639498106e-06,0.240175896717446,2.47341541520777e-33
"Rhodotorula sp. JG-1b",4,4,0,8,0.536046840030308,5.51094870600822e-65,-0.3832761019247,1.6305810629643e-16,-0.13765013693924,0.000742586500876054,0.60426275682255,4.62486087355046e-33,-0.909975825044175,9.90801156175409e-34,0.209327273063922,4.35223463578695e-58,-0.482545085409966,7.29495571144377e-49,0.100912434886849,2.45279910729771e-08
"Puccinia coronata",6,2,0,8,-0.303741512031104,1.92979619049587e-87,-0.251412162271063,7.15921253261837e-28,-0.0523546540865186,0.0140010375767037,0.158710828032341,6.17233023863113e-12,-1.1682969836564,1.96934584659225e-141,0.0572062879883893,6.66930503149993e-29,-0.343037198948472,3.86939181860364e-51,-0.251403009500758,6.80562449733019e-71
"Puccinia striiformis",5,3,0,6,0.0375115896417214,0.0721843823056929,-0.0589381398814604,0.0755465946330825,-0.100738067751905,0.000805086117445232,-0.383445956442943,1.10049665052272e-36,-0.403809531132044,2.13577140862307e-17,0.0669349646353199,1.46316111212009e-29,0.392610667789703,9.95945797589219e-151,-0.111760381564158,1.97007223091151e-28
"Puccinia graminis",6,2,0,8,-0.364542779276965,1.24577886051897e-67,-0.365366727689534,1.53545531309804e-37,-0.0707880765567332,0.0064610814916863,0.143851210386403,5.00496080758691e-08,-0.720977693898195,9.51010746454246e-39,0.0645327796982004,3.23112024317869e-30,-0.270906808707114,5.33317511074861e-25,-0.327854448469846,2.46601478563014e-106
"Puccinia sorghi",5,3,0,8,-0.429012462295979,3.37226374939766e-70,-0.103266826824746,0.000809289007075961,0.279292009365274,1.45197548954708e-26,0.573735628879086,2.01967022835827e-90,-0.703149181219115,1.62298881853537e-34,0.142699193961073,3.72586031349897e-97,-0.734600677846268,8.26217754225863e-181,-0.620365999011813,0
"Malassezia globosa",2,6,0,7,-0.379211963737023,1.51814144227693e-34,0.976893019748307,3.27579747189899e-80,-0.132024135869879,0.00283672866691849,0.288075488908811,1.02990912305598e-09,0.246121119288041,8.87055598675936e-05,0.307466968012775,4.59925051564132e-40,1.15019750762664,1.53006460697705e-146,0.0370673101513295,0.27977702206023
"Malassezia restricta",6,2,0,8,-0.318409403887884,1.22401915271476e-09,-1.03554057384128,1.91755610693251e-24,-0.862197209285516,2.80551867482301e-43,0.363632591045469,1.41209560813219e-10,-0.60444174862477,0.000543326004823778,-0.203209402048581,1.62153804557213e-24,-0.391484048073068,3.27558468882711e-15,0.173527916473435,1.40007464251857e-05
"Malassezia sympodialis",4,4,0,6,0.211473133289443,9.6076670872681e-07,0.24703063539603,2.59150080832178e-06,-0.0232710813712357,0.731705533827716,0.916220470932888,8.51869269333606e-58,-0.0924733969568214,0.267859726434152,0.07484325421173,1.43384255847926e-05,-0.698405694730835,3.32006129788936e-49,-0.210498584057854,3.11590054168806e-20
"Malassezia vespertilionis",5,3,0,6,0.0524217610384821,0.0707910038587589,-0.0429939499086473,0.316238233045553,-0.337508281873033,3.017089594354e-17,-0.253691577198286,8.23273332842256e-14,-0.441069515102733,1.34680052705836e-08,0.360178145460211,1.56410790203995e-103,0.190890093953993,1.46698481063195e-07,-0.337591689271461,3.99537788976655e-48
"Tilletiaria anomala",5,3,0,7,0.11883261000051,1.12720070879367e-06,-0.279679158122112,7.65707699575332e-17,-0.0200510617626597,0.506563223074009,0.142816897100124,5.55949924265136e-05,-0.723615989636654,3.24806487625689e-34,0.135347403544278,5.11862626655591e-55,-0.262411721658726,2.7600006181578e-17,-0.462811994405759,3.00839223468881e-125
"Ceraceosorus bombacis",7,1,0,8,0.181879543238048,5.29925246240458e-11,-0.23307555212615,0.000148214356869286,-0.445436758920327,1.33654850049683e-47,-0.439144520258979,3.99283476884104e-26,-0.814576372502323,9.8274446469385e-30,-0.0332409013289799,0.00130366316199128,-0.573602110070009,4.33046909652554e-81,-0.69234378181256,3.49339440703843e-304
"Tilletia controversa",1,7,0,7,0.882637598140227,8.97615071130204e-32,2.71349216552228,5.49865118905126e-137,0.921854018028824,5.0362940588816e-23,-0.00242791484890668,0.815238367033829,2.55759585367901,4.45846648412735e-67,0.111197171966792,8.78799138402222e-05,1.9140326408294,0,1.81208379998933,4.39978312500387e-212
"Tilletia walkeri",6,2,0,6,-0.416818707306516,4.80322140084855e-14,0.0415808439584063,0.580597866255005,-0.269755299933501,0.000541027919236433,-0.0885724430387284,0.267258179033262,-0.880202030430333,1.32906572658905e-18,0.461897294386089,9.17273780065374e-68,-0.304905507417393,7.8820172539511e-12,-0.455073630790312,7.39826089328419e-39
"Tilletia indica",5,3,0,7,-0.256658308625452,2.25463972413321e-10,-0.318293546554521,1.06600568300664e-07,0.0127435377997948,0.783709448137022,0.179125351125533,0.00218604327480843,-1.59046858419391,3.90354604112456e-90,0.106467563730331,9.69949714635477e-09,-0.583939720604314,7.97795019002154e-59,-0.353270649881793,1.16953481838725e-30
