full_name	Kingdom	Phylum	Class	Order	Family	Genus	Specie
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales|f__Salinisphaeraceae|g__Salinisphaera|s__Salinisphaera_sp._LB1	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Salinisphaerales	f__Salinisphaeraceae	g__Salinisphaera	s__Salinisphaera_sp._LB1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Immundisolibacterales	no_classified	no_classified	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales|f__Immundisolibacteraceae	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Immundisolibacterales	f__Immundisolibacteraceae	no_classified	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales|f__Immundisolibacteraceae|g__Immundisolibacter	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Immundisolibacterales	f__Immundisolibacteraceae	g__Immundisolibacter	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales|f__Immundisolibacteraceae|g__Immundisolibacter|s__Immundisolibacter_cernigliae	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Immundisolibacterales	f__Immundisolibacteraceae	g__Immundisolibacter	s__Immundisolibacter_cernigliae
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Cardiobacteriales	no_classified	no_classified	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Cardiobacteriales	f__Cardiobacteriaceae	no_classified	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae|g__Dichelobacter	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Cardiobacteriales	f__Cardiobacteriaceae	g__Dichelobacter	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae|g__Dichelobacter|s__Dichelobacter_nodosus	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Cardiobacteriales	f__Cardiobacteriaceae	g__Dichelobacter	s__Dichelobacter_nodosus
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae|g__Cardiobacterium	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Cardiobacteriales	f__Cardiobacteriaceae	g__Cardiobacterium	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae|g__Cardiobacterium|s__Cardiobacterium_hominis	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Cardiobacteriales	f__Cardiobacteriaceae	g__Cardiobacterium	s__Cardiobacterium_hominis
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Orbales	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Orbales	no_classified	no_classified	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Orbales|f__Orbaceae	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Orbales	f__Orbaceae	no_classified	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Orbales|f__Orbaceae|g__Orbus	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Orbales	f__Orbaceae	g__Orbus	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Orbales|f__Orbaceae|g__Orbus|s__Orbus_sp._IPMB12	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Orbales	f__Orbaceae	g__Orbus	s__Orbus_sp._IPMB12
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Orbales|f__Orbaceae|g__Frischella	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Orbales	f__Orbaceae	g__Frischella	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Orbales|f__Orbaceae|g__Frischella|s__Frischella_perrara	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Orbales	f__Orbaceae	g__Frischella	s__Frischella_perrara
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Orbales|f__Orbaceae|g__Gilliamella	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Orbales	f__Orbaceae	g__Gilliamella	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Orbales|f__Orbaceae|g__Gilliamella|s__Gilliamella_apicola	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Orbales	f__Orbaceae	g__Gilliamella	s__Gilliamella_apicola
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Nevskiales	no_classified	no_classified	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales|f__Sinobacteraceae	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Nevskiales	f__Sinobacteraceae	no_classified	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales|f__Sinobacteraceae|g__Steroidobacter	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Nevskiales	f__Sinobacteraceae	g__Steroidobacter	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales|f__Sinobacteraceae|g__Steroidobacter|s__Steroidobacter_denitrificans	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Nevskiales	f__Sinobacteraceae	g__Steroidobacter	s__Steroidobacter_denitrificans
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales|f__Sinobacteraceae|g__Solimonas	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Nevskiales	f__Sinobacteraceae	g__Solimonas	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales|f__Sinobacteraceae|g__Solimonas|s__Solimonas_sp._K1W22B-7	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Nevskiales	f__Sinobacteraceae	g__Solimonas	s__Solimonas_sp._K1W22B-7
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Acidiferrobacterales	no_classified	no_classified	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales|f__Acidiferrobacteraceae	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Acidiferrobacterales	f__Acidiferrobacteraceae	no_classified	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales|f__Acidiferrobacteraceae|g__Acidiferrobacter	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Acidiferrobacterales	f__Acidiferrobacteraceae	g__Acidiferrobacter	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales|f__Acidiferrobacteraceae|g__Acidiferrobacter|s__Acidiferrobacter_sp._SPIII_3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Acidiferrobacterales	f__Acidiferrobacteraceae	g__Acidiferrobacter	s__Acidiferrobacter_sp._SPIII_3
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales|f__Acidiferrobacteraceae|g__Sulfurifustis	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Acidiferrobacterales	f__Acidiferrobacteraceae	g__Sulfurifustis	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales|f__Acidiferrobacteraceae|g__Sulfurifustis|s__Sulfurifustis_variabilis	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Acidiferrobacterales	f__Acidiferrobacteraceae	g__Sulfurifustis	s__Sulfurifustis_variabilis
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales|f__Acidiferrobacteraceae|g__Sulfuricaulis	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Acidiferrobacterales	f__Acidiferrobacteraceae	g__Sulfuricaulis	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales|f__Acidiferrobacteraceae|g__Sulfuricaulis|s__Sulfuricaulis_limicola	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Acidiferrobacterales	f__Acidiferrobacteraceae	g__Sulfuricaulis	s__Sulfuricaulis_limicola
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	no_classified	no_classified	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Coxiellaceae	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Coxiellaceae	no_classified	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Coxiellaceae|s__Coxiella-like_endosymbiont_of_Amblyomma_americanum	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Coxiellaceae	no_classified	s__Coxiella-like_endosymbiont_of_Amblyomma_americanum
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Coxiellaceae|g__Rickettsiella	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Coxiellaceae	g__Rickettsiella	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Coxiellaceae|g__Rickettsiella|s__Candidatus_Rickettsiella_viridis	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Coxiellaceae	g__Rickettsiella	s__Candidatus_Rickettsiella_viridis
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Coxiellaceae|g__Coxiella	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Coxiellaceae	g__Coxiella	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Coxiellaceae|g__Coxiella|s__Coxiella_endosymbiont_of_Amblyomma_americanum	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Coxiellaceae	g__Coxiella	s__Coxiella_endosymbiont_of_Amblyomma_americanum
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Coxiellaceae|g__Coxiella|s__Coxiella_burnetii	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Coxiellaceae	g__Coxiella	s__Coxiella_burnetii
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Coxiellaceae|g__Coxiella|s__Candidatus_Coxiella_mudrowiae	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Coxiellaceae	g__Coxiella	s__Candidatus_Coxiella_mudrowiae
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Coxiellaceae|g__Aquicella	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Coxiellaceae	g__Aquicella	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Coxiellaceae|g__Aquicella|s__Aquicella_lusitana	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Coxiellaceae	g__Aquicella	s__Aquicella_lusitana
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Coxiellaceae|g__Aquicella|s__Aquicella_siphonis	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Coxiellaceae	g__Aquicella	s__Aquicella_siphonis
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	no_classified	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Tatlockia	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Tatlockia	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Tatlockia|s__Tatlockia_micdadei	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Tatlockia	s__Tatlockia_micdadei
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Fluoribacter	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Fluoribacter	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Fluoribacter|s__Fluoribacter_dumoffii	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Fluoribacter	s__Fluoribacter_dumoffii
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Legionella	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Legionella|s__Legionella_cherrii	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__Legionella_cherrii
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Legionella|s__Legionella_waltersii	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__Legionella_waltersii
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Legionella|s__Legionella_lansingensis	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__Legionella_lansingensis
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Legionella|s__Legionella_longbeachae	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__Legionella_longbeachae
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Legionella|s__Legionella_endosymbiont_of_Polyplax_serrata	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__Legionella_endosymbiont_of_Polyplax_serrata
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Legionella|s__Legionella_israelensis	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__Legionella_israelensis
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Legionella|s__Legionella_adelaidensis	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__Legionella_adelaidensis
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Legionella|s__Legionella_oakridgensis	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__Legionella_oakridgensis
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Legionella|s__Legionella_clemsonensis	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__Legionella_clemsonensis
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Legionella|s__Legionella_jordanis	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__Legionella_jordanis
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Legionella|s__Legionella_hackeliae	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__Legionella_hackeliae
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Legionella|s__Legionella_sainthelensi	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__Legionella_sainthelensi
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Legionella|s__Legionella_anisa	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__Legionella_anisa
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Legionella|s__Legionella_geestiana	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__Legionella_geestiana
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Legionella|s__Legionella_fallonii	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__Legionella_fallonii
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Legionella|s__Legionella_spiritensis	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__Legionella_spiritensis
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Legionella|s__Legionella_pneumophila	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__Legionella_pneumophila
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|g__Gallaecimonas	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	no_classified	no_classified	g__Gallaecimonas	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|g__Gallaecimonas|s__Gallaecimonas_mangrovi	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	no_classified	no_classified	g__Gallaecimonas	s__Gallaecimonas_mangrovi
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|g__Pseudohongiella	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	no_classified	no_classified	g__Pseudohongiella	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|g__Pseudohongiella|s__Pseudohongiella_spirulinae	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	no_classified	no_classified	g__Pseudohongiella	s__Pseudohongiella_spirulinae
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|g__Candidatus_Ruthia	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	no_classified	no_classified	g__Candidatus_Ruthia	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|g__Candidatus_Ruthia|s__Candidatus_Ruthia_magnifica	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	no_classified	no_classified	g__Candidatus_Ruthia	s__Candidatus_Ruthia_magnifica
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|s__Calyptogena_okutanii_thioautotrophic_gill_symbiont	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	no_classified	no_classified	no_classified	s__Calyptogena_okutanii_thioautotrophic_gill_symbiont
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|s__Bathymodiolus_thermophilus_thioautotrophic_gill_symbiont	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	no_classified	no_classified	no_classified	s__Bathymodiolus_thermophilus_thioautotrophic_gill_symbiont
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|s__Bathymodiolus_septemdierum_thioautotrophic_gill_symbiont	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	no_classified	no_classified	no_classified	s__Bathymodiolus_septemdierum_thioautotrophic_gill_symbiont
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|g__Candidatus_Thioglobus	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	no_classified	no_classified	g__Candidatus_Thioglobus	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|g__Candidatus_Thioglobus|s__Candidatus_Thioglobus_autotrophicus	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	no_classified	no_classified	g__Candidatus_Thioglobus	s__Candidatus_Thioglobus_autotrophicus
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|g__Candidatus_Thioglobus|s__Candidatus_Thioglobus_sp._NP1	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	no_classified	no_classified	g__Candidatus_Thioglobus	s__Candidatus_Thioglobus_sp._NP1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|g__Candidatus_Thioglobus|s__Candidatus_Thioglobus_singularis	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	no_classified	no_classified	g__Candidatus_Thioglobus	s__Candidatus_Thioglobus_singularis
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|g__Sedimenticola	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	no_classified	no_classified	g__Sedimenticola	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|g__Sedimenticola|s__Sedimenticola_thiotaurini	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	no_classified	no_classified	g__Sedimenticola	s__Sedimenticola_thiotaurini
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|s__endosymbiont_of_Euscepes_postfasciatus	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	no_classified	no_classified	no_classified	s__endosymbiont_of_Euscepes_postfasciatus
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|s__Gammaproteobacteria_bacterium_soil36-7	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	no_classified	no_classified	no_classified	s__Gammaproteobacteria_bacterium_soil36-7
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|s__endosymbiont_of_unidentified_scaly_snail_isolate_Monju	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	no_classified	no_classified	no_classified	s__endosymbiont_of_unidentified_scaly_snail_isolate_Monju
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|g__Thiolapillus	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	no_classified	no_classified	g__Thiolapillus	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|g__Thiolapillus|s__Thiolapillus_brandeum	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	no_classified	no_classified	g__Thiolapillus	s__Thiolapillus_brandeum
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|g__Candidatus_Nardonella	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	no_classified	no_classified	g__Candidatus_Nardonella	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|g__Candidatus_Nardonella|s__endosymbiont_of_Sipalinus_gigas	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	no_classified	no_classified	g__Candidatus_Nardonella	s__endosymbiont_of_Sipalinus_gigas
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|g__Candidatus_Nardonella|s__Candidatus_Nardonella_dryophthoridicola	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	no_classified	no_classified	g__Candidatus_Nardonella	s__Candidatus_Nardonella_dryophthoridicola
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|g__Candidatus_Nardonella|s__endosymbiont_of_Pachyrhynchus_infernalis	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	no_classified	no_classified	g__Candidatus_Nardonella	s__endosymbiont_of_Pachyrhynchus_infernalis
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Methylococcales	no_classified	no_classified	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales|f__Methylococcaceae	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Methylococcales	f__Methylococcaceae	no_classified	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales|f__Methylococcaceae|g__Methylovulum	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Methylococcales	f__Methylococcaceae	g__Methylovulum	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales|f__Methylococcaceae|g__Methylovulum|s__Methylovulum_psychrotolerans	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Methylococcales	f__Methylococcaceae	g__Methylovulum	s__Methylovulum_psychrotolerans
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales|f__Methylococcaceae|g__Methylococcus	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Methylococcales	f__Methylococcaceae	g__Methylococcus	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales|f__Methylococcaceae|g__Methylococcus|s__Methylococcus_capsulatus	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Methylococcales	f__Methylococcaceae	g__Methylococcus	s__Methylococcus_capsulatus
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales|f__Methylococcaceae|g__Candidatus_Methylospira	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Methylococcales	f__Methylococcaceae	g__Candidatus_Methylospira	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales|f__Methylococcaceae|g__Candidatus_Methylospira|s__Candidatus_Methylospira_mobilis	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Methylococcales	f__Methylococcaceae	g__Candidatus_Methylospira	s__Candidatus_Methylospira_mobilis
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales|f__Methylococcaceae|g__Methylocaldum	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Methylococcales	f__Methylococcaceae	g__Methylocaldum	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales|f__Methylococcaceae|g__Methylocaldum|s__Methylocaldum_marinum	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Methylococcales	f__Methylococcaceae	g__Methylocaldum	s__Methylocaldum_marinum
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales|f__Methylococcaceae|g__Methylomicrobium	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Methylococcales	f__Methylococcaceae	g__Methylomicrobium	no_classified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales|f__Methylococcaceae|g__Methylomicrobium|s__Methylomicrobium_sp._wino1	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Methylococcales	f__Methylococcaceae	g__Methylomicrobium	s__Methylomicrobium_sp._wino1
