"Gene1","Gene2","CRC_cor","CRC_pVal","adenoma_cor","adenoma_pVal","zScoreDiff","pValDiff","empPVals","pValDiff_adj","Classes"
"Pseudocercospora musae","Lipomyces starkeyi",0.29623820508829,1.19682486143802e-10,0.236297109974219,7.88303285803593e-06,-0.903848949683744,0.366075501875209,0.304017857142857,0.524672887476662,"+/+"
"Tuber magnatum","Thielaviopsis punctulata",-0.0689843400078996,0.142222434005599,-0.00484228390622356,0.928074809468022,0.899780532670518,0.368237056266375,0.30515873015873,0.524672887476662,"0/0"
"Pseudocercospora musae","Tuber magnatum",0.245311710594811,1.19922481944812e-07,0.304628559396399,5.97216054387673e-09,0.898993754056209,0.368655987560715,0.305605158730159,0.524672887476662,"+/+"
"Pneumocystis murina","Phytopythium vexans",-0.0563591812430839,0.230721309525111,0.00724455805954329,0.89257218529807,0.89154467983271,0.372637033017533,0.309176587301587,0.52773520402808,"0/0"
"Pseudocercospora musae","Leucoagaricus sp. SymC.cos",0.192594052638132,3.61063453557797e-05,0.130767067683463,0.0143572952744098,-0.889386974512269,0.373795142845964,0.310119047619048,0.527766971250193,"+/+"
"Paracoccidioides brasiliensis","Naumovozyma dairenensis",-0.0157936979526417,0.737162046835295,0.046780264298859,0.38292171075756,0.876781579566292,0.3806052861436,0.314632936507937,0.530038281242227,"0/0"
"Pneumocystis murina","Trichoderma atroviride",0.0358198322735206,0.44644007390725,0.0978290217906434,0.0675415465808449,0.872556702766249,0.382904748919574,0.316071428571429,0.530339705110372,"0/0"
"Pneumocystis murina","Lipomyces starkeyi",0.0350895620996309,0.455769193503169,-0.0265262857626641,0.620901478471068,-0.86315625662424,0.38805156071399,0.320089285714286,0.534976518056498,"0/0"
"Phytophthora capsici","Hyaloscypha variabilis",0.0725071648054587,0.122903049562985,0.0112451887640131,0.833954700545386,-0.859690040446367,0.389959926293427,0.322470238095238,0.53656946168461,"0/0"
"Rhizophagus irregularis","Coniochaeta ligniaria",-0.0926027457780111,0.0486197002489912,-0.0316147609262795,0.555532910721666,0.857653101037242,0.391084044104829,0.323611111111111,0.53656946168461,"-/0"
"Trichophyton mentagrophytes","Rhizophagus clarus",0.00235076825242967,0.960161872117925,-0.0587190020374376,0.273276775687264,-0.856167096537887,0.391905359682214,0.324206349206349,0.53656946168461,"0/0"
"Rhizophagus irregularis","Rhizophagus clarus",0.38344549540053,0,0.43421427071425,0,0.85404213220086,0.393081645268747,0.324702380952381,0.53656946168461,"+/+"
"Aspergillus kawachii","Baudoinia panamericana",0.0308081817751387,0.512606705640831,-0.0301144824991005,0.574455146541273,-0.853424060937459,0.393424183168127,0.325248015873016,0.53656946168461,"0/0"
"Paracoccidioides brasiliensis","Albugo candida",0.0668994452403769,0.15470428879838,0.00708026221218665,0.894994271989647,-0.83910655507037,0.401409517991431,0.331150793650794,0.537818203900633,"0/0"
"Aspergillus rambellii","Naumovozyma dairenensis",-0.0839394719657379,0.0739786745791315,-0.0242140837639967,0.651665476822147,0.839099493938885,0.401413480062993,0.331150793650794,0.537818203900633,"0/0"
"Cordyceps sp. RAO-2017","Albugo candida",-0.0447226957054408,0.341722372620742,0.0149288608784293,0.780774550506343,0.835792951605143,0.403271392393695,0.332242063492063,0.537818203900633,"0/0"
"Phytopythium vexans","Tuber magnatum",-0.0334729661438573,0.47680486165831,0.0260272759251584,0.627487614636037,0.833497879850322,0.404563993053788,0.333730158730159,0.537818203900633,"0/0"
"Debaryomyces hansenii","Hyaloscypha variabilis",-0.0502095943845118,0.285721826820792,0.00923655938224848,0.863291527007476,0.833078345262536,0.404800545531972,0.333878968253968,0.537818203900633,"0/0"
"Albugo candida","Coniochaeta ligniaria",-0.0683930496782555,0.145681376429377,-0.00932405032089414,0.862009463061232,0.82869502653972,0.407277000759192,0.335416666666667,0.537818203900633,"0/0"
"Pseudocercospora musae","Rhizophagus clarus",0.281572951438458,1.0151726126395e-09,0.226501241287992,1.8856493506636e-05,-0.824711990763714,0.409535122498252,0.337003968253968,0.538063487182259,"+/+"
"Phytopythium vexans","Colletotrichum salicis",0.252160926307744,5.1426797487153e-08,0.196328866312453,0.00021913576717747,-0.823543025528713,0.4101992603767,0.33764880952381,0.538063487182259,"+/+"
"Rhizophagus irregularis","Debaryomyces hansenii",0.0355047787131892,0.450451497104309,0.0939456210118547,0.0792323042259433,0.822086517943091,0.411027658056764,0.338392857142857,0.538063487182259,"0/0"
"Lipomyces starkeyi","Leucoagaricus sp. SymC.cos",0.109003234792489,0.0201745843351668,0.166464981292804,0.00177825974542278,0.820502079896203,0.411929944044592,0.339236111111111,0.538063487182259,"+/+"
"Rhizophagus irregularis","Lipomyces starkeyi",0.0384996785077838,0.413148665126916,-0.0200461267699348,0.7086091804148,-0.820178667904509,0.412114260935218,0.339384920634921,0.538063487182259,"0/0"
"Trichoderma atroviride","Pichia kudriavzevii",0.086077419894727,0.066888664119493,0.0278965724832438,0.60297204013609,-0.817652624492478,0.413555569392417,0.340575396825397,0.538063487182259,"0/0"
"Colletotrichum fioriniae","Coniochaeta ligniaria",0.0709544568056764,0.131150250009368,0.0128839992877351,0.810186640796228,-0.814880261237504,0.415140852811611,0.341914682539683,0.538395973620143,"0/0"
"Sphaerulina musiva","Choanephora cucurbitarum",-0.0752302132614531,0.109420997275525,-0.0173025031371374,0.747023668847611,0.813188737268003,0.416109855787356,0.342757936507937,0.538395973620143,"0/0"
"Colletotrichum fioriniae","Schizosaccharomyces pombe",0.0218449561665113,0.64248387557793,0.0788011097753153,0.14122388548652,0.799857021514692,0.423793641223229,0.349751984126984,0.542190314656982,"0/0"
"Naumovozyma dairenensis","Colletotrichum fioriniae",-0.0069223548931224,0.883059665718082,0.0500739748696057,0.3502867998259,0.798764135355099,0.424427190167998,0.350049603174603,0.542190314656982,"0/0"
"Trichoderma atroviride","Coniochaeta ligniaria",-0.000836798859968107,0.985813758648385,-0.0574184071368181,0.284060952636611,-0.793253264503495,0.427630280006711,0.352579365079365,0.542190314656982,"0/0"
"Phytopythium vexans","Edhazardia aedis",-0.0495884183596542,0.29173184729511,0.0062983907803064,0.906533777828656,0.783209118837374,0.433504320895539,0.35719246031746,0.543399105826644,"0/0"
"Aspergillus kawachii","Cordyceps sp. RAO-2017",-0.0574454246882099,0.221843730317274,-0.00165517505837428,0.975385386725694,0.782172325443873,0.434113306238668,0.357291666666667,0.543399105826644,"0/0"
"[Candida] arabinofermentans","Thielaviopsis punctulata",-0.0875646791163434,0.0622931474999262,-0.0320355122102859,0.550281134002262,0.780624551717599,0.43502334729959,0.35828373015873,0.543399105826644,"0/0"
"Debaryomyces hansenii","[Candida] arabinofermentans",0.0445849316015654,0.343212996256223,-0.0109998609209678,0.837526350238244,-0.778828883742749,0.436080520761369,0.359176587301587,0.543399105826644,"0/0"
"Phytophthora capsici","Cordyceps sp. RAO-2017",0.201025030275838,1.59155043029102e-05,0.253603085659435,1.53744330999572e-06,0.776651018069082,0.437364692824821,0.360218253968254,0.543399105826644,"+/+"
"Aspergillus kawachii","Colletotrichum fioriniae",-0.0105402617515614,0.822779594812027,0.0447695364547825,0.403726800559485,0.774982291894383,0.438350123426591,0.361111111111111,0.543399105826644,"0/0"
"Rhizophagus irregularis","Leucoagaricus sp. SymC.cos",0.139611848219476,0.00287158421405831,0.0851618636282375,0.111739363471096,-0.772474274501416,0.439833577751886,0.362053571428571,0.543399105826644,"+/0"
