"Gene1","Gene2","CRC_cor","CRC_pVal","adenoma_cor","adenoma_pVal","zScoreDiff","pValDiff","empPVals","pValDiff_adj","Classes"
"Ruminococcus bicirculans","Choanephora cucurbitarum",-0.0356390848388925,0.448738959713991,-0.0818612986737656,0.126370445914069,-0.649654702175922,0.51591528994555,0.42514880952381,0.558148008715791,"0/0"
"Bifidobacterium bifidum","Pseudocercospora musae",0.0589724950593175,0.209779890373165,0.104825296617745,0.0500556894641275,0.64657505377972,0.517907007589355,0.426686507936508,0.558148008715791,"0/0"
"Fusobacterium nucleatum","Colletotrichum fioriniae",-0.0774067685559687,0.0995060979477498,-0.0314160467988543,0.55802168547976,0.646081305914635,0.518226701361554,0.426934523809524,0.558148008715791,"0/0"
"Adlercreutzia equolifaciens","Hyaloscypha variabilis",-0.0156324281324609,0.739748429781252,-0.061470046054497,0.251393902470317,-0.642978062573925,0.520238334621705,0.428422619047619,0.558148008715791,"0/0"
"Streptococcus equinus","Moniliophthora perniciosa",-0.0509225669922441,0.278927145843272,-0.00506268858449953,0.924810469516306,0.642837692534592,0.520329422565131,0.428422619047619,0.558148008715791,"0/0"
"Streptococcus milleri","[Candida] arabinofermentans",0.033199774656444,0.480411330114351,0.0789475403534055,0.140483981059594,0.64278553257862,0.520363271933389,0.428472222222222,0.558148008715791,"0/0"
"Streptococcus thermophilus","Paracoccidioides brasiliensis",0.0258742304795833,0.582400597214531,-0.0196572891304931,0.714011374319883,-0.63773896608057,0.523643615811926,0.431646825396825,0.560032586912161,"0/0"
"Romboutsia ilealis","Paracoccidioides brasiliensis",0.0470825716599893,0.31683120019533,0.00173389160661689,0.974215165547597,-0.635549955356668,0.525069796696486,0.432390873015873,0.560032586912161,"0/0"
"Butyrivibrio proteoclasticus","Leucoagaricus sp. SymC.cos",0.148114100103919,0.00155253656597187,0.103498879030752,0.053044520917926,-0.634952462731883,0.525459419277457,0.432936507936508,0.560032586912161,"+/0"
"Pseudobutyrivibrio xylanivorans","Aspergillus ochraceoroseus",0.0633112211178972,0.178102003885934,0.0182814642993301,0.733239189919071,-0.631754863512514,0.527547071811374,0.434573412698413,0.56057526868425,"0/0"
"Streptococcus milleri","Aspergillus rambellii",0.0182240416293579,0.698559022860732,0.0629035247596657,0.240487132463287,0.626827076070634,0.530772593065821,0.438194444444444,0.561760096158226,"0/0"
"Anaerostipes hadrus","Edhazardia aedis",0.223728898553977,1.47140108852639e-06,0.180859036033912,0.000675005255529992,-0.626082147022244,0.531261061533403,0.438789682539683,0.561833683630152,"+/+"
"Prevotella intermedia","Colletotrichum fioriniae",-0.0284728129751439,0.545093762288159,-0.072904971334488,0.17355810661063,-0.623934006478668,0.532670926013927,0.440625,0.561833683630152,"0/0"
"Fusobacterium nucleatum","Paracoccidioides brasiliensis",-0.0590210361986431,0.209404336048906,-0.0145549907258165,0.786130144934678,0.62364907677912,0.532858072785397,0.440724206349206,0.561833683630152,"0/0"
"Lactococcus garvieae","Tuber magnatum",0.00848383592923987,0.856938772087116,0.0528616219005308,0.324082958556084,0.622153578441549,0.533840887217092,0.441617063492063,0.561833683630152,"0/0"
"Bifidobacterium pseudocatenulatum","Naumovozyma dairenensis",0.0159745458417402,0.734265204650409,0.0602885987408646,0.260637745509422,0.621579337028628,0.53421851143975,0.442013888888889,0.561833683630152,"0/0"
"Streptococcus salivarius","Edhazardia aedis",0.0996827548534015,0.033720027446615,0.143387303517632,0.00721332459308899,0.621319954121142,0.534389127230671,0.442113095238095,0.561833683630152,"+/+"
"Butyrivibrio proteoclasticus","Aspergillus rambellii",-0.114789591431966,0.0143968951623155,-0.0709628905066265,0.185331988652418,0.61919208108431,0.535789828018542,0.443849206349206,0.563181336889643,"-/0"
"Pseudobutyrivibrio xylanivorans","Leucoagaricus sp. SymC.cos",0.13175173422328,0.00492653954750244,0.0882218381163708,0.099395877919787,-0.617159990409418,0.537129202751213,0.444742063492063,0.563181336889643,"+/0"
"Fusobacterium periodonticum","Pichia kudriavzevii",-0.015122266476839,0.747949414388513,0.0288491376319607,0.590646655836792,0.615903059564115,0.537958502142381,0.445436507936508,0.563181336889643,"0/0"
"Streptococcus salivarius","Moniliophthora perniciosa",-0.0315116218884759,0.503022165910303,0.0124081562044712,0.81707100192252,0.615206877848751,0.538418106205556,0.445833333333333,0.563181336889643,"0/0"
"Bifidobacterium adolescentis","Phytopythium vexans",0.0197976443088953,0.673965257338608,0.0634918081600484,0.236108611738693,0.613053745798777,0.539840802765373,0.447222222222222,0.563893965845929,"0/0"
"Bifidobacterium angulatum","Paracoccidioides brasiliensis",-0.0217350951888878,0.644157682063793,0.0218679209076237,0.683496449508362,0.610712652348407,0.541389828362981,0.448859126984127,0.564439251819893,"0/0"
"Ruminococcus bicirculans","Lipomyces starkeyi",0.0146456975799236,0.755636174615101,0.0578997183371166,0.280037089613502,0.606621780652487,0.54410194233452,0.451140873015873,0.564944551030216,"0/0"
"Dialister pneumosintes","Aspergillus kawachii",-0.00184232898562122,0.968773327197428,0.0414023636254417,0.440038880410289,0.605929581458154,0.544561515106469,0.451537698412698,0.564944551030216,"0/0"
"Butyrivibrio proteoclasticus","Aspergillus kawachii",0.0104004437755692,0.825092292564305,-0.0325237503047333,0.54421766781962,-0.601275616193733,0.547656427581568,0.45406746031746,0.564944551030216,"0/0"
"Anaerostipes hadrus","Trichoderma atroviride",0.0744722266805158,0.113051133755208,0.0317295500109916,0.554097710031947,-0.600352964531918,0.54827102747997,0.454464285714286,0.564944551030216,"0/0"
