"","Cohort","Fungi","observed value","low CI","high CI"
"Trichoderma atroviride3","2019_Thom","Trichoderma atroviride",0.0604895439183997,-0.0126606315279315,0.133561527282575
"Torulaspora globosa3","2019_Thom","Torulaspora globosa",0.0394392167766818,-0.0869940256445801,0.16204866039917
"Coccidioides immitis3","2019_Thom","Coccidioides immitis",-2.64910564305188,-3.99940396418756,-1.21589069548773
"Komagataella pastoris3","2019_Thom","Komagataella pastoris",-0.544524178939593,-0.694771442011413,-0.396354547550982
"Torulaspora delbrueckii3","2019_Thom","Torulaspora delbrueckii",-0.407588458641062,-0.537866923732306,-0.27556255836776
"Rutstroemia sp. NJR-2017a WRK43","2019_Thom","Rutstroemia sp. NJR-2017a WRK4",-0.24535291676985,-0.33854964304418,-0.152594215962179
"Brettanomyces bruxellensis3","2019_Thom","Brettanomyces bruxellensis",-0.220078326616692,-0.326055184216242,-0.112155321654725
"Hyphopichia burtonii3","2019_Thom","Hyphopichia burtonii",-0.20114897616684,-0.317406209071617,-0.084265055441731
"Encephalitozoon hellem3","2019_Thom","Encephalitozoon hellem",-0.15282154763189,-0.189394035553748,-0.121937221893775
"Leucoagaricus sp. SymC.cos3","2019_Thom","Leucoagaricus sp. SymC.cos",-0.12185498482718,-0.177669902371616,-0.0651958886926264
"Rutstroemia sp. NJR-2017a BVV23","2019_Thom","Rutstroemia sp. NJR-2017a BVV2",-0.113661895866857,-0.180227367078467,-0.0467092398412891
"Emmonsia sp. CAC-2015a3","2019_Thom","Emmonsia sp. CAC-2015a",-0.108523862278083,-0.169214273874936,-0.0479945605438317
"Mucor circinelloides3","2019_Thom","Mucor circinelloides",-0.106726279130878,-0.153777053779049,-0.059412424399716
"Tuber magnatum3","2019_Thom","Tuber magnatum",-0.0532973218454251,-0.10357440128597,-0.00185913198206938
"Batrachochytrium salamandrivorans3","2019_Thom","Batrachochytrium salamandrivorans",-0.0197194199104002,-0.0940141796724789,0.0547746313501886
"Aspergillus kawachii3","2019_Thom","Aspergillus kawachii",-0.0170027655599269,-0.0452068149595795,0.0111454299411697
"Edhazardia aedis3","2019_Thom","Edhazardia aedis",-0.00938488869620495,-0.0608852698814772,0.0419485657412339
"Tilletia controversa3","2019_Thom","Tilletia controversa",-0.00884853160943375,-0.0203415273483206,0.00274414620772694
"Tilletia controversa4","2019_WirbelJ","Tilletia controversa",4.59557137134048,4.15746527600646,4.92896555057978
"Aspergillus rambellii4","2019_WirbelJ","Aspergillus rambellii",1.69052336178799,1.52398526163587,1.85662391607707
"Thielaviopsis punctulata4","2019_WirbelJ","Thielaviopsis punctulata",0.136787338613263,0.0507119513504066,0.221626920636543
"Aspergillus kawachii4","2019_WirbelJ","Aspergillus kawachii",-4.34100665306247,-4.53501817453776,-3.87150937655268
