,p_values,adj_pvalue,mFC,AbsLog2FC
Veillonella atypica,0.229948596,0.350703724,0.884485292,0.177089942
Prevotella ruminicola,0.353617333,0.495064267,0.888393154,0.17072982
Tannerella forsythia,0.072291116,0.13245285,1.119890659,0.163357881
Streptococcus pasteurianus,0.065984042,0.121713808,0.894455104,0.160919024
Streptococcus agalactiae,0.110689442,0.185387839,0.894907621,0.16018933
Mageeibacillus indolicus,0.052233066,0.099717672,0.895130442,0.159830162
Mordavella sp. Marseille-P3756,0.035521634,0.069765511,0.895295145,0.159564732
Gordonibacter urolithinfaciens,0.172809611,0.274285022,0.895487553,0.159254715
Paraprevotella xylaniphila,0.293305735,0.425917371,1.11495885,0.156990465
[Clostridium] bolteae,0.013545596,0.030407179,1.114234849,0.156053343
Gordonibacter pamelaeae,0.164329493,0.263893833,0.897771059,0.155580505
Anaerostipes caccae,0.023271087,0.048869283,0.897788436,0.155552582
Klebsiella grimontii,0.332960784,0.468547907,1.113647846,0.1552931
Streptococcus oralis,0.244699913,0.368345833,1.111954229,0.153097405
Dialister sp. 5BBH33,0.38255522,0.524811935,0.900244549,0.151611136
Selenomonas sputigena,0.135053856,0.219462517,1.10917956,0.149492936
Streptococcus suis,0.089165223,0.153095006,0.902278408,0.148355434
Alistipes sp. Marseille-P5997,0.29195439,0.425917371,1.107818756,0.14772187
Anaerotignum propionicum,0.032045736,0.063857561,1.107391124,0.147164863
[Clostridium] hylemonae,0.035840282,0.06988855,0.9047039,0.144482403
Enterobacter kobei,0.287822677,0.422449412,0.904836684,0.144270675
Ruminococcus champanellensis,0.21718927,0.33498684,0.906376629,0.141817434
Bacteroides sp. A1C1,0.232864835,0.353178333,1.097945491,0.134806432
Salmonella enterica,0.113297889,0.188599535,0.91250782,0.132091172
Streptococcus mutans,0.302032401,0.433972871,1.093998025,0.129610134
Christensenella minuta,0.196964689,0.308986617,0.915569128,0.127259277
Filifactor alocis,0.176262804,0.278148819,1.090821334,0.125414822
