"","p_values","adj_pvalue","mFC","AbsLog2FC"
"Ustilago maydis",0.0665521605990123,0.345604202408906,1.13575337973874,0.183649598527
"Aspergillus sydowii",0.073600495275763,0.372520745782498,1.13274298335185,0.179820554267904
"Coniella lustricola",0.0108979737166947,0.113118478432938,0.882891827182233,0.179691406671266
"Aspergillus rambellii",0.319293756475998,0.690307129217342,0.887685922074414,0.171878777339766
"Rosellinia necatrix",0.0212510281269928,0.164106151283183,0.887757205440182,0.17176293002621
"Tolypocladium ophioglossoides",0.0376372580879905,0.237034646681813,0.888549832644011,0.170475405530031
"Candida albicans",0.060554492099862,0.325893266573803,1.12432284014513,0.169056353174852
"Tilletia walkeri",0.327454073073158,0.690307129217342,1.12110447098381,0.164920723056425
"Trichoderma asperellum",0.137130646929992,0.509522810776848,1.11984811273615,0.163303069906116
"Kwoniella bestiolae",0.0847873903846148,0.398366151648349,1.11929525399497,0.162590648725517
"Penicillium camemberti",0.196917729726642,0.651377116884511,1.11905434619974,0.162280101630647
"Endocarpon pusillum",0.0305714615885118,0.205662559777261,1.11792710461798,0.160826119098116
"Macrophomina phaseolina",0.0113670003392069,0.113118478432938,0.894681429655601,0.16055402331659
"Aspergillus ochraceoroseus",0.199201346645243,0.651377116884511,1.11755349045319,0.160343886052606
"Kluyveromyces dobzhanskii",0.221764309096059,0.651377116884511,1.11664926439777,0.159176111539398
"Ascoidea rubescens",0.117664822038593,0.470659288154371,0.896254034891911,0.158020386115557
"Diaporthe helianthi",0.0528362311011917,0.306657341293191,1.11552128025886,0.157718035438707
"Rozella allomycis",0.0899409019229337,0.403371317714975,1.11405716187745,0.155823258747428
"Malassezia restricta",0.292540001397872,0.690307129217342,0.898570618391764,0.154296205731891
"Beauveria bassiana",0.0595875009766844,0.325893266573803,0.900341231396135,0.151456205065992
"Diplocarpon rosae",0.0216220942569059,0.164106151283183,1.11045071502495,0.151145363378403
"Verticillium alfalfae",0.124945188860343,0.486628630298178,0.900870396952164,0.150608526166477
"Capronia epimyces",0.0876877047209187,0.403371317714975,0.901782327125945,0.149148858162752
"Metarhizium rileyi",0.103699572149338,0.431830168024863,0.902783174280552,0.147548564492542
"Fusarium verticillioides",0.214216258179533,0.651377116884511,0.903169044161377,0.146932055853741
"[Candida] intermedia",0.210413035360776,0.651377116884511,1.10634634246747,0.145803092933948
"Spizellomyces punctatus",0.105039770600642,0.431830168024863,0.905104752636231,0.143843322179745
"Pseudogymnoascus sp. WSF 3629",0.167143255418007,0.575283762834069,1.10342912646011,0.141993967915491
"Aspergillus ellipticus",0.0819651671939154,0.391317572409661,1.10194863272712,0.140056974329149
"Zygosaccharomyces rouxii",0.326645463571118,0.690307129217342,1.10045826274041,0.138104428937515
"Ganoderma sinense",0.0805119179687107,0.390680782274399,0.908934477598126,0.137751796344021
"Gonapodya prolifera",0.0755109619829387,0.372520745782498,1.09921843043536,0.136478098929121
"Rhizophagus irregularis",0.157622197963812,0.55543060234867,0.910005402434779,0.136052984693909
"Cordyceps confragosa",0.0357938664570669,0.230325749375909,0.910735504526771,0.134895966998653
"Rutstroemia sp. NJR-2017a WRK4",0.129230849127398,0.496783523918311,1.09779700814816,0.134611312619955
"Vanderwaltozyma polyspora",0.149865024439681,0.540684261979858,1.09319634794883,0.128552545357116
"Pythium irregulare",0.093168096979422,0.405555245675131,0.914872361990618,0.128357614406379
"Arthrobotrys oligospora",0.092293277632812,0.405555245675131,1.09152879446137,0.126350189035702
"Phialophora americana",0.137708867777526,0.509522810776848,0.916390629342112,0.125965388613592
"Pezoloma ericae",0.0889110069816545,0.403371317714975,0.917747906745834,0.123830176143688
"Kwoniella heveanensis",0.314803638837389,0.690307129217342,1.08815203318514,0.121880139491717
"Diaporthe ampelina",0.0747063631970127,0.372520745782498,0.921236285484,0.118356858032705
"Cyberlindnera jadinii",0.236994477600694,0.652661497746909,1.08505728930361,0.117771216690262
"Colletotrichum higginsianum",0.104338831389087,0.431830168024863,0.921986979638973,0.117181717923553
"Cercospora zeina",0.339600774098878,0.690307129217342,0.923446782175344,0.114899273153379
"Hanseniaspora uvarum",0.358426696625923,0.690307129217342,1.08276271439763,0.11471711342669
"Candida dubliniensis",0.224461033521014,0.651377116884511,0.92372397002385,0.114466289319092
"[Candida] glabrata",0.20416710879239,0.651377116884511,0.925225807738055,0.112122586612751
"Leucosporidium creatinivorum",0.27656820155536,0.690307129217342,1.08013922705405,0.111217283902248
"Colletotrichum simmondsii",0.265689517626561,0.6806629770113,0.925861810433499,0.11113121487885
"Ophiocordyceps sinensis",0.0636117435558618,0.336233501652412,0.926364130046792,0.11034870339689
"Punctularia strigosozonata",0.229871634920836,0.652661497746909,1.07801407978395,0.108376021042029
"Neofusicoccum parvum",0.151610789676784,0.540684261979858,0.929121288726272,0.106061154660297
"Elaphomyces granulatus",0.0580705944708168,0.324318791761543,0.93024353151077,0.104319641344731
"Rhodotorula toruloides",0.238133249177926,0.652661497746909,1.07492565525156,0.104236882597159
"Tetrapisispora blattae",0.250520850032465,0.665864387928122,1.07487353170957,0.104166924085682
"Aspergillus ustus",0.254198229175263,0.665864387928122,1.07415294096817,0.10319942299501
"Schizosaccharomyces pombe",0.266746301801726,0.6806629770113,0.931551745589942,0.102292185052116
"Saprolegnia parasitica",0.215629873959994,0.651377116884511,0.93206559506603,0.101496605301348
"Neonectria ditissima",0.201167389230924,0.651377116884511,0.932067822338465,0.101493157828257
"Syncephalastrum racemosum",0.27819860077935,0.690307129217342,0.933798438985083,0.0988169180339278
"Coniosporium apollinis",0.330905125255161,0.690307129217342,0.93416383968842,0.0982524935855489
"Aspergillus fumigatus",0.630837157881411,0.898973140462678,1.06969325585847,0.0971971501809567
"Cordyceps fumosorosea",0.287932394733563,0.690307129217342,0.935382969752415,0.0963709326233455
"Ascochyta rabiei",0.218528318525469,0.651377116884511,0.936547330034699,0.094576189494406
"Diplodia seriata",0.137564136648697,0.509522810776848,0.936893461191874,0.0940430936933808
"Thielavia terrestris",0.290354599890693,0.690307129217342,0.937255240295229,0.0934861080877288
"Eutypa lata",0.299035314877058,0.690307129217342,1.0662611175037,0.0925607840606489
