"Gene1","Gene2","CRC_cor","CRC_pVal","CTRL_cor","CTRL_pVal","zScoreDiff","pValDiff","empPVals","pValDiff_adj","Classes"
"Rhizophagus irregularis","Erysiphe pulchra",-0.0889683706734217,0.0581977603712263,0.145056763897813,0.000857938666646074,3.65993376913982,0.000252280446463249,0.0228670634920635,0.446238122480542,"0/+"
"Aspergillus rambellii","Aspergillus ochraceoroseus",0.209637672592536,6.64839547859231e-06,-0.021246846548697,0.627165089234075,-3.64050477106936,0.000272104065187657,0.0232142857142857,0.446238122480542,"+/0"
"Schizosaccharomyces pombe","Edhazardia aedis",0.360547751981255,2.22044604925031e-15,0.144011089427422,0.000935936322519204,-3.61645308037332,0.00029866742395176,0.0233630952380952,0.446238122480542,"+/+"
"Leucoagaricus sp. SymC.cos","Edhazardia aedis",0.358504541761664,3.10862446895044e-15,0.142814128359702,0.00103323284007173,-3.59896277862962,0.000319488908441079,0.0235119047619048,0.446238122480542,"+/+"
"Erysiphe pulchra","Leucoagaricus sp. SymC.cos",-0.0735411567005227,0.11763888442862,0.154203724955307,0.00039103536394447,3.56390488046457,0.000365378404930137,0.0239583333333333,0.446238122480542,"0/+"
"Sphaerulina musiva","Phytophthora capsici",-0.00724983857425011,0.877569933573256,0.217424832326941,4.89829285577059e-07,3.54965103677511,0.000385742115672843,0.024156746031746,0.446238122480542,"0/+"
"Rhizophagus clarus","Thielaviopsis punctulata",-0.147082263811422,0.00167575017487387,0.0749672745086664,0.0861552370930294,3.47286467519337,0.000514934921616511,0.0255456349206349,0.446238122480542,"-/0"
"Erysiphe pulchra","Hyaloscypha variabilis",-0.0942626978829359,0.0447053912611737,0.126749105938821,0.00362580862103412,3.45284253130958,0.000554712716033054,0.025843253968254,0.446238122480542,"-/+"
"[Candida] arabinofermentans","Edhazardia aedis",0.417949651042623,0,0.220828115031615,3.20497233641248e-07,-3.43263278978897,0.00059775108610928,0.0261904761904762,0.446238122480542,"+/+"
"Erysiphe pulchra","[Candida] arabinofermentans",-0.0618098228178512,0.188635799676016,0.155741016094,0.000341172130017053,3.40508428901342,0.000661436346245144,0.0266865079365079,0.446238122480542,"0/+"
"Cordyceps sp. RAO-2017","Thielaviopsis punctulata",-0.0603302676582037,0.199457446209717,0.156130672736264,0.000329511378106773,3.3881959265712,0.000703539889764054,0.026984126984127,0.446238122480542,"0/+"
