log2mFC	p_values	adj_pvalue	Group
Phaeoacremonium minimum	-0.058777552	0.305656566	0.499858251	other
Puccinia striiformis	0.060911667	0.308716596	0.502088529	other
Candida albicans	0.114724008	0.315060966	0.505146369	other
Beauveria bassiana	0.071169009	0.31571648	0.505146369	other
Sclerotinia borealis	0.060313292	0.312339287	0.505146369	other
Coniosporium apollinis	0.07820151	0.32176707	0.512059423	other
Scheffersomyces stipitis	-0.116335439	0.32532202	0.514948224	other
Sporothrix insectorum	-0.075349274	0.328117033	0.516609797	other
Metarhizium rileyi	-0.052923557	0.333753648	0.522704127	other
Pyricularia oryzae	-0.063051502	0.337393666	0.525623817	other
Podospora anserina	-0.061139723	0.340599531	0.527840111	other
Phytophthora cinnamomi	0.045405828	0.347069592	0.53506562	other
Schizopora paradoxa	-0.070129249	0.353852616	0.542696241	other
Diplodia seriata	0.036399362	0.355738441	0.542776177	other
Kwoniella bestiolae	-0.082474773	0.365622599	0.554996355	other
Valsa mali	0.04081634	0.375432168	0.564284605	other
Termitomyces sp. J132	-0.06841558	0.375554281	0.564284605	other
Ustilaginoidea virens	-0.042179452	0.379229068	0.566928304	other
Exserohilum turcicum	0.065184811	0.38764011	0.573707362	other
Hanseniaspora guilliermondii	-0.099078464	0.386023386	0.573707362	other
Colletotrichum simmondsii	0.05560772	0.393268264	0.579141324	other
Exophiala aquamarina	-0.03859918	0.400213946	0.586244515	other
Phaeomoniella chlamydospora	-0.060584845	0.402757819	0.586244515	other
Thermothelomyces thermophilus	-0.065260068	0.404033382	0.586244515	other
Sporisorium graminicola	0.077999502	0.410834131	0.588417735	other
Aphanomyces astaci	-0.046619448	0.413482733	0.588417735	other
Ganoderma sinense	-0.059433566	0.408645388	0.588417735	other
Talaromyces rugulosus	-0.075267751	0.412060275	0.588417735	other
Pseudogymnoascus sp. WSF 3629	0.064937772	0.43071151	0.608428941	other
Rachicladosporium antarcticum	0.030402125	0.434699593	0.608428941	other
Colletotrichum nymphaeae	-0.052868294	0.435766674	0.608428941	other
Rutstroemia sp. NJR-2017a BBW	-0.064221437	0.433900276	0.608428941	other
Pyricularia pennisetigena	0.05083771	0.442200792	0.612882229	other
Cyberlindnera jadinii	-0.047840659	0.445167835	0.612882229	other
Botryobasidium botryosum	-0.057038043	0.443682897	0.612882229	other
Pseudogymnoascus sp. VKM F-3808	0.074494495	0.448417514	0.614498075	other
Aspergillus saccharolyticus	-0.074746941	0.458384325	0.625261568	other
Vanderwaltozyma polyspora	-0.063753408	0.468613234	0.636282189	other
Cryptococcus neoformans	0.106285687	0.470841385	0.636388356	other
Metarhizium album	0.066006626	0.476858412	0.636560358	other
Microdochium bolleyi	0.030880634	0.474614612	0.636560358	other
Penicillium camemberti	-0.085451507	0.477420268	0.636560358	other
Hyaloscypha bicolor	-0.038302234	0.480657959	0.638003389	other
Trichoderma asperellum	-0.093400183	0.486175187	0.642445782	other
Exidia glandulosa	0.031528067	0.50033294	0.658215779	other
Colletotrichum incanum	0.044291488	0.506114657	0.659955676	other
Escovopsis weberi	-0.062306603	0.504521187	0.659955676	other
Tetrapisispora blattae	-0.044858566	0.515438006	0.667757466	other
Penicillium brasilianum	-0.052566296	0.516609662	0.667757466	other
Pythium irregulare	0.035189684	0.521457291	0.671092862	other
Aspergillus ellipticus	0.041181189	0.525588711	0.671462586	other
Galerina marginata	-0.037035559	0.527512544	0.671462586	other
Fusarium oxysporum	-0.042872355	0.528549941	0.671462586	other
Neurospora tetrasperma	-0.158265827	0.53539286	0.677249088	other
Neurospora crassa	-0.082322668	0.544535509	0.685883024	other
Postia placenta	-0.083094809	0.551632368	0.691877886	other
Erysiphe necator	-0.033165904	0.566421231	0.707429047	other
Cercospora beticola	-0.039389638	0.568878783	0.707513108	other
Saprolegnia parasitica	-0.039370578	0.578914625	0.716982129	other
Neofusicoccum parvum	0.029747294	0.584352762	0.72070174	other
Dactylellina haptotyla	0.026709272	0.596085244	0.729096001	other
Sphaerobolus stellatus	-0.03841274	0.594514724	0.729096001	other
Capronia epimyces	0.06005122	0.606576939	0.735847434	other
Gonapodya prolifera	-0.039458062	0.606181026	0.735847434	other
Aspergillus ruber	-0.035360541	0.61014536	0.73715521	other
Metarhizium anisopliae	0.0384685	0.615395828	0.740476281	other
Diplocarpon rosae	-0.041773773	0.62708041	0.751480977	other
Aspergillus oryzae	0.033965913	0.635138114	0.758068072	other
Penicilliopsis zonata	-0.034302559	0.651873017	0.774917322	other
Hypholoma sublateritium	0.052032438	0.655470676	0.77549681	other
Ophiostoma piceae	0.024522523	0.657600336	0.77549681	other
Tetrapisispora phaffii	0.024184895	0.670684023	0.787787582	other
Hesseltinella vesiculosa	0.019172528	0.676227614	0.790073869	other
Phialophora americana	0.006930772	0.677968793	0.790073869	other
Cordyceps confragosa	0.025873144	0.681705679	0.791313259	other
Stachybotrys chartarum	-0.042557158	0.686366943	0.793611778	other
Penicillium oxalicum	0.021843048	0.696227857	0.799906399	other
Sugiyamaella lignohabitans	-0.057918857	0.699918099	0.799906399	other
Yarrowia lipolytica	-0.063747826	0.699078782	0.799906399	other
Eutypa lata	-0.012182118	0.711031109	0.80948157	other
Sordaria macrospora	0.007967675	0.718474225	0.814821344	other
Colletotrichum gloeosporioides	0.006752937	0.724244118	0.815310122	other
Coprinopsis cinerea	-0.002656931	0.724414061	0.815310122	other
Marssonina brunnea	-0.014815055	0.766267048	0.859147902	other
Zygosaccharomyces rouxii	-0.047036632	0.771116435	0.861322508	other
Absidia repens	-0.028978201	0.775280192	0.862717808	other
Cercospora berteroae	0.027480911	0.781711955	0.866616999	other
Lichtheimia corymbifera	0.052849253	0.815846397	0.901028257	other
Laetiporus sulphureus	-0.029976606	0.818839869	0.901028257	other
Anncaliia algerae	-0.002479236	0.831546899	0.911621786	other
Diaporthe ampelina	-0.024197459	0.837917187	0.91521582	other
Piloderma croceum	-0.015048769	0.846782375	0.921498467	other
Diaporthe helianthi	-0.007006039	0.851933159	0.923217359	other
Ascochyta rabiei	-0.031721719	0.854599853	0.923217359	other
Gelatoporia subvermispora	-0.004482585	0.871883279	0.927281924	other
Phytophthora palmivora	-0.004561909	0.866530953	0.927281924	other
Candida dubliniensis	-0.00826279	0.874025867	0.927281924	other
Rhynchosporium secalis	-0.046413126	0.865461214	0.927281924	other
Kwoniella heveanensis	-0.060104416	0.871526272	0.927281924	other
Aspergillus heteromorphus	0.025711197	0.877777611	0.927936332	other
Aspergillus ustus	0.003924759	0.88314199	0.930284801	other
Trametes versicolor	-0.007227461	0.894245098	0.938640245	other
Kluyveromyces marxianus	0.038476523	0.898369388	0.939637239	other
Piromyces finnis	0.005457812	0.910039476	0.948491848	other
Pochonia chlamydosporia	0.016552655	0.950750645	0.96965726	other
Fusarium pseudograminearum	0.003849201	0.93649964	0.96965726	other
Verticillium longisporum	0.001804626	0.946058477	0.96965726	other
Fusarium venenatum	-0.001270325	0.953277915	0.96965726	other
Pisolithus microcarpus	-0.002067087	0.942991523	0.96965726	other
Sporothrix brasiliensis	-0.007704972	0.947502029	0.96965726	other
Cordyceps militaris	-0.009182692	0.951292162	0.96965726	other
Fibularhizoctonia sp. CBS 109695	0.001777431	0.957430866	0.970546357	other
Armillaria gallica	0.005337507	0.960862442	0.970700624	other
Leucosporidium creatinivorum	0.010796697	0.973149365	0.979769429	other
Lentinula edodes	-0.00548853	0.987702925	0.991051071	other
Batrachochytrium dendrobatidis	0.028573612	1	1	other
