"","Aspergillus rambellii","Rhizophagus irregularis","Moniliophthora perniciosa","Erysiphe pulchra","Sphaerulina musiva","Phytophthora capsici","Trichophyton mentagrophytes","Aspergillus kawachii","Pneumocystis murina","Debaryomyces hansenii","Trichoderma atroviride","Pseudocercospora musae","Cordyceps sp. RAO-2017","Rhizophagus clarus","Pichia kudriavzevii","Paracoccidioides brasiliensis","Albugo candida","Lipomyces starkeyi","Naumovozyma dairenensis","Phytopythium vexans","Aspergillus ochraceoroseus","Colletotrichum fioriniae","Coniochaeta ligniaria","Leucoagaricus sp. SymC.cos","Colletotrichum salicis","[Candida] arabinofermentans","Baudoinia panamericana","Hyaloscypha variabilis","Schizosaccharomyces pombe","Tuber magnatum","Thielaviopsis punctulata","Edhazardia aedis","Choanephora cucurbitarum"
"Albugo candida",0.982484923673285,2.1568080654788e-11,0.0135332834001205,1.56828150466026e-09,0.0120700494945736,0.00524250560515016,0.819965369715879,0.0012104117803764,5.21849230494809e-12,2.31681340778778e-12,5.81942577686512e-05,1.82263312886732e-07,0.0530568710990551,0,4.9515946898282e-14,0.0287819862855201,NA,0.10842202250274,2.01132444033192e-11,0.0911530123036861,0.00621998744651076,0.00175102926647286,0.00857306596553564,7.7564985545564e-09,0.401475373802361,2.39586128714109e-13,2.12897326434813e-07,0.000496706534402369,1.24529675460394e-09,0,0.000837606573588889,2.23068230553736e-11,0.0134778820418773
"Lipomyces starkeyi",0.745080500667469,0.381520874743337,0.00104182819443577,0.424443890634593,0.331881332224032,0.463188136687574,0.408603722058521,0.159869455845338,0.0169438140683751,0.384423282492414,0.0239602764201416,0.000118316627463422,0.091874754912904,0.183672134773733,0.000227019283483454,0.0102912038172382,0.10842202250274,NA,0.318296178911646,0.664836488238994,0.234882484668534,0.0240790766620982,0.291673884790652,0.00243366855567473,0.0854190870328824,0.976763628020028,0.884787977257782,0.0916161796707446,0.100762646231393,0.00115261155575563,0.816439233310536,0.000540350649147703,1.05389696969382e-10
"Naumovozyma dairenensis",0.103509326207307,9.55953094461393e-11,0.0098681242385128,9.1544372082808e-10,0.000604800311550191,0.398692915374065,0.229993620316153,0.000329565310453805,8.8734726233497e-09,8.40619540198873e-07,0.000562050767963562,3.25714781368447e-07,0.0177794686271313,0,7.25333300088948e-08,6.65762286617966e-05,2.01132444033192e-11,0.318296178911646,NA,0.018754345903309,0.399240873961937,0.00405695528211725,0.153043206930216,0,0.0507268809496857,0,1.4344081478157e-13,2.23454588166305e-11,3.42724426616314e-09,0,0.00813149470879471,0,1.2095145534019e-06
"Phytopythium vexans",0.825995287422114,0.000105492987732214,0.00871906778684384,0.6771275750776,1.66714138938318e-07,0,0.942562718024693,0.768777120073089,0.94942471814349,0.154612023216548,3.07833488533138e-05,0.720404389676928,0,0.00145627058215769,0.855529130097258,0.762478277798524,0.0911530123036861,0.664836488238994,0.018754345903309,NA,0.00894349779033021,0.000180428105775565,9.63673585374636e-14,0.944891652521453,0,0.006562027209563,2.42360230817695e-06,0.0716398181115134,0.0756299651510479,0.730394902295361,1.71909250092916e-05,0.0485026526792789,0.161328285904264
"Aspergillus ochraceoroseus",0.0283395461035472,0.343689321760709,0.0164874985275723,0.0298269668777285,0.0266065721300264,0.0337640935956842,0.848079210584817,0.600041611317621,0.0351073406278544,0.00733460261773411,0.910538555087386,0.72743593764261,0.0195381261545822,0.119594752725935,0.148592603657455,0.741503203398121,0.00621998744651076,0.234882484668534,0.399240873961937,0.00894349779033021,NA,0.550654332941211,0.0267949119837771,0.940896275128162,0.204907504513722,0.180757998875292,0.594620366828832,0.837628528902357,0.0652557497781856,0.301640738103576,0.000179788666820002,7.3553482485833e-05,0.423462175239861
"Colletotrichum fioriniae",0.557235114678258,0.795359620901157,0.0142797423859382,0.112891203817515,0.0290619323747965,0.00817121249095853,0.751877681468141,0.115504778019226,0.00187144624842284,0.0304984321576827,6.38238351058362e-11,1.33226762955019e-15,0.000215426119978268,0.126380652926638,0.00010597198835649,0.00600863648083161,0.00175102926647286,0.0240790766620982,0.00405695528211725,0.000180428105775565,0.550654332941211,NA,0.10520496686353,7.53887715077006e-06,5.03063258872061e-06,0.003306233120838,3.38868044735818e-10,1.20020169358526e-08,0.0809111949731482,0.00844146155383863,0.0341410130638637,0.0257939894190058,0.0203196443290099
"Coniochaeta ligniaria",0.902712186665847,0.772394265330009,0.0251381330028129,0.0174324384096325,2.23003523922571e-05,0,0.0160247710558092,0.272546113553946,0.0810563221176535,0.00456739448945509,0.522067293535365,0.00282638409781288,4.14557277395033e-13,0.762951519679961,0.0806103986696105,0.772316300842534,0.00857306596553564,0.291673884790652,0.153043206930216,9.63673585374636e-14,0.0267949119837771,0.10520496686353,NA,0.38425709817696,2.14729589664842e-09,0.958928550438265,0.0385620146995884,0.0782406681785286,0.0809088878333097,7.42441170009656e-06,3.59101717901655e-05,0.0532120065563788,0.17355180351356
"Leucoagaricus sp. SymC.cos",0.787936392099246,0.00332803130013293,0.000120389749971972,7.70163333108087e-09,0.000886340842412903,0.340579241041925,0.245290648692796,0.0113765633014551,2.37411814429933e-07,0.118476040531621,2.42852155940554e-06,4.34700453411097e-09,0.591921400359789,5.28910248931425e-13,0.000934224956435026,0.220734696885664,7.7564985545564e-09,0.00243366855567473,0,0.944891652521453,0.940896275128162,7.53887715077006e-06,0.38425709817696,NA,0.0480839305773695,5.51558798633778e-13,4.01900734914307e-14,1.90883087114457e-10,0.00564661746919692,1.42996508034621e-06,0.444531646330425,1.67688085639384e-12,5.12034858957122e-13
"Colletotrichum salicis",0.67506884993182,0.00508194243703342,0.141177386741719,0.721277290992157,2.13200525829293e-05,7.57335083534372e-10,0.27292127009041,0.102665278668731,0.0313578017729221,0.0101824401926023,0.000747300925711736,0.24650764624521,0,0.395589002076259,0.833004107399054,0.703804004285847,0.401475373802361,0.0854190870328824,0.0507268809496857,0,0.204907504513722,5.03063258872061e-06,2.14729589664842e-09,0.0480839305773695,NA,0.0452124207555138,0.00027999613932117,0.00064389809055232,0.870765494534267,0.788954403001834,0.00268875401312663,0.27885338702183,0.0111574956223961
"[Candida] arabinofermentans",0.334204181224117,2.40030217923959e-13,0.00268570095821197,0,0.0260827999951758,0.763870925686401,0.682377668000859,0.54025699762645,3.99680288865056e-15,2.65802635013301e-06,0.00219309238666732,1.10378373108233e-12,0.371712132920768,0,2.63280724333015e-07,0.000390455677368395,2.39586128714109e-13,0.976763628020028,0,0.006562027209563,0.180757998875292,0.003306233120838,0.958928550438265,5.51558798633778e-13,0.0452124207555138,NA,0,3.2897065405102e-07,6.66342536703723e-10,5.32907051820075e-15,0.00218365244212348,3.77475828372553e-15,0.00366979222708874
"Baudoinia panamericana",0.757719172672012,0.165467019516514,6.18958371634282e-05,4.27701052352347e-08,1.89027786445806e-06,0.00151672343301046,0.810045983767612,0.58108763290804,0.00103635273545,0.17135068949216,2.51699106001979e-10,1.18312026842204e-11,0.00089339114924325,3.38545275369029e-07,4.32580628171308e-05,0.132989245196742,2.12897326434813e-07,0.884787977257782,1.4344081478157e-13,2.42360230817695e-06,0.594620366828832,3.38868044735818e-10,0.0385620146995884,4.01900734914307e-14,0.00027999613932117,0,NA,4.47569536987658e-10,6.35269556958917e-08,9.4011465279209e-11,0.00148551826867438,0.014312983402851,0.407731453181666
"Hyaloscypha variabilis",0.743514485745227,0.00128064073833967,0.0031870383082051,9.16223320202025e-05,0.00628077153725726,0.0105897546628728,0.138584222054762,0.0681287732661779,1.07480280786554e-06,0.0188783168282893,1.82896325329196e-06,2.65344604981621e-05,0.0931845373594242,6.72209448548955e-07,0.00049648577506245,0.000418676848647381,0.000496706534402369,0.0916161796707446,2.23454588166305e-11,0.0716398181115134,0.837628528902357,1.20020169358526e-08,0.0782406681785286,1.90883087114457e-10,0.00064389809055232,3.2897065405102e-07,4.47569536987658e-10,NA,3.30932336645162e-07,3.81274038669943e-05,0.000586192376755612,0.000345814808558664,0.00575046599443763
"Schizosaccharomyces pombe",0.93666528696675,0.000141274792796242,0.559559952745061,0.000248266733231528,0.00695168157098092,0.482913479516534,0.905819223547865,0.127528166411083,0.000125112831934615,5.77124626355285e-06,0.367162754686837,0.0555527701029803,0.631278103894098,2.91515700467926e-11,2.08391521816509e-08,0.0150926592544169,1.24529675460394e-09,0.100762646231393,3.42724426616314e-09,0.0756299651510479,0.0652557497781856,0.0809111949731482,0.0809088878333097,0.00564661746919692,0.870765494534267,6.66342536703723e-10,6.35269556958917e-08,3.30932336645162e-07,NA,3.35863292733052e-08,0.0235691366075779,1.28774405836474e-05,0.125342394681196
"Tuber magnatum",0.0731965672727637,8.63721331256784e-06,5.69569835739969e-09,0,0.000337321824972037,0.0974591169616195,0.273193354628093,0.00600521295510781,2.22044604925031e-15,8.93599416684765e-09,0.0451083786360815,1.96642968575134e-09,0.90778820893173,0,7.67745866880887e-11,8.32083588662158e-05,0,0.00115261155575563,0,0.730394902295361,0.301640738103576,0.00844146155383863,7.42441170009656e-06,1.42996508034621e-06,0.788954403001834,5.32907051820075e-15,9.4011465279209e-11,3.81274038669943e-05,3.35863292733052e-08,NA,0.000485319371964943,1.99218419538738e-12,7.06060807154074e-07
"Thielaviopsis punctulata",4.89203976350439e-05,6.87601153126494e-07,0.065340417499395,4.98887312869734e-05,0.000244093728244854,4.35236923741478e-05,0.247183345576847,0.0256739542077842,0.113094293085601,0.00217935738239117,0.558681242133071,0.577797980207758,0.000107885486185344,0.0240008489465304,0.367882734370663,0.432244509203145,0.000837606573588889,0.816439233310536,0.00813149470879471,1.71909250092916e-05,0.000179788666820002,0.0341410130638637,3.59101717901655e-05,0.444531646330425,0.00268875401312663,0.00218365244212348,0.00148551826867438,0.000586192376755612,0.0235691366075779,0.000485319371964943,NA,0.365457190815794,0.700302747370234
"Edhazardia aedis",0.26741645229252,0,0.0637972981661679,2.22044604925031e-15,0.20749854555753,0.951341782207927,0.114729357856725,1.95699385030501e-06,0,1.40742972831731e-10,0.0395630550026667,2.21048813964231e-06,0.897929763234388,0,1.77600003548051e-06,1.83992238778075e-07,2.23068230553736e-11,0.000540350649147703,0,0.0485026526792789,7.3553482485833e-05,0.0257939894190058,0.0532120065563788,1.67688085639384e-12,0.27885338702183,3.77475828372553e-15,0.014312983402851,0.000345814808558664,1.28774405836474e-05,1.99218419538738e-12,0.365457190815794,NA,0
"Choanephora cucurbitarum",0.765808662564498,0.00112295362047266,0.000505315294621056,1.32654067357407e-05,0.397610997287035,0.683444225210689,0.60252320364021,0.0344327261191144,0.0002951085521814,3.29641242124978e-06,0.583293351881046,0.00311009928192751,0.956980377468162,2.66453525910038e-15,6.74542199874395e-10,0.0214883441146012,0.0134778820418773,1.05389696969382e-10,1.2095145534019e-06,0.161328285904264,0.423462175239861,0.0203196443290099,0.17355180351356,5.12034858957122e-13,0.0111574956223961,0.00366979222708874,0.407731453181666,0.00575046599443763,0.125342394681196,7.06060807154074e-07,0.700302747370234,0,NA
