"","Aspergillus rambellii","Rhizophagus irregularis","Moniliophthora perniciosa","Erysiphe pulchra","Sphaerulina musiva","Phytophthora capsici","Trichophyton mentagrophytes","Aspergillus kawachii","Pneumocystis murina","Debaryomyces hansenii","Trichoderma atroviride","Pseudocercospora musae","Cordyceps sp. RAO-2017","Rhizophagus clarus","Pichia kudriavzevii","Paracoccidioides brasiliensis","Albugo candida","Lipomyces starkeyi","Naumovozyma dairenensis","Phytopythium vexans","Aspergillus ochraceoroseus","Colletotrichum fioriniae","Coniochaeta ligniaria","Leucoagaricus sp. SymC.cos","Colletotrichum salicis","[Candida] arabinofermentans","Baudoinia panamericana","Hyaloscypha variabilis","Schizosaccharomyces pombe","Tuber magnatum","Thielaviopsis punctulata","Edhazardia aedis","Choanephora cucurbitarum"
"Leucoagaricus sp. SymC.cos",0.0117561400865094,0.127781207747384,0.166884235536734,0.248428962832849,0.144529400038878,0.0416347370280668,-0.0507477688763481,0.110278701579108,0.222995359130873,0.0681546252745035,0.203864498082985,0.252406921332805,-0.0234255769546721,0.307766287207812,0.143896957162302,0.0534831049317145,0.248379158987028,0.131914102383596,0.355431701013661,-0.00302108974360296,0.00324050701799267,0.193850874174995,-0.0380139809454939,1,0.0862295458429352,0.307535985649236,0.321614559873973,0.273036185503659,0.120520812998309,0.20838007425638,-0.0334067129235002,0.301322626056193,0.307946537550471
"Colletotrichum salicis",-0.0183201055610653,-0.121997612466298,0.0642435391569339,0.0155912835848709,0.184185135077471,0.264158649985951,0.0478900670805855,0.0712405672113825,0.0938695712313527,0.111952572556226,0.146563276961124,0.0506173223795107,0.401051364132697,-0.0371166046970221,0.00921523692592358,0.0166154782354514,0.036656578776759,0.0750715054181266,-0.0852366847377393,0.378453528744714,0.0553633650248782,0.197485235612801,0.257220578470845,0.0862295458429352,1,-0.0873615113982986,0.157794209107301,0.148317543219163,-0.00711028232967384,-0.0116983379409449,0.130610379525507,0.0473027280180234,0.110573731645912
"[Candida] arabinofermentans",0.0421872793639125,0.312088007683315,0.130625304187914,0.353193166566035,0.0970154591879541,-0.0131287967444446,0.0178839920833324,0.0267618574278334,0.333518256222234,0.203084457716308,0.13326342379589,0.303676270054757,-0.0390264667449043,0.437473972027802,0.222180439580782,0.154074917270164,0.312099881447882,0.00127300773794272,0.450148473592521,-0.118387658211213,0.0584472455442977,0.127869189044556,-0.00225077926733513,0.307535985649236,-0.0873615113982986,1,0.407835818818721,0.220414711841668,0.264997069695081,0.331953805283866,0.133319082067297,0.333760926285567,0.126466105864918
"Baudoinia panamericana",-0.0134817114135119,0.0605610230072741,0.173730038006354,0.236073238864068,0.206013237186074,0.137948943224646,-0.0105051895153834,0.0241133482758614,0.142642460953146,0.0597310963380774,0.271280435025049,0.290030758409913,0.144434327465646,0.220186224330457,0.177311297330403,0.0655940149630048,0.22385076491987,0.00633304549074207,0.314869931773266,0.203881978903041,0.0232551389591202,0.269378406363513,0.090235869447134,0.321614559873973,0.157794209107301,0.407835818818721,1,0.267585303000537,0.233122938196025,0.277475819057846,0.138208846737941,0.10674370046285,0.0361720632170769
"Hyaloscypha variabilis",0.014300011688237,0.140051589033342,0.128359806399918,0.16972602318971,0.119013009811729,0.111362924706109,-0.0646645630588632,0.0796000272931672,0.210773544840262,0.102348923352582,0.206294332070853,0.182086529646997,0.073276505551088,0.214648679837338,0.151335128553085,0.153283745249206,0.151330016237785,0.0736290903933617,0.286245336300675,0.0786102170858112,0.00895640534970813,0.245295443381005,0.0768519104495519,0.273036185503659,0.148317543219163,0.220414711841668,0.267585303000537,1,0.220367381696798,0.178556723302737,0.149413805024128,0.155442461612799,0.120263795469458
"Schizosaccharomyces pombe",-0.00347295245072645,0.165197748684764,0.0254981260684584,0.159119370706969,0.117559875416174,0.0306580188829962,0.00517098324046991,0.0665308055133022,0.166480032801275,0.196258857137792,0.0393988411947893,0.0835301609080626,0.0209734796582417,0.284645511438702,0.241337356945359,0.105913279053463,0.260872997925596,0.0716367716470993,0.254040553441114,0.0775323431245853,0.0804415803568355,0.0761746935857553,0.0761752707826439,0.120520812998309,-0.00711028232967384,0.264997069695081,0.233122938196025,0.220367381696798,1,0.237856777250032,0.0987122531272218,0.188933816337187,0.0669144765308653
"Tuber magnatum",0.078183998411884,0.1926136114158,0.250535978846559,0.352443882547854,0.155721165253324,0.0723390553472035,-0.0478629388268185,0.119650565003604,0.336696961944791,0.247383741724182,0.0874036467711709,0.257814266699182,-0.00506238776870319,0.430122627540414,0.278730892463891,0.170717729901128,0.352856166039755,0.141346324111307,0.377303917455898,-0.0150602624473024,0.0451219132592639,0.114736228236843,0.19398956634167,0.20838007425638,-0.0116983379409449,0.331953805283866,0.277475819057846,0.178556723302737,0.237856777250032,1,0.15159651628695,0.300346751030863,0.214246373605941
"Thielaviopsis punctulata",0.176089618887202,0.214463399636077,0.0804163486071311,0.17589419651204,0.159305310561817,0.177250691657093,0.0505450903117296,0.097281546953627,0.0691665338770253,0.133344478730398,0.0255551861037375,0.0243233654866357,0.168031043297806,0.0984100493276584,0.0393397197420507,0.0343147260860629,0.14520636953258,-0.0101451011135571,0.115284812651166,0.186227257669555,0.162624934781905,0.0923888962985394,0.179144804475585,-0.0334067129235002,0.130610379525507,0.133319082067297,0.138208846737941,0.149413805024128,0.0987122531272218,0.15159651628695,1,0.0395391824954324,-0.0168217848947987
"Edhazardia aedis",0.0484429392432248,0.384077570314434,0.0808804973623133,0.336379915939519,0.0550485453504626,0.00266702068075838,0.0688551773839417,0.205717135182191,0.438267452836315,0.274956189725442,0.0897776575742353,0.204673893034285,-0.00560643706461575,0.613338855183568,0.206544505693738,0.224990728774976,0.286255725844671,0.150358593874168,0.352805620083648,-0.0860692500212841,0.171979482299742,0.097203048176769,0.0843417821902189,0.301322626056193,0.0473027280180234,0.333760926285567,0.10674370046285,0.155442461612799,0.188933816337187,0.300346751030863,0.0395391824954324,1,0.373462259878364
"Choanephora cucurbitarum",0.0130178100284249,0.141665101707245,0.15113228507507,0.188657503940915,0.0369581229227354,0.0178205004255796,-0.0227580899812844,0.0922397321311696,0.157211734989943,0.201212773119776,0.0239728420618215,0.128685427901821,-0.00235764314843587,0.335702534162325,0.264917086697653,0.100239763464715,0.107678512052386,0.276765042317808,0.209787032900841,-0.0611581744169435,-0.0349728954525337,0.101154950360037,0.0594260890107691,0.307946537550471,0.110573731645912,0.126466105864918,0.0361720632170769,0.120263795469458,0.0669144765308653,0.214246373605941,-0.0168217848947987,0.373462259878364,1
