"","2014_ZellerG","2015_FengQ","2019_Thom","2019_Yachida","2021_JunY_2","Mean"
"Seed_82",74.64,60.95,57.87,63.19,65.16,64.362
"Seed_83",74.45,61.03,55.09,62.28,65.15,63.6
"Seed_84",74.62,59.44,50.46,62.72,65.81,62.61
"Seed_85",75.09,61.72,53.94,62.85,65.78,63.876
"Seed_86",74.05,61.89,56.94,63.29,65.38,64.31
"Seed_87",74.41,60.78,51.16,63.08,64.4,62.766
"Seed_88",75.19,60.78,53.94,63.46,63.01,63.276
"Seed_89",74.93,61.23,57.18,62.86,65.83,64.406
"Seed_90",74.34,61.11,51.16,63.71,64.27,62.918
"Seed_91",74.41,61.27,52.55,63.16,65.53,63.384
"Seed_92",74.43,61.19,53.7,62.59,64.6,63.302
"Seed_93",74.34,61.11,59.03,62.49,64.6,64.314
"Seed_94",73.79,62.62,55.56,63.25,65.16,64.076
"Seed_95",73.81,60.83,53.94,63.62,64.66,63.372
"Seed_96",75.66,61.4,51.39,62.83,64.62,63.18
"Seed_97",75.71,60.33,53.94,62.82,65.5,63.66
"Seed_98",75.66,61.27,57.87,63.2,66.73,64.946
"Seed_99",76.52,61.44,56.02,63.58,65.29,64.57
"Seed_100",74.74,61.52,57.18,63.35,65.26,64.41
