,Aspergillus_rambellii,Aspergillus_kawachii,Trichoderma_atroviride,Rhizophagus_clarus,Baudoinia_panamericana,Fusobacterium_nucleatum,Parvimonas_micra,Gemella_morbillorum,Anaerostipes_hadrus,Dialister_pneumosintes,Brachyspira_pilosicoli,Romboutsia_ilealis,Porphyromonas_asaccharolytica,Streptococcus_salivarius
CCIS35100175ST-4-0,1.77313986616312,0.00611623173577148,0.896243133085235,1.1198119505953,0.545967632258942,149.073278143561,93.343999153453,18.7070212402483,0.239799939812318,100.112762648044,2.06262886920837,0.653914344020979,24.565585028086,15.1142881881361
CCIS38765456ST-20-0,57.3146414004596,0.0663211066388424,1.07139235073076,0.807551090112139,0.383877097143351,29.7808792683859,18.7657924473396,359.983073778298,1.11733323378461,18.7960653570835,3.83606730873494,3.53764153976294,1462.94560268725,0.535818636741394
CCIS40244499ST-3-0,2.603806013334,0.488164242174938,0.739322660810263,1.43477648384673,0.0455737444373808,7.1804640583131,4.77055427411746,18.2978347395973,0.0423432132166649,32.3540452481831,0.465151827576915,0.641991890527939,1.82708508345204,5.33245219151958
CCIS41222843ST-4-0,0.757059739767895,1.31397889907528,1.99001543329908,1.21509597710795,0.826406088170397,0.99204105366971,0.600554916586148,0.541813069320929,2.39297611714789,0.831374851877343,0.816969578087726,2.48055560785823,1.49674441686769,0.670889684350433
CCIS41548810ST-4-0,2.86679263928724,0.00510709660940909,0.700328927859413,0.19913593707943,0.431700707582677,1.02855813592946,0.386731005917011,0.218131478648808,0.181762477400966,1.24410666515124,0.189768692670383,0.0582762711119758,1.38814516694756,0.0058324207397891
CCIS44757994ST-4-0,4.07603678049176,0.679327200074342,0.587907511130259,0.025075398535114,0.833522906793049,0.0335892639311542,0.116676572442124,0.0404149476995458,0.00847749069104825,0.609192970935335,0.188842980575389,0.0115125492720281,3.19193127881717,0.000951973577586239
CCIS53043478ST-4-0,2.39142155037606,1.4867034906896,0.825588899645046,0.89312901522485,0.721732817037753,44.0169127923097,90.8416591816964,66.9969308950672,0.184207544679858,1.67937469612492,0.534443044514731,4.77383508570549,6.19818851481521,0.0296359073676234
CCIS53355328ST-4-0,4.10712093308779,0.226263676741415,0.571125620849377,2.57968357609241,0.0844935543278085,40.0389487415352,69.4953849332274,1.38521802819335,3.53177257963161,1.5779493509965,1.82083149805422,6.51521903315362,0.995652458746477,5.61977744015476
CCIS55230578ST-4-0,3.89503273880543,0.405455667845647,0.716404357748162,1.65657382350999,1.02201174839945,2.62999763045871,1.70787326486213,5.77567847247722,0.701949157454317,0.772901393984168,0.97473247113916,3.49632474895296,9.01820007501958,0.191207132216415
CCIS58234805ST-4-0,63.7911127190396,0.130144036768133,0.0985512940514844,0.226983833504743,0.0971992712173216,161.762591033749,2147.0157329245,364.005113211289,0.0511691899320875,131.306289240665,0.23356188643853,0.154928644037971,299.908341609257,2.30390438081903
CCIS59132091ST-4-0,0.235254343274802,1.47992596097036,6.03438109646181,2.25021985168013,0.616415255179569,1.56148562363883,2.91512736626888,1.5431337858774,5.92667581598026,1.59842553245228,1.69110505798769,1.36431976415909,0.216383661964319,0.0469941026155259
