"","Median","low-CI","high-CI"
"Exidia glandulosa",1.56689919566704,1.54365118783326,1.59112861223802
"Schizopora paradoxa",1.25248011153176,1.23323794572475,1.27372634393636
"Fomitiporia mediterranea",1.27553875481947,1.25718165875318,1.29306294686438
"Pyrrhoderma noxium",1.2322137148609,1.21431947990536,1.24999189376529
"Botryobasidium botryosum",1.60180924530631,1.57241990435359,1.63303461703448
"Rhizoctonia solani",1.16473729873445,1.15002129253682,1.17968668088828
"Peniophora sp. CONT",1.47941148838968,1.45684887074207,1.50160185301617
"Stereum hirsutum",1.30111073327643,1.2799584561836,1.32227239007558
"Heterobasidion irregulare",1.50003739574503,1.47725798918767,1.52388189500563
"Phlebia centrifuga",1.55492209358873,1.52780450941357,1.58326343066192
"Gelatoporia subvermispora",1.57305977893105,1.54079855432117,1.60710989783353
"Fomitopsis pinicola",1.40572391786031,1.38091828394148,1.43057704120019
"Daedalea quercina",1.40457534604611,1.3792053407075,1.42853231917345
"Grifola frondosa",1.37945986089207,1.35591713974865,1.40445475314245
"Postia placenta",1.93292913938642,1.86813221636336,2.0007153530714
"Phlebiopsis gigantea",1.70508557576935,1.67502672905713,1.73542350949922
"Phanerochaete carnosa",1.49761700558731,1.46692444352548,1.51919292261619
"Phanerochaete chrysosporium",1.38341939559454,1.36248183061782,1.40787054369009
"Wolfiporia cocos",2.00028602762942,1.95838705983448,2.05004110532912
"Laetiporus sulphureus",1.34609023867375,1.32606266795227,1.36665179657803
"Ganoderma sinense",1.90002622647089,1.85718856458716,1.94528126261512
"Dichomitus squalens",1.63888015991334,1.6114986349581,1.66662368318453
"Trametes pubescens",1.32288372482612,1.29993072905792,1.34764846425055
"Trametes coccinea",1.27407105497402,1.25708273445747,1.29166385414565
"Trametes cinnabarina",2.35002885388706,2.29484760332317,2.40907605197467
"Trametes versicolor",1.41459107367918,1.38925515664498,1.44046788031597
"Jaapia argillacea",1.58822821619527,1.56038040990143,1.61820482102929
"Plicaturopsis crispa",1.63177382985311,1.59997411232555,1.66665395245424
"Piloderma croceum",1.18161488175449,1.16376782183861,1.19997586367678
"Fibularhizoctonia sp. CBS 109695",1.46538669939584,1.44264744951046,1.48937728287505
"Serpula lacrymans",1.00003158211806,0.999964545038594,1.00008806471026
"Coniophora puteana",1.67691209509044,1.64860511884363,1.70610179947514
"Hydnomerulius pinastri",1.4445277408831,1.41671675878603,1.47055384038507
"Paxillus involutus",1.44794506858298,1.42107119229855,1.47613502947554
"Paxillus rubicundulus",1.23119715638052,1.21532725368414,1.24844716963822
"Pisolithus tinctorius",1.75000647422174,1.72228745194817,1.78573973075847
"Pisolithus microcarpus",1.2374054950386,1.22044039671568,1.25431623315298
"Scleroderma citrinum",1.57005496461662,1.54384269055786,1.59720414337988
"Suillus luteus",1.32499074059995,1.30561818246113,1.34296165259667
"Rhizopogon vinicolor",2.04091471559278,2.00294820934316,2.07507085170868
"Rhizopogon vesiculosus",1.31664387561972,1.29068016010983,1.33933862139114
"Schizophyllum commune",1.33335211353415,1.31248206546902,1.35417202272468
"Amanita muscaria",1.56252342205143,1.53204076020558,1.59475476803867
"Amanita thiersii",1.33581340275184,1.31530739250661,1.3601865073942
"Hebeloma cylindrosporum",1.30884276846166,1.29088254543627,1.33072902905531
"Fistulina hepatica",1.28452801169563,1.26174272285018,1.30646203374046
"Laccaria bicolor",1.28573511046025,1.27081704954586,1.30091893594973
"Laccaria amethystina",1.55558691689312,1.53129876901565,1.58328221585946
"Pleurotus ostreatus",1.19048548369707,1.17254980062817,1.20834097128619
"Coprinopsis cinerea",1.19008017736639,1.1703845905821,1.21027185527278
"Moniliophthora perniciosa",3.43560425034209,3.35000886323753,3.52143097755525
"Moniliophthora roreri",1.38332479207548,1.36397022702355,1.40260657596015
"Hypsizygus marmoreus",1.14166115857063,1.12418190539897,1.15940448796671
"Termitomyces sp. J132",1.3066020388621,1.28791969704162,1.32501934117291
"Gymnopus luxurians",1.31387266705559,1.29346729686842,1.33337165530876
"Lentinula edodes",1.1573465755641,1.14121483424153,1.17415335686077
"Cylindrobasidium torrendii",1.6560221381807,1.62502255692279,1.68718379706017
