"","Aspergillus rambellii","Rhizophagus irregularis","Moniliophthora perniciosa","Erysiphe pulchra","Sphaerulina musiva","Phytophthora capsici","Trichophyton mentagrophytes","Aspergillus kawachii","Pneumocystis murina","Debaryomyces hansenii","Trichoderma atroviride","Pseudocercospora musae","Cordyceps sp. RAO-2017","Rhizophagus clarus","Pichia kudriavzevii","Paracoccidioides brasiliensis","Albugo candida","Lipomyces starkeyi","Naumovozyma dairenensis","Phytopythium vexans","Aspergillus ochraceoroseus","Colletotrichum fioriniae","Coniochaeta ligniaria","Leucoagaricus sp. SymC.cos","Colletotrichum salicis","[Candida] arabinofermentans","Baudoinia panamericana","Hyaloscypha variabilis","Schizosaccharomyces pombe","Tuber magnatum","Thielaviopsis punctulata","Edhazardia aedis","Choanephora cucurbitarum"
"Trichoderma atroviride",-0.0346050133896211,0.0734913072457198,0.198448394045294,0.00785872819598058,0.0254993657041678,0.132735339462883,-0.00721638544668565,0.0639265685156516,0.0680355616026766,0.173654970638371,1,0.347443757339606,0.0552728305623833,0.256104772783595,0.27688595210257,0.13083395875939,0.232738705703084,0.214898786774972,0.189964372354897,0.269449061892975,-0.0508378571861374,0.310988081265527,0.126935916724988,0.316745185555175,0.189757524909376,0.0954856154144307,0.312354582430727,0.248080297331982,0.241733812472208,0.232393368968246,-0.0488296544602522,0.179553649373062,0.220472895835384
"Pseudocercospora musae",-0.165655758017983,0.18186962263165,0.109729495661221,0.0792827792448529,-0.0233121431184272,-0.00590669359231369,0.0416629611308259,0.115853741030974,0.245366530659876,0.218332992969046,0.347443757339606,1,0.0485816427059826,0.454083040978043,0.315193124406299,0.271546774548788,0.37763925254079,0.363796759881598,0.281951983308578,0.0803159905706803,-0.103318375471714,0.351311278796181,0.131250603118036,0.420842156355766,0.155499971627404,0.368091056476855,0.372928824537775,0.370395360102744,0.351909636006844,0.407690557493958,-0.105901339667422,0.415129935268804,0.365470775104057
"Cordyceps sp. RAO-2017",0.00849106840296268,-0.214052161334596,0.104814848928425,0.00713803219856842,0.159608451763541,0.299502726173672,-0.00589553691050321,-0.0203903748613029,0.00139926590316064,0.0880512899592749,0.0552728305623833,0.0485816427059826,1,-0.123474267658414,-0.0335800092779992,-0.0174494991836066,0.0558728548634316,-0.0480353500104353,-0.0772150742159786,0.504082928770037,0.156432259866049,0.22150867191565,0.323102185908149,-0.111258342264556,0.305337414285105,-0.0267442975089502,0.0441193546949593,0.0745072064790827,-0.0327907060993387,-0.0179875852416202,0.116188056772122,-0.0869680659218833,-0.0508520915732749
"Rhizophagus clarus",-0.008205354758437,0.43398972879966,0.0666213581407505,0.200245190524386,-0.0381868212016708,-0.0245241178286661,0.122705354277546,0.178554292805832,0.335979689709596,0.350625719934586,0.256104772783595,0.454083040978043,-0.123474267658414,1,0.409341797450442,0.299402828988265,0.336431471204059,0.235859242429246,0.483564380305635,-0.0541302324597245,-0.00408853917037247,0.137269568835925,0.130231626179346,0.441055114328738,-0.00215214956878463,0.566931466876036,0.345946581935729,0.312539885938958,0.410589294009663,0.49783129166584,-0.0763821702118519,0.705483861763583,0.384870192968918
"Pichia kudriavzevii",0.0283656070276836,0.311550916627207,0.0864429352217707,0.16468038190476,-0.0539812202268076,-0.0365134471678218,0.13386472908018,0.240321915153435,0.285185882180952,0.208792875881594,0.27688595210257,0.315193124406299,-0.0335800092779992,0.409341797450442,1,0.140986795682364,0.329322100136349,0.262494217280225,0.34960110053613,-0.0062653745006343,0.0422466992411853,0.165738471348647,0.0276849211995228,0.321942916901636,0.100728742914465,0.390852482698327,0.275242329220215,0.146627203645029,0.307666852504499,0.320408178117329,0.0297834032816674,0.410526329288181,0.300568638118599
"Paracoccidioides brasiliensis",0.00532334019512011,0.189536186601274,0.0341434228040468,0.0831095211058452,0.0729533500020999,-0.0226082462625917,0.0393292910666076,0.113384523694644,0.171819119410799,0.190670192776561,0.13083395875939,0.271546774548788,-0.0174494991836066,0.299402828988265,0.140986795682364,1,0.185443864418104,0.20915450625752,0.16030144841301,0.0996468012542932,0.0289729408788836,0.141703772785839,0.104973411511323,0.228721915538148,0.093089878292784,0.264627580022743,0.187725598204928,0.18048285990638,0.162519832765187,0.321429655724345,0.0341006544291546,0.344481722437786,0.231402981591154
"Albugo candida",-0.0966943841816205,0.301546322510818,0.0955417865996642,0.111654853300855,0.0395172875670002,-0.0662602385798698,0.126541201016797,0.236306792078884,0.272713737818619,0.332546894130463,0.232738705703084,0.37763925254079,0.0558728548634316,0.336431471204059,0.329322100136349,0.185443864418104,1,0.191945132208282,0.306733923077244,0.0753588331906154,0.027693769602338,0.231131630571488,0.0311074577608988,0.359849089848798,0.156353906617932,0.306204814236439,0.251348563913841,0.270079222058684,0.252432044426676,0.303370642069303,-0.0083239746512495,0.330085627532895,0.226079961990339
"Lipomyces starkeyi",-0.126856922288261,0.0877517266407776,0.121568017818889,-0.0521952534730783,-0.0953337819516307,-0.0192661147528843,0.0026058546290772,0.15787929432064,0.0850518096426432,0.116451713528471,0.214898786774972,0.363796759881598,-0.0480353500104353,0.235859242429246,0.262494217280225,0.20915450625752,0.191945132208282,1,0.196378438494143,0.058320015311584,-0.0634464464846354,0.162297083842143,-0.00260534167818936,0.245370121316091,0.0792000659141891,0.119698051459874,0.21870103523107,0.198889333090109,0.2244019713985,0.21551234706489,-0.128215857427865,0.300594285662991,0.393356837170473
"Naumovozyma dairenensis",-0.0529006891815772,0.305992452568874,-0.0904871042699989,0.0916463062566864,-0.119186511186978,-0.0599229868360772,0.0811208105136979,0.167346059431131,0.212351216190525,0.259286991854019,0.189964372354897,0.281951983308578,-0.0772150742159786,0.483564380305635,0.34960110053613,0.16030144841301,0.306733923077244,0.196378438494143,1,0.0303815040168863,-0.0925791074462195,0.141221086000384,-0.0402701712326242,0.30208184323772,0.0144101369354455,0.414327423604782,0.284854387669687,0.260612841661358,0.231757045941484,0.259100157799728,-0.077451031624384,0.424765461221394,0.286724350131299
"Phytopythium vexans",0.0764691153873404,-0.204992679229048,0.123897776707278,-0.034883930434883,0.131426417034843,0.380357122819999,-0.0429865026591695,0.00187438666302044,0.00829088931898396,0.103026891129701,0.269449061892975,0.0803159905706803,0.504082928770037,-0.0541302324597245,-0.0062653745006343,0.0996468012542932,0.0753588331906154,0.058320015311584,0.0303815040168863,1,0.14073980982987,0.220273229702293,0.330995089457032,0.0528629872913212,0.376325457079315,-0.0292018452125813,0.165523031975755,0.14962206740367,0.0292917398556749,0.0659535601822374,0.0830123169125999,-0.040542676391788,0.00576358029460693
