"","Aspergillus_rambellii","Rhizophagus_irregularis","Moniliophthora_perniciosa","Erysiphe_pulchra","Sphaerulina_musiva","Phytophthora_capsici","Trichophyton_mentagrophytes","Aspergillus_kawachii","Pneumocystis_murina","Debaryomyces_hansenii","Trichoderma_atroviride","Pseudocercospora_musae","Cordyceps_sp_RAO_2017","Rhizophagus_clarus","Pichia_kudriavzevii","Paracoccidioides_brasiliensis","Albugo_candida","Lipomyces_starkeyi","Naumovozyma_dairenensis","Phytopythium_vexans","Aspergillus_ochraceoroseus","Colletotrichum_fioriniae","Coniochaeta_ligniaria","Leucoagaricus_sp_SymC_cos","Colletotrichum_salicis","Candida_arabinofermentans","Baudoinia_panamericana","Hyaloscypha_variabilis","Schizosaccharomyces_pombe","Tuber_magnatum","Thielaviopsis_punctulata","Edhazardia_aedis","Choanephora_cucurbitarum","Fusobacterium_nucleatum","Parvimonas_micra","Gemella_morbillorum","Anaerostipes_hadrus","Pseudobutyrivibrio_xylanivorans","Butyrivibrio_proteoclasticus","Roseburia_intestinalis","Dialister_pneumosintes","Lactococcus_garvieae","Brachyspira_pilosicoli","Romboutsia_ilealis","Porphyromonas_asaccharolytica","Eubacterium_eligens","Clostridium_beijerinckii","Fusobacterium_periodonticum","Streptococcus_anginosus","Bifidobacterium_catenulatum","Lactobacillus_ruminis","Bifidobacterium_angulatum","Streptococcus_salivarius","Bifidobacterium_pseudocatenulatum","Streptococcus_equinus","Streptococcus_milleri","Bifidobacterium_bifidum","Prevotella_intermedia","Streptococcus_thermophilus","Bifidobacterium_adolescentis","Adlercreutzia_equolifaciens","Ruminococcus_bicirculans","Bifidobacterium_longum","Escherichia_coli"
"Seed_76",52.5,50.19,59.72,55.56,43.24,53.52,54.35,42.69,55,52.04,55.09,42.87,41.85,35.74,45.46,48.98,38.7,69.81,56.85,54.63,62.69,46.76,50.65,48.43,57.13,40.28,40.09,34.72,63.15,55.83,46.48,27.78,48.24,51.39,71.2,73.7,46.2,28.24,45.93,38.8,60.09,36.57,18.06,37.31,67.78,32.04,43.06,70.56,63.61,57.13,41.76,29.81,52.87,52.59,43.52,47.96,48.8,40.56,49.72,44.07,53.61,56.2,68.15,46.85
"Seed_77",47.87,51.2,59.91,56.2,41.94,54.91,53.15,43.33,53.61,50.46,52.13,42.59,42.22,34.26,46.02,48.8,38.98,71.94,56.85,53.06,61.02,46.76,51.02,50.65,56.94,38.89,41.76,34.44,63.8,55.28,48.24,26.02,47.04,52.13,69.54,74.63,46.57,29.44,45.19,38.24,59.81,35.46,19.26,39.72,69.35,33.89,43.89,71.85,65.09,58.7,38.89,30.19,53.33,54.54,40.83,49.63,48.98,40.28,48.52,45.56,54.07,56.3,67.87,49.91
"Seed_78",53.33,48.52,60.74,55.83,42.87,55.09,52.13,42.41,54.72,51.3,53.98,41.94,42.31,34.07,45.19,46.67,38.8,70.74,55.37,54.81,61.39,46.94,50.28,50.56,57.5,39.63,40.56,34.63,65,56.76,48.61,28.06,48.43,50.56,70.93,73.24,46.3,28.89,45.65,37.69,59.91,35.65,18.89,38.33,67.22,32.41,44.91,71.3,65.37,58.06,41.02,31.3,55.74,54.17,42.13,48.8,50.37,41.3,50,44.72,55.19,57.31,68.15,50.37
"Seed_79",49.35,49.72,59.54,56.67,42.5,54.35,52.22,42.69,52.59,51.85,54.54,42.59,41.3,31.57,47.78,47.87,38.24,69.81,54.72,55.83,62.13,45.65,49.17,49.07,57.31,39.91,41.02,33.52,62.96,53.43,48.06,29.07,47.5,52.04,70.37,74.07,46.76,29.26,43.98,37.31,60.19,35.83,19.81,38.98,67.87,31.76,44.54,70.83,64.91,58.06,40.09,30.93,54.54,53.15,39.81,49.72,49.72,42.04,49.44,44.44,54.35,57.96,68.15,49.17
"Seed_80",49.91,50.19,59.54,56.85,43.06,53.89,56.48,42.59,54.17,50.56,55.09,42.13,41.67,35.28,47.69,46.3,37.41,72.22,56.3,54.72,62.59,46.76,50.37,50.83,56.3,40.37,40,34.63,63.43,56.02,48.06,28.89,49.17,49.91,70.65,72.31,45.83,28.33,46.3,36.39,59.81,33.89,20.46,38.61,68.15,34.91,44.91,71.48,65.28,57.59,39.81,32.59,54.35,54.44,41.57,47.69,49.72,42.78,47.13,45.65,53.43,55.65,67.22,47.87
"Seed_81",49.35,50,59.35,58.15,43.61,54.35,51.94,41.48,53.43,50.56,55.46,42.22,41.48,34.35,48.7,47.96,38.52,71.3,56.39,57.31,62.59,46.48,51.85,49.54,57.78,36.94,40.65,33.33,63.61,55.19,47.96,27.22,49.07,49.91,71.02,73.33,46.2,29.91,46.2,37.41,60.28,34.44,18.52,38.24,68.52,32.69,43.7,71.48,64.44,57.96,40.37,30.37,53.89,54.26,41.67,49.63,50.19,42.04,46.67,45,55.65,56.2,67.78,48.98
"Seed_82",50.65,49.35,59.63,56.67,42.96,55.37,52.13,43.06,50.83,51.57,53.61,41.57,42.13,32.78,47.78,47.13,37.87,71.39,55.74,55.74,62.13,46.67,50,50.09,57.59,39.26,40.93,34.81,63.43,55.65,47.5,27.69,47.5,49.26,70.19,73.15,46.11,30.37,43.7,37.96,59.54,36.02,19.63,37.31,66.76,33.15,45.83,72.96,65.65,57.96,41.67,29.26,55.28,54.07,42.41,49.07,49.44,41.67,51.11,44.07,55.83,57.69,68.15,47.22
"Seed_83",50.74,49.54,60.28,57.5,42.87,55.19,54.17,43.61,51.57,49.35,54.35,42.69,41.67,33.61,46.48,46.76,38.15,71.11,57.41,56.11,62.04,46.2,50.09,49.81,58.06,40.74,41.67,33.61,63.8,55.56,47.41,29.63,48.52,48.98,70.65,75,46.2,27.69,45.19,38.06,59.44,34.54,20.56,38.52,67.96,34.17,43.43,70.65,64.72,59.72,41.76,30.46,54.81,52.69,40.37,49.44,49.44,41.48,50.09,44.26,54.17,57.78,68.89,48.8
"Seed_84",50.19,50.37,60.28,56.2,42.78,54.17,51.85,42.59,50.93,50.37,51.67,42.96,42.96,31.67,45,49.17,37.78,70.19,56.3,56.2,62.13,47.96,48.7,49.44,57.41,39.81,41.02,33.61,64.17,55.19,48.06,28.52,47.59,50.37,70.74,73.98,47.41,28.43,46.02,38.52,59.91,34.81,20.56,38.98,67.96,32.96,43.43,70.93,65.93,57.69,38.98,29.54,54.35,52.78,41.48,48.89,49.91,42.22,48.7,44.35,53.61,58.06,68.7,48.98
"Seed_85",52.69,48.89,59.81,56.3,43.43,54.44,54.35,42.87,52.87,51.94,54.81,42.13,41.76,34.44,46.57,48.98,36.2,70.65,55.65,54.63,61.48,46.11,51.2,48.52,57.13,38.7,39.35,34.81,63.61,54.81,48.61,30.19,48.15,50,70.65,74.26,46.76,28.61,45.37,37.04,59.72,34.17,19.54,38.7,69.17,34.44,44.91,72.41,64.26,57.59,39.91,30.19,55.74,51.76,40.83,48.7,48.7,41.48,47.04,44.81,54.35,57.31,67.41,48.24
