"","Aspergillus_rambellii","Rhizophagus_irregularis","Moniliophthora_perniciosa","Erysiphe_pulchra","Sphaerulina_musiva","Phytophthora_capsici","Trichophyton_mentagrophytes","Aspergillus_kawachii","Pneumocystis_murina","Debaryomyces_hansenii","Trichoderma_atroviride","Pseudocercospora_musae","Cordyceps_sp_RAO_2017","Rhizophagus_clarus","Pichia_kudriavzevii","Paracoccidioides_brasiliensis","Albugo_candida","Lipomyces_starkeyi","Naumovozyma_dairenensis","Phytopythium_vexans","Aspergillus_ochraceoroseus","Colletotrichum_fioriniae","Coniochaeta_ligniaria","Leucoagaricus_sp_SymC_cos","Colletotrichum_salicis","Candida_arabinofermentans","Baudoinia_panamericana","Hyaloscypha_variabilis","Schizosaccharomyces_pombe","Tuber_magnatum","Thielaviopsis_punctulata","Edhazardia_aedis","Choanephora_cucurbitarum","Fusobacterium_nucleatum","Parvimonas_micra","Gemella_morbillorum","Anaerostipes_hadrus","Pseudobutyrivibrio_xylanivorans","Butyrivibrio_proteoclasticus","Roseburia_intestinalis","Dialister_pneumosintes","Lactococcus_garvieae","Brachyspira_pilosicoli","Romboutsia_ilealis","Porphyromonas_asaccharolytica","Eubacterium_eligens","Clostridium_beijerinckii","Fusobacterium_periodonticum","Streptococcus_anginosus","Bifidobacterium_catenulatum","Lactobacillus_ruminis","Bifidobacterium_angulatum","Streptococcus_salivarius","Bifidobacterium_pseudocatenulatum","Streptococcus_equinus","Streptococcus_milleri","Bifidobacterium_bifidum","Prevotella_intermedia","Streptococcus_thermophilus","Bifidobacterium_adolescentis","Adlercreutzia_equolifaciens","Ruminococcus_bicirculans","Bifidobacterium_longum","Escherichia_coli"
"Seed_11",58.05,52.04,62.57,57.11,47.39,38.46,47.65,52.11,49.1,57.92,53.66,53.53,56.38,53.53,53.8,64.9,55.68,48.64,54.87,43,46.69,48.2,46.45,59.57,52.72,56.93,54.34,40.98,60.44,49.45,67.03,44.03,64.66,66.06,68.23,64.24,51.4,62.75,65.38,49.25,61.8,69.37,47.85,68.45,58.93,52.17,57.31,55.33,56.85,62.33,51.89,46.18,58.47,45.88,59.52,35.17,57.77,52,54.3,50.64,50.86,62.62,58.45,51.12
"Seed_12",57.61,52.76,62.83,57.99,48.27,37.82,47.02,52.79,49.01,58.47,53.33,52.9,57,52.79,53.6,64.13,56.54,48.86,55.07,42.76,47.28,47.78,46.84,58.38,52.68,56.16,53.62,41.4,60.03,49.74,67.24,43.02,63.58,66.52,68.69,64.06,51.03,62.53,64.5,49.17,60.9,69.46,48.31,68.08,57.59,51.12,57.61,57.02,56.36,61.3,52,46.14,58.4,45.94,60.79,35.61,56.76,52.04,54.43,50.33,49.76,63.49,58.8,50.88
"Seed_13",58.14,51.86,61.89,57.44,47.87,37.87,46.67,53.62,48.86,58.12,53.42,53.31,55.97,53.62,53.8,64.33,55.55,49.45,54.74,42.45,47.35,47.76,46.71,58.64,53.95,57.09,53.27,40.96,58.86,50.09,67.62,43.92,64.92,66.7,67.92,63.69,51.12,61.89,64.11,48.95,60.53,68.96,47.7,68.89,59.13,50.79,57.44,56.38,56.49,61.78,51.67,45.26,57.83,46.27,60.38,34.6,56.91,53.25,54.76,50.99,51.95,63.56,57.66,50.83
"Seed_14",58.16,52.63,60.73,56.98,47.63,37.93,46.93,53.47,48.05,56.56,53.91,52.81,57.26,53.62,53.95,63.54,55.64,49.01,53.73,42.32,47.43,47.92,47.89,57.96,53.07,58.67,52.57,41.93,60.29,50.18,68.32,44.08,63.49,67.03,68.21,63.91,51.43,62.26,64.79,48.27,60.84,69.48,48.44,69.24,58.71,51.23,57.5,55.88,56.85,61.39,51.36,46.29,57.44,45.24,59.48,35.1,56.95,51.16,54.37,50.46,49.98,64.77,58.14,50.57
"Seed_15",57.83,51.84,62.37,57.77,47.81,38.53,46.4,54.48,49.25,56.91,54.08,52,58.07,53.84,54.52,64.61,56.23,47.98,55.22,42.98,47.3,47.24,46.27,59.59,52.24,57.37,52.63,41.82,60.68,50.39,67.75,44.21,64.81,66.24,67.73,62.79,50.94,62.42,64.19,48.95,61.67,67.99,47.1,69.2,57.88,51.78,57.31,56.67,57.06,60.88,52.17,46.03,58.14,45.5,59.5,35.87,57.48,52.5,54.8,50.55,50.7,64.77,58.95,50.11
"Seed_16",58.78,51.29,62.24,57.33,47.54,38.99,47.35,55.75,47.7,57.9,54.72,53.4,56.95,54.06,53.95,63.91,56.47,47.41,54.54,42.85,47.19,47.56,45.83,57.96,52.98,57.72,53.97,41.33,60.22,49.19,67.57,44.6,63.67,66.63,68.3,64.77,51.03,62.2,64.81,48.66,60.97,70.12,48.71,68.65,58.16,52.5,58.49,56.76,56.01,62.33,51.86,46.09,59.46,45.79,60.31,34.73,57.09,53.2,54.72,51.14,51.29,63.3,58.93,50.5
"Seed_17",58.23,52.04,61.74,57.59,47.08,37.76,46.51,54.89,49.21,58.42,53.71,52.74,57.85,53.25,53.97,63.36,56.52,49.71,53.73,42.08,47.46,47.28,46.09,58.67,52.15,57.33,52.96,40.94,59.81,50.33,68.12,43.24,63.58,67.24,68.06,63.95,51.86,62.88,63.95,49.21,61.74,69.68,48.03,68.17,58.25,52.7,57.26,55.7,56.71,61.76,53.01,46.86,59.04,45.41,59.43,35.1,57.53,52.94,54.65,52.02,49.8,64.11,58.03,50.83
"Seed_18",58.25,51.6,63.34,57.11,48.11,36.86,47.63,53.62,48.97,57.63,53.8,53.33,56.76,53.66,53.55,63.43,57.11,48.49,55.38,42.21,47.5,46.75,46.97,58.42,51.84,58.21,52.15,41.62,59.26,49.19,68.17,43.92,64.09,66.13,67.9,64.74,50.66,61.8,63.58,48.92,61.19,69.48,48.29,68.36,58.03,51.29,56.67,56.43,57.37,60.6,52.17,45.39,58.71,45.35,59.85,34.2,57,51.32,54.94,50.53,50.72,63.19,58.75,52.41
"Seed_19",58.53,51.21,62.51,57.94,48.31,38.85,47.67,53.01,48.75,57.42,54.08,52.83,57.04,53.58,53.09,65.27,56.95,48.55,55.24,41.68,46.58,47.06,47.28,58.89,52.24,58.07,53.16,40.76,60.47,50.55,66.24,42.83,64.7,65.47,68.25,63.78,51.56,62,64.46,48.66,60.62,68.93,48.09,68.87,57.72,51.32,57.33,55.68,57.17,62.46,52.9,45.79,58.4,45.41,59.98,35.39,57.26,53.58,54.65,49.32,50.88,64.3,58.1,51.01
"Seed_20",58.05,50.83,61.67,58.03,47.39,37.78,46.53,55.16,46.8,57.81,52.7,52.28,56.82,53.31,53.44,64.26,56.49,48.88,55.29,43.18,48.09,47.98,46.12,58.18,52.96,58.34,52.61,41.68,60.77,49.17,66.92,45.11,63.91,66.24,67.46,63.03,51.62,61.98,63.19,49.85,61.23,70.07,47.15,68.69,58.49,52.04,56.82,56.34,55.84,61.61,51.84,45.11,57.7,46.12,59.7,35.72,57.31,52.04,55.81,50.81,49.67,64.83,57.46,51.49
