"","Aspergillus_rambellii","Rhizophagus_irregularis","Moniliophthora_perniciosa","Erysiphe_pulchra","Sphaerulina_musiva","Phytophthora_capsici","Trichophyton_mentagrophytes","Aspergillus_kawachii","Pneumocystis_murina","Debaryomyces_hansenii","Trichoderma_atroviride","Pseudocercospora_musae","Cordyceps_sp_RAO_2017","Rhizophagus_clarus","Pichia_kudriavzevii","Paracoccidioides_brasiliensis","Albugo_candida","Lipomyces_starkeyi","Naumovozyma_dairenensis","Phytopythium_vexans","Aspergillus_ochraceoroseus","Colletotrichum_fioriniae","Coniochaeta_ligniaria","Leucoagaricus_sp_SymC_cos","Colletotrichum_salicis","Candida_arabinofermentans","Baudoinia_panamericana","Hyaloscypha_variabilis","Schizosaccharomyces_pombe","Tuber_magnatum","Thielaviopsis_punctulata","Edhazardia_aedis","Choanephora_cucurbitarum","Fusobacterium_nucleatum","Parvimonas_micra","Gemella_morbillorum","Anaerostipes_hadrus","Pseudobutyrivibrio_xylanivorans","Butyrivibrio_proteoclasticus","Roseburia_intestinalis","Dialister_pneumosintes","Lactococcus_garvieae","Brachyspira_pilosicoli","Romboutsia_ilealis","Porphyromonas_asaccharolytica","Eubacterium_eligens","Clostridium_beijerinckii","Fusobacterium_periodonticum","Streptococcus_anginosus","Bifidobacterium_catenulatum","Lactobacillus_ruminis","Bifidobacterium_angulatum","Streptococcus_salivarius","Bifidobacterium_pseudocatenulatum","Streptococcus_equinus","Streptococcus_milleri","Bifidobacterium_bifidum","Prevotella_intermedia","Streptococcus_thermophilus","Bifidobacterium_adolescentis","Adlercreutzia_equolifaciens","Ruminococcus_bicirculans","Bifidobacterium_longum","Escherichia_coli"
"Seed_76",64.17,50.36,45.1,51.78,52.76,61.05,46.97,74.06,58.29,65.06,60.52,64.88,70.23,65.51,71.3,62.83,48.84,51.6,57.04,49.82,66.84,56.68,59.54,72.82,50.71,48.84,39.66,42.34,55.26,37.97,53.39,57.58,50,61.94,72.64,61.23,52.05,65.42,59.71,60.34,36.9,34.85,58.56,51.16,70.94,36.45,59.27,47.59,45.45,42.42,49.82,32.8,60.7,59.8,66.13,69.88,53.21,56.06,51.69,65.86,59.27,66.4,75.58,42.25
"Seed_77",63.73,48.93,45.54,50,52.85,61.59,47.86,73.26,58.65,67.56,57.49,62.21,72.73,68.09,72.19,61.94,47.77,51.52,54.63,51.34,65.51,57.04,58.73,73.62,51.69,48.93,40.82,44.56,55.08,37.34,54.28,58.11,51.34,62.12,74.06,61.59,52.85,66.49,59,59.36,35.29,34.94,56.33,50,70.94,38.24,60.25,47.24,45.72,42.78,49.73,31.19,59.89,59.71,66.49,71.57,52.67,55.7,52.67,63.64,58.47,63.9,75.49,41.35
"Seed_78",63.46,51.43,45.54,51.87,53.57,60.52,47.95,73.17,57.22,66.4,59.63,62.75,69.88,66.84,71.57,59.54,46.97,51.78,54.81,47.42,66.13,55.44,59.54,72.37,51.6,47.86,41.18,44.74,54.1,36.99,52.85,58.91,51.43,61.85,72.46,61.32,54.81,66.84,60.43,60.43,36.36,35.38,56.33,50.18,68.98,37.79,59.8,49.29,45.45,43.05,50.62,33.16,59.63,57.66,67.38,70.86,53.03,57.58,53.48,65.78,59.89,62.66,75.4,42.51
"Seed_79",63.99,49.47,46.88,50.71,54.01,59.54,47.24,72.91,58.65,66.04,58.91,61.59,71.21,67.91,71.39,61.76,47.24,50.45,55.7,49.73,66.58,56.95,61.14,73.08,51.34,48.66,40.73,43.4,55.7,36.45,53.83,58.47,48.84,61.5,73.62,60.7,53.74,64.8,60.7,61.5,35.83,35.29,56.51,50.45,69.16,36.54,59.36,49.2,44.47,44.65,48.4,31.64,61.14,59.89,66.13,70.5,50.98,57.31,52.23,64.08,59.98,66.04,75.49,41
"Seed_80",65.69,50.36,44.21,52.76,54.63,59.18,46.7,73.44,56.77,66.93,60.96,63.73,70.05,68.18,71.39,62.03,46.43,52.32,54.19,50.89,67.47,56.24,60.07,73.35,50.98,47.59,41.35,43.49,54.19,35.03,53.74,57.4,50.89,61.68,73.89,62.3,53.83,64.62,60.96,60.78,36.01,35.12,56.06,49.91,70.32,35.2,58.56,48.31,43.76,44.74,48.48,31.64,60.34,58.47,68,72.46,52.41,57.58,52.23,65.06,59.27,65.24,75.49,40.82
"Seed_81",65.51,48.84,44.56,52.14,54.55,59.98,44.56,72.91,57.66,66.84,59.09,63.46,70.5,68.09,72.01,62.48,49.47,53.65,58.38,50.53,67.29,56.24,59.18,72.01,51.69,50.89,40.2,44.3,54.37,37.88,53.57,57.49,51.43,61.05,73.44,62.48,53.92,64.8,59.09,60.07,35.29,35.65,56.33,52.5,70.5,38.32,59.45,48.75,45.28,43.05,51.16,33.07,59.8,59.71,69.34,71.21,52.05,56.15,51.87,66.04,58.65,64.53,74.6,41.98
"Seed_82",62.39,47.5,44.47,51.43,52.94,60.16,46.61,73.71,57.93,65.78,59,61.59,72.55,67.65,70.86,61.59,47.68,51.96,57.75,50.8,67.38,53.92,59.18,72.55,51.69,49.47,39.93,43.94,54.37,37.7,53.39,54.63,51.78,61.14,71.93,60.52,53.74,61.85,59.09,60.7,36.63,33.6,55.26,50.62,70.05,36.9,56.33,48.4,45.54,45.01,49.91,31.55,60.07,59.8,65.42,71.39,52.32,57.58,54.01,67.02,59.18,64.88,76.29,41.18
"Seed_83",62.83,49.55,45.54,51.43,53.03,59.45,47.24,73.26,58.2,66.49,60.78,63.37,71.93,66.13,71.12,62.57,47.68,52.76,56.68,51.6,65.6,56.77,58.11,70.86,51.16,49.73,41.35,43.05,54.37,38.15,53.12,57.49,50.62,63.28,72.01,60.16,52.41,64.71,59.27,60.96,35.2,34.58,54.99,50.45,70.23,36.9,58.82,49.29,45.01,43.32,49.29,32.09,60.7,60.61,68.18,69.52,51.43,55.88,51.07,63.46,58.56,66.04,74.51,42.42
"Seed_84",63.81,50.09,45.63,50.8,53.74,61.41,47.33,72.91,57.49,66.84,59.18,63.01,70.5,68.09,71.39,61.05,46.79,52.41,54.63,51.52,65.42,55.26,57.84,73.35,50.98,48.4,42.69,42.87,55.61,38.5,51.87,56.24,51.43,62.03,75.04,61.23,52.94,65.95,59.45,61.76,36.36,35.2,54.81,51.16,68.89,37.08,60.34,50.62,46.17,45.01,48.4,32.09,59.98,59.89,68.09,70.68,51.43,55.7,52.67,63.55,58.38,62.92,74.51,40.29
"Seed_85",64.08,50.62,45.99,52.23,54.37,60.61,47.77,72.46,57.84,65.15,59.09,62.3,70.77,67.2,70.94,62.12,49.2,54.19,56.24,50.89,66.58,57.58,58.47,72.64,51.69,48.04,39.84,43.58,55.53,34.67,52.85,57.13,51.16,62.12,74.06,61.05,53.92,65.51,58.29,60.16,35.92,34.31,56.6,50.89,70.14,38.06,61.5,46.08,45.45,42.78,48.75,32.53,61.32,58.11,66.31,70.32,53.3,57.84,52.94,64.62,57.75,64.26,74.51,41.62
