"","Cohort","Feature","Seed","AUC","MeanAUC"
"292","2019_WirbelJ","Gemella_morbillorum","65","62.75",63.97
"293","2019_WirbelJ","Anaerostipes_hadrus","74","55.26",56.05
"294","2019_WirbelJ","Pseudobutyrivibrio_xylanivorans","58","67.38",56.47
"295","2019_WirbelJ","Butyrivibrio_proteoclasticus","53","62.57",56.74
"296","2019_WirbelJ","Roseburia_intestinalis","23","62.92",53.49
"297","2019_WirbelJ","Dialister_pneumosintes","75","37.97",55.75
"298","2019_WirbelJ","Lactococcus_garvieae","21","38.06",52.56
"299","2019_WirbelJ","Brachyspira_pilosicoli","58","58.82",52.65
"300","2019_WirbelJ","Romboutsia_ilealis","69","52.85",54.69
"301","2019_WirbelJ","Porphyromonas_asaccharolytica","4","72.1",62.37
"302","2019_WirbelJ","Eubacterium_eligens","14","38.95",50.38
"303","2019_WirbelJ","Clostridium_beijerinckii","85","61.5",55.66
"304","2019_WirbelJ","Fusobacterium_periodonticum","55","50.8",57.76
"305","2019_WirbelJ","Streptococcus_anginosus","53","46.79",52.87
"306","2019_WirbelJ","Bifidobacterium_catenulatum","2","46.43",55.09
"307","2019_WirbelJ","Lactobacillus_ruminis","25","51.6",54.44
"308","2019_WirbelJ","Bifidobacterium_angulatum","63","34.22",48.94
"309","2019_WirbelJ","Streptococcus_salivarius","48","62.3",55.08
"310","2019_WirbelJ","Bifidobacterium_pseudocatenulatum","98","61.76",53.51
"311","2019_WirbelJ","Streptococcus_equinus","70","69.7",55.23
"312","2019_WirbelJ","Streptococcus_milleri","1","73.26",54.01
"313","2019_WirbelJ","Bifidobacterium_bifidum","42","54.1",55.41
"314","2019_WirbelJ","Prevotella_intermedia","26","58.65",52.53
"315","2019_WirbelJ","Streptococcus_thermophilus","27","54.72",53.08
"316","2019_WirbelJ","Bifidobacterium_adolescentis","58","67.56",55.16
"317","2019_WirbelJ","Adlercreutzia_equolifaciens","95","60.87",52.57
"318","2019_WirbelJ","Ruminococcus_bicirculans","11","67.56",57.71
"319","2019_WirbelJ","Bifidobacterium_longum","89","76.65",59.98
"320","2019_WirbelJ","Escherichia_coli","39","43.94",51.42
"321","2019_Yachida","Aspergillus_rambellii","97","60.18",62.08
"322","2019_Yachida","Rhizophagus_irregularis","21","58.89",53.78
"323","2019_Yachida","Moniliophthora_perniciosa","20","56.63",56.13
"324","2019_Yachida","Erysiphe_pulchra","52","50.6",54.07
"325","2019_Yachida","Sphaerulina_musiva","26","53.54",51.14
"326","2019_Yachida","Phytophthora_capsici","61","48.43",53.04
"327","2019_Yachida","Trichophyton_mentagrophytes","96","51.34",54.04
"328","2019_Yachida","Aspergillus_kawachii","50","55.94",60.06
"329","2019_Yachida","Pneumocystis_murina","1","51.29",54.05
"330","2019_Yachida","Debaryomyces_hansenii","15","53.11",56.05
"331","2019_Yachida","Trichoderma_atroviride","37","48.5",55.86
"332","2019_Yachida","Pseudocercospora_musae","37","46.12",54.09
"333","2019_Yachida","Cordyceps_sp_RAO_2017","65","54.09",55.91
"334","2019_Yachida","Rhizophagus_clarus","83","46.39",54.25
"335","2019_Yachida","Pichia_kudriavzevii","10","46.07",54.93
"336","2019_Yachida","Paracoccidioides_brasiliensis","10","49.72",55.18
"337","2019_Yachida","Albugo_candida","55","48.21",52.25
"338","2019_Yachida","Lipomyces_starkeyi","16","54.83",56.03
"339","2019_Yachida","Naumovozyma_dairenensis","11","51.38",55.58
"340","2019_Yachida","Phytopythium_vexans","34","47.97",50.79
"341","2019_Yachida","Aspergillus_ochraceoroseus","78","51.15",57.94
"342","2019_Yachida","Colletotrichum_fioriniae","93","47.78",51.35
"343","2019_Yachida","Coniochaeta_ligniaria","86","52.1",54.74
