"","N.count","P.count","Missing","2014_ZellerG-Median","2015_FengQ-Median"
"Neolentinus lepideus",2,0,0,-0.217755671880135,-0.0671864854361068
"Sistotremastrum niveocremeum",2,0,0,-0.0513050299418576,-0.201181645740062
"Sistotremastrum suecicum",0,2,0,0.0341335262871658,0.559334175836032
"Serendipita vermifera",2,0,0,-0.110828168241621,-0.368457681205311
"Serendipita indica",2,0,0,-0.273652360901716,-0.0812374083853779
"Exidia glandulosa",1,1,0,0.280414039127464,-0.30971028570036
"Schizopora paradoxa",1,1,0,-0.396014312969707,0.251143186534629
"Fomitiporia mediterranea",1,1,0,-0.46667007572211,0.229374130622288
"Pyrrhoderma noxium",2,0,0,-0.151729566053872,-0.0346717478349309
"Botryobasidium botryosum",1,1,0,0.255243039837389,-0.29200977447154
"Rhizoctonia solani",2,0,0,-0.101652462249369,-0.0329958809812335
"Peniophora sp. CONT",0,2,0,0.462871965913241,0.277005298374503
"Stereum hirsutum",1,1,0,0.0440911972588549,-0.212364296689489
"Heterobasidion irregulare",1,1,0,0.169997392347155,-0.124548596187953
"Phlebia centrifuga",2,0,0,-0.155627706041257,-0.231351369762713
"Gelatoporia subvermispora",0,2,0,0.17817608114187,0.500296078411693
"Fomitopsis pinicola",1,1,0,0.476525331942907,-0.453696951231445
"Daedalea quercina",1,1,0,0.321177045161382,-0.00223721523239283
"Grifola frondosa",0,2,0,0.14979564027745,0.271996768688821
"Postia placenta",1,1,0,-0.0256935962703166,0.818933850840606
"Phlebiopsis gigantea",0,2,0,0.357520269696818,0.309942208225614
"Phanerochaete carnosa",0,2,0,0.043238578059574,0.383751341812674
"Phanerochaete chrysosporium",0,2,0,0.265654632080695,0.163255064626183
"Wolfiporia cocos",1,1,0,0.437130728192726,-0.239347342627357
"Laetiporus sulphureus",2,0,0,-0.053512823927104,-0.0278737925845276
"Ganoderma sinense",1,1,0,0.0116269740305307,-0.245173366920073
"Dichomitus squalens",1,1,0,0.0537314424384826,-0.367628151350317
"Trametes pubescens",1,1,0,0.170653911700279,-0.419773323900638
"Trametes coccinea",1,1,0,0.0903355384126159,-0.476565682534404
"Trametes cinnabarina",1,1,0,0.464297041506864,-0.384005721357714
"Trametes versicolor",1,1,0,0.393922788437455,-0.33022854952042
"Jaapia argillacea",1,1,0,-0.149704228924634,0.146646100960361
"Plicaturopsis crispa",1,1,0,0.0442432530828911,-0.135693961900803
"Piloderma croceum",2,0,0,-0.294271310716684,-0.0152287380959933
"Fibularhizoctonia sp. CBS 109695",1,1,0,0.0547836251087577,-0.0927584650519869
"Serpula lacrymans",0,2,0,0.0169511543045133,0.016035087614526
"Coniophora puteana",1,1,0,0.129953585425131,-0.441000179696409
"Hydnomerulius pinastri",0,2,0,0.0980915990146509,0.166473453883082
"Paxillus involutus",2,0,0,-0.186203343779639,-0.305286695806692
"Paxillus rubicundulus",0,2,0,0.196418150474179,0.163057350377678
"Pisolithus tinctorius",1,1,0,0.146170203059685,-0.0717300413052322
"Pisolithus microcarpus",1,1,0,-0.122022006010518,0.189630920885305
