"","all-Median","all-low-CI","all-high-CI","all-p-value"
"Aspergillus oryzae",-0.0229374378470424,-0.0389880657648594,-0.00688018198856445,0.00531079709009516
"Aspergillus glaucus",-0.185076416564037,-0.224692028261463,-0.145511870685634,8.41121372130286e-20
"Aspergillus novofumigatus",0.12631071240117,0.0895430085345631,0.163174503422944,1.79204992113783e-11
"Aspergillus japonicus",-0.841496190947739,-0.946612720297181,-0.738241455743928,1.14623691812489e-83
"Aspergillus piperis",0.0201763821712878,-0.0421571062136411,0.0827878380088563,0.526580923888171
"Aspergillus luchuensis",-0.936850452931969,-1.01235587619836,-0.861995337740022,1.51430002818497e-135
"Aspergillus indologenus",-0.0585246112577799,-0.106842173910933,-0.0102823693012026,0.017447026204022
"Aspergillus brunneoviolaceus",-0.50438094337187,-0.538565352343271,-0.470203528735253,1.14130011715293e-177
"Aspergillus vadensis",-0.238219351561984,-0.283835447258209,-0.192617057479443,1.16658289351594e-24
"Aspergillus udagawae",-0.260660783770846,-0.294066673098614,-0.22745167244194,1.04452399071758e-52
"Aspergillus uvarum",0.00990546719183798,-0.0240001011941816,0.0439310164948947,0.566897363317314
"Aspergillus niger",-0.199945772617977,-0.251174381403881,-0.154153195581965,2.19396695624958e-23
"Aspergillus ustus",0.190428046079421,0.162745275584003,0.218269427273647,1.26822029230693e-41
"Aspergillus neoniger",-0.664205311862223,-0.717717067508971,-0.610305271375126,4.73860319382874e-119
"Aspergillus eucalypticola",-0.453185445464286,-0.488532563625594,-0.417811833354425,4.58307749594154e-131
"Aspergillus versicolor",0.057183019347721,0.0284164615054143,0.0860675856617607,9.80085570306159e-05
"Aspergillus calidoustus",-0.0796670729904274,-0.105014243562626,-0.0541665755026262,9.53772074576798e-10
"Aspergillus carbonarius",-0.0191498280211104,-0.0515078363129504,0.0130390166438766,0.244357498324137
"Aspergillus sclerotiicarbonarius",-0.150461653477286,-0.179335623364807,-0.121612240073874,3.21686702943715e-24
"Aspergillus rambellii",1.17917882446845,1.12177981988525,1.23639564131028,0
"Aspergillus campestris",0.0539744585396919,0.0234825533034137,0.0844226573324966,0.000529696477285054
"Aspergillus cristatus",-0.0115939992310389,-0.0455626544787203,0.0222487821458111,0.502818125147952
"Aspergillus ellipticus",0.473866006493753,0.441431656570417,0.506463815936932,1.85281841821502e-174
"Aspergillus aculeatinus",-0.33829463714807,-0.382792540094477,-0.293964452832441,5.17452826784934e-50
"Aspergillus turcosus",0.132573158087565,0.0979787034223647,0.167211178308739,5.8596899028068e-14
"Aspergillus aculeatus",-0.0831706830645444,-0.117449953184283,-0.0488229360500238,2.02588506875146e-06
"Aspergillus saccharolyticus",0.0146041213118601,-0.0121946936790528,0.0413416714504517,0.285090604005103
"Aspergillus nomius",0.0286056053169761,-0.00109163129092805,0.0581579161163915,0.0589355514734945
"Aspergillus wentii",-0.00604461537559298,-0.0368091666156776,0.0245187471759323,0.696778242777343
"Aspergillus fumigatus",0.117326607470671,0.073766195386161,0.161262327556102,1.33043698154686e-07
"Aspergillus ruber",-0.296562173750958,-0.324692358842298,-0.268464513604278,1.08125002943496e-93
"Aspergillus sydowii",0.217268926995957,0.186668044586902,0.247784437088384,7.9824736472409e-43
"Aspergillus nidulans",-0.329882541874442,-0.363592998126547,-0.296066508976746,5.0547956033985e-80
"Aspergillus sclerotioniger",-0.308376321451207,-0.337566788261764,-0.279125351624148,4.27539294200128e-92
"Aspergillus brasiliensis",-0.0777994586922421,-0.112026147812605,-0.0436903437775785,7.94442101408179e-06
"Aspergillus heteromorphus",-0.0778696989056832,-0.109743687811412,-0.0459984584794529,1.77465435844807e-06
"Aspergillus steynii",-0.159466643715686,-0.18521313193506,-0.133758453051714,3.30323049282242e-33
"Aspergillus taichungensis",-0.239769257519782,-0.27078184025065,-0.208865869950575,6.4236880178981e-52
"Blumeria graminis",0.128940971042635,0.0995889718504019,0.158287228268838,9.18877748914578e-18
"Erysiphe necator",-0.317049361858029,-0.347514151590215,-0.286548555937676,3.56874468026603e-90
"Erysiphe pulchra",0.327231813030321,0.298150620613723,0.356369739573196,1.31351173383047e-104
"Amorphotheca resinae",0.504930275885099,0.472449816760262,0.537217435153611,6.57323814303358e-187
"Oidiodendron maius",-0.381178587956564,-0.411137900840213,-0.351148184784045,1.01287301238487e-126
"Pseudogymnoascus sp. VKM F-4516 (FW-969)",0.0930958384520775,0.0808202031551324,0.105664268933409,2.86092834029908e-58
"Pseudogymnoascus sp. VKM F-4514 (FW-929)",0.0955888662064719,0.0862148544824351,0.104967549146737,5.63766898487841e-89
"Pseudogymnoascus sp. VKM F-4517 (FW-2822)",-0.090762643830345,-0.149005635416027,-0.0385499858355566,0.000465540679567801
"Pseudogymnoascus sp. VKM F-4515 (FW-2607)",-0.274335852154172,-0.320970220023409,-0.233578606833849,3.80255989953073e-60
"Pseudogymnoascus sp. VKM F-4246",0.0248261783241804,-0.037030623012631,0.0876931531571317,0.432853600817904
"Pseudogymnoascus sp. VKM F-4520 (FW-2644)",0.657124575315947,0.608290807091529,0.706602090960889,2.58400769880742e-158
"Pseudogymnoascus sp. VKM F-3557",-0.513645219700883,-0.588301752916342,-0.439712898245814,3.32952931285231e-42
"Pseudogymnoascus sp. 05NY08",-0.191952404376169,-0.250798174002811,-0.133108777697665,2.18715096504517e-10
"Pseudogymnoascus sp. VKM F-4519 (FW-2642)",-0.40773811080931,-0.472824070486364,-0.342909212786015,3.20703142946425e-35
"Pseudogymnoascus sp. WSF 3629",-0.0146899585186812,-0.0550473747317916,0.0254386067234282,0.474862115623864
"Pseudogymnoascus sp. VKM F-3775",-0.268427891367468,-0.311934367033843,-0.22516619167997,7.54061349883244e-35
