"","2014_ZellerG-Median","2014_ZellerG-low-CI","2014_ZellerG-high-CI","2014_ZellerG-p-value","2015_FengQ-Median","2015_FengQ-low-CI","2015_FengQ-high-CI","2015_FengQ-p-value"
"Aspergillus violaceofuscus",-0.307303221532732,-0.450010961476757,-0.178889537653202,4.81945630611734e-07,-1.0743950629263,-1.30868410447027,-0.837152249691203,1.55995226977586e-21
"Aspergillus parasiticus",-0.510699713927298,-0.587318673102537,-0.434809156840198,2.8283548890977e-38,0.0648052113736557,-0.0632091718677785,0.193472749710509,0.32417900600887
"Aspergillus flavus",-0.460058967534889,-0.623728526072372,-0.326858633944207,1.49260236830558e-16,-0.552698191299692,-0.783455657257392,-0.349857186362731,9.40097635892925e-10
"Aspergillus ochraceoroseus",1.17938937414079,1.05829469148372,1.30278324089646,1.83922914872033e-76,0.991696613948631,0.875465505764049,1.10935908811579,3.31359037489695e-56
"Aspergillus tubingensis",-0.379006368147367,-0.464583954634211,-0.294137017089871,1.28700886562285e-18,1.02421864473272,0.818199793961809,1.25570790337545,1.6098161774607e-31
"Aspergillus kawachii",-1.46512123060443,-1.69319499430894,-1.25263959830377,4.6167378198606e-70,0.805672223093386,0.503247026422911,1.24614855257775,7.48274152764290e-12
"Aspergillus arachidicola",0.37909085146395,0.28962494325836,0.468944535814172,1.88491723020034e-16,0.366068339777052,0.211942087718301,0.522616179169538,2.34127808610844e-06
"Aspergillus oryzae",-0.326946601747386,-0.556488482622185,-0.194180755053697,5.05075840785985e-21,0.0819507390736306,0.0484429760949385,0.122639230066893,1.48844577910521e-07
"Aspergillus glaucus",-0.284051369746011,-0.348720005694264,-0.219776250627817,5.2581943747155e-18,-0.0257770786972053,-0.130056285869527,0.0788497795227709,0.639089394833551
"Aspergillus novofumigatus",0.0327475911918974,-0.0282786682394752,0.0934906197285278,0.293767449633196,0.252386941047206,0.155681894180577,0.348683647843869,2.90902283970414e-07
"Aspergillus japonicus",-1.84249381871144,-2.03213967740402,-1.64431825280234,2.45978525464967e-99,0.0134126110432267,-0.0926509515960565,0.109335808438231,0.77658004773623
"Aspergillus piperis",-0.0962391541491362,-0.191751420284769,-0.000305304129840401,0.0492814846013331,0.110870208028011,-0.0564573217049039,0.281639151735569,0.19272956039573
"Aspergillus luchuensis",-1.12670512714653,-1.27380708047997,-0.98086129377597,1.53939134853694e-56,-0.731420442826276,-0.903089320281667,-0.554169357496253,6.49999360749069e-16
"Aspergillus indologenus",-0.309138019635785,-0.380299270252289,-0.23887055645406,7.21194210075071e-18,0.0902183695447815,-0.0508167716898887,0.240239184404849,0.214353438453428
"Aspergillus brunneoviolaceus",-0.649668856839897,-0.713443397189683,-0.586277145590165,3.63387746782015e-87,-0.30739583225015,-0.380537771746994,-0.2346056562378,5.31660578249921e-16
"Aspergillus vadensis",-0.268531901795571,-0.341493407382698,-0.19557864454229,7.24990773516861e-13,-0.424119469412021,-0.553820820974543,-0.298027212317479,1.6834345283412e-11
"Aspergillus udagawae",-0.400009679454913,-0.458470246661707,-0.342193446934932,8.58390033029864e-41,0.015815891814184,-0.0597245564264123,0.0921493982680106,0.685573766233644
"Aspergillus uvarum",-0.14666979389937,-0.203174406110222,-0.0895969564388143,6.23733745192775e-07,0.100473195910605,0.0214740425257385,0.180336015279107,0.0129177836343645
"Aspergillus niger",-0.378424655386182,-0.48746343814817,-0.281062759984784,2.70840051791509e-21,-0.14003518371338,-0.252503712381008,-0.0621247034080142,0.000133238201127471
"Aspergillus ustus",0.233287178376307,0.193591386184562,0.274021577043443,3.34030927453602e-30,0.118461099804942,0.030843056333234,0.208316507560867,0.00785987284686588
"Aspergillus neoniger",-0.92286555268866,-1.01245533967441,-0.833073908027067,1.66316161165911e-77,-0.519648083129602,-0.643465381984555,-0.395799510439184,4.66396812857653e-16
"Aspergillus eucalypticola",-0.230195757798074,-0.297917002894488,-0.162256289983577,7.31025521956545e-11,-0.63555715205203,-0.711573795505705,-0.561593087563862,1.0171160686545e-57
"Aspergillus versicolor",0.096611273411069,0.0510436608480763,0.142669840412485,3.17694733295305e-05,0.0232899700073307,-0.0534546858093801,0.0999998177912352,0.557905688833569
"Aspergillus calidoustus",-0.137128012862941,-0.177721617868423,-0.0965312589238198,4.23915839345296e-11,-0.111047217162827,-0.172779313386851,-0.0489768455585002,0.000492545164397389
"Aspergillus carbonarius",-0.114011272014259,-0.165761968517713,-0.0624163469679233,1.55070811088461e-05,-0.00660711053224443,-0.0924073363014588,0.0791103242082612,0.877738767469474
"Aspergillus sclerotiicarbonarius",0.172711935258032,0.121816199228674,0.224125520869386,2.52562755697024e-11,-0.486814920950278,-0.553763104376007,-0.421438719974996,4.90052111063497e-46
"Aspergillus rambellii",1.43766059061818,1.33560314394643,1.53976723067474,5.13629318272582e-146,0.949355459619754,0.818235901610152,1.08058959961746,1.16929327684715e-41
"Aspergillus campestris",0.231605128708136,0.180870422666072,0.281730330692758,2.5409066232646e-18,-0.300192444676386,-0.372329418961795,-0.228193196705412,1.02967626054006e-15
"Aspergillus cristatus",-0.00841941777401806,-0.0657873135907706,0.048265490543349,0.773794747867466,0.00891178825768251,-0.0796086171949552,0.0986212801896411,0.840617361449302
"Aspergillus ellipticus",0.300695842691829,0.245299244744145,0.356081519741975,5.24270979020059e-26,0.638905267480285,0.556977609896665,0.721577610172102,3.00017040034005e-52
"Aspergillus aculeatinus",-0.343904705720031,-0.422190877583104,-0.26524545553167,1.55278089833745e-17,-0.333942533496135,-0.441299291199789,-0.229258366913139,5.70372997619222e-10
"Aspergillus turcosus",0.179227000198026,0.11319276165998,0.245333406768194,1.03134680176296e-07,0.063784160871504,-0.00693296856092668,0.134603916076616,0.0769176179418808
"Aspergillus aculeatus",-0.0934132524507178,-0.149740144681859,-0.0370886093932448,0.00117567100186586,-0.116811222245538,-0.206506271489134,-0.0280443536607268,0.0099202773934223
