"","2014_ZellerG","2015_FengQ","2019_Thom","2019_Yachida","2021_JunY_2","Mean"
"Seed_33",19.64,16.26,33.33,31.68,20.45,24.272
"Seed_34",20.21,16.3,31.94,30.95,21.31,24.142
"Seed_35",18.45,16.34,32.87,31.88,21.22,24.152
"Seed_36",19.14,17.93,32.18,31.72,21.48,24.49
"Seed_37",19.07,16.63,34.26,31.99,21.67,24.724
"Seed_38",19.45,15.81,31.25,31.85,21.27,23.926
"Seed_39",19.02,15.16,32.87,31.79,21.39,24.046
"Seed_40",19.09,17.57,33.1,31.36,21.3,24.484
"Seed_41",19.31,16.95,35.42,31.04,20.35,24.614
"Seed_42",19.31,16.54,32.87,30.94,21.13,24.158
"Seed_43",18.64,17.61,33.1,32.18,20.58,24.422
"Seed_44",19.57,16.14,31.48,32.09,21.24,24.104
"Seed_45",19.14,16.38,33.1,30.94,20.9,24.092
"Seed_46",18.64,16.95,35.19,31.03,20.69,24.5
"Seed_47",19.38,16.75,33.1,31.63,21.67,24.506
"Seed_48",19.62,15.44,32.87,32.05,20.45,24.086
"Seed_49",20.28,15.89,31.94,31.65,20.39,24.03
"Seed_50",19.21,16.87,34.26,31.82,21.28,24.688
"Seed_51",19.28,14.17,35.42,31.2,21.2,24.254
"Seed_52",19.12,16.83,32.87,31.55,21.26,24.326
"Seed_53",18.81,17.28,33.1,31.69,20.36,24.248
"Seed_54",19.76,15.77,32.41,31.97,21.37,24.256
"Seed_55",19.45,17.03,34.49,31.64,21.39,24.8
"Seed_56",18.22,15.77,33.33,32.03,20.53,23.976
"Seed_57",18.81,16.22,32.18,31.46,21.11,23.956
"Seed_58",18.33,14.46,33.56,31.51,20.67,23.706
"Seed_59",18.43,15.36,31.94,31.19,21.35,23.654
"Seed_60",19.28,16.75,34.72,31.42,21.12,24.658
"Seed_61",19.35,15.6,31.02,31.29,20.66,23.584
"Seed_62",18.22,15.89,31.25,31.74,21.29,23.678
"Seed_63",18.17,17.89,32.87,31.96,21.02,24.382
"Seed_64",19.54,16.14,30.09,31.37,21.51,23.73
"Seed_65",19.33,17.73,30.56,31.06,20.5,23.836
"Seed_66",19.62,15.36,33.33,31.22,20.52,24.01
"Seed_67",19.69,16.71,34.03,30.79,21.66,24.576
"Seed_68",19.09,15.6,33.8,31.24,21.17,24.18
"Seed_69",19,16.63,33.8,31.85,21,24.456
"Seed_70",20.09,14.91,32.87,30.76,21.05,23.936
"Seed_71",20,15.93,34.49,31.42,21.07,24.582
"Seed_72",18.29,16.71,33.1,31.65,20.77,24.104
"Seed_73",18.74,16.42,32.64,31.61,20.74,24.03
"Seed_74",19.4,17.48,31.71,31.44,21.34,24.274
"Seed_75",20.28,16.09,32.87,31.2,20.4,24.168
"Seed_76",17.88,16.18,33.8,31.33,20.95,24.028
"Seed_77",19.45,16.18,34.03,31.25,20.79,24.34
"Seed_78",18.62,17.2,34.95,30.8,20.83,24.48
"Seed_79",19,17.32,32.41,31.44,21.18,24.27
"Seed_80",18.67,16.58,32.41,32.1,21.04,24.16
"Seed_81",19.71,14.75,35.19,31.47,20.49,24.322
"Seed_82",19.09,15.73,37.73,31.64,21.09,25.056
"Seed_83",19.28,14.75,33.56,31.37,21.05,24.002
"Seed_84",19.31,16.75,35.65,31.65,20.13,24.698
"Seed_85",19.28,18.18,31.94,31.27,21.28,24.39
"Seed_86",19.19,17.32,31.94,31.93,21.29,24.334
"Seed_87",19.85,17.36,34.49,31.63,21.15,24.896
"Seed_88",17.88,17.12,35.19,32.09,21.86,24.828
"Seed_89",18.83,14.05,32.18,31.57,21.22,23.57
"Seed_90",19.66,15.28,31.94,31.67,20.97,23.904
"Seed_91",18.69,16.79,30.56,31.22,21.1,23.672
"Seed_92",19.35,17.2,30.56,31.88,21.12,24.022
"Seed_93",18.15,16.5,35.19,31.33,21.45,24.524
"Seed_94",19.31,15.93,32.87,31.57,21.28,24.192
"Seed_95",18.76,17.65,29.86,31.64,21.17,23.816
"Seed_96",19.17,16.09,32.87,31.46,21.36,24.19
"Seed_97",18.98,16.75,37.27,31.77,21.39,25.232
"Seed_98",19.85,15.69,32.87,31.26,20.88,24.11
"Seed_99",18.79,16.58,33.8,31.83,21.57,24.514
"Seed_100",19.21,16.05,32.41,30.94,22.09,24.14
