"","2014_ZellerG","2015_FengQ","2016_VogtmannE","2019_Thom","2019_WirbelJ","2019_Yachida","2021_JunY_1","2021_JunY_2","Mean_Index","Larger0.65_Counts"
"Streptococcus_milleri",0.509903961584634,0.52156862745098,0.68716577540107,0.757407407407407,0.688057040998217,0.60169560609766,0.501974550241334,0.541666666666667,0.601179954480996,3
"Choanephora_cucurbitarum",0.690576230492197,0.535947712418301,0.56951871657754,0.505555555555556,0.71301247771836,0.538925572674656,0.662132514260641,0.5846875,0.600044534962156,3
"Albugo_candida",0.629951980792317,0.569281045751634,0.517825311942959,0.611111111111111,0.64349376114082,0.508844868345969,0.682755594559017,0.630625,0.599236084205478,1
"Sphaerulina_musiva",0.69327731092437,0.511111111111111,0.671122994652406,0.553703703703704,0.588235294117647,0.556248471508926,0.611671785870996,0.607708333333333,0.599134875652812,2
"Colletotrichum_salicis",0.539615846338535,0.582352941176471,0.656862745098039,0.581481481481481,0.627450980392157,0.538681014102878,0.660816147433085,0.601041666666667,0.598537852836164,2
"Paracoccidioides_brasiliensis",0.619147659063625,0.569934640522876,0.546345811051693,0.505555555555556,0.736185383244207,0.513776799543491,0.686704695041685,0.604791666666667,0.597805276336225,2
"Hyaloscypha_variabilis",0.686374549819928,0.579738562091503,0.536541889483066,0.588888888888889,0.602495543672014,0.550175266976441,0.606845107503291,0.616145833333333,0.595900705221058,1
"Ruminococcus_bicirculans",0.563325330132053,0.549019607843137,0.521390374331551,0.657407407407407,0.679144385026738,0.577484307491644,0.662132514260641,0.531145833333333,0.592631219978313,3
"Lipomyces_starkeyi",0.652460984393758,0.506535947712418,0.574866310160428,0.501851851851852,0.705882352941177,0.504972690959485,0.671347082053532,0.615416666666667,0.591666735842414,3
"Thielaviopsis_punctulata",0.580732292917167,0.602614379084967,0.541889483065954,0.603703703703704,0.508021390374332,0.550949702453738,0.734971478718736,0.578333333333333,0.587651970456491,1
"Phytophthora_capsici",0.670768307322929,0.501960784313725,0.605169340463458,0.638888888888889,0.520499108734403,0.600635852286623,0.576129881526986,0.583854166666667,0.58723829127546,1
"Bifidobacterium_catenulatum",0.687274909963986,0.643137254901961,0.538324420677362,0.551851851851852,0.516934046345811,0.531751854569169,0.617814831066257,0.609479166666667,0.587071042005383,1
"Prevotella_intermedia",0.582232893157263,0.813071895424837,0.562388591800356,0.553703703703704,0.508021390374332,0.536765305290617,0.576568670469504,0.555416666666667,0.58602113961091,1
"Bifidobacterium_angulatum",0.628151260504202,0.617647058823529,0.545454545454545,0.583333333333333,0.550802139037433,0.550012227928589,0.587977182974989,0.623125,0.585812843507078,0
"Fusobacterium_periodonticum",0.521008403361344,0.634640522875817,0.508021390374332,0.735185185185185,0.502673796791444,0.622727643270563,0.548924967090829,0.603854166666667,0.584629509452023,1
"Bifidobacterium_pseudocatenulatum",0.656662665066026,0.60718954248366,0.508021390374332,0.62037037037037,0.538324420677362,0.552376294122442,0.595436594997806,0.5978125,0.5845242222615,1
"Trichophyton_mentagrophytes",0.623649459783914,0.511764705882353,0.56951871657754,0.598148148148148,0.659536541889483,0.556248471508926,0.575691092584467,0.572291666666667,0.583356100380187,1
"Adlercreutzia_equolifaciens",0.506302521008403,0.615032679738562,0.688948306595365,0.535185185185185,0.541889483065954,0.570595907719899,0.633611232996928,0.558958333333333,0.581315456205454,1
"Bifidobacterium_adolescentis",0.57563025210084,0.581045751633987,0.558823529411765,0.505555555555556,0.645276292335116,0.500448357381593,0.602018429135586,0.659895833333333,0.578586750110972,1
"Coniochaeta_ligniaria",0.641056422569028,0.510457516339869,0.535650623885918,0.596296296296296,0.645276292335116,0.578544061302682,0.52610794207986,0.5784375,0.576478331851096,0
"Cordyceps_sp_RAO_2017",0.71218487394958,0.517647058823529,0.546345811051693,0.512962962962963,0.593582887700535,0.576628352490421,0.532250987275121,0.600208333333333,0.573976408448397,1
"Phytopythium_vexans",0.643157262905162,0.539869281045752,0.549910873440285,0.588888888888889,0.579322638146168,0.576098475584903,0.507240017551558,0.5628125,0.568412492195339,0
"Bifidobacterium_bifidum",0.576230492196879,0.593464052287582,0.502673796791444,0.52962962962963,0.54367201426025,0.543694464824325,0.633611232996928,0.589895833333333,0.564108939540046,0
"Bifidobacterium_longum",0.612545018007203,0.579084967320261,0.512477718360071,0.52037037037037,0.508021390374332,0.505013450721448,0.679245283018868,0.571041666666667,0.560974983104902,1
"Escherichia_coli",0.500900360144058,0.618300653594771,0.581996434937611,0.616666666666667,0.502673796791444,0.527349800277166,0.501535761298815,0.612395833333333,0.557727413380483,0
