"","2014_ZellerG_p_values","2014_ZellerG_adj_pvalue","2015_FengQ_p_values","2015_FengQ_adj_pvalue","2016_VogtmannE_p_values","2016_VogtmannE_adj_pvalue","2019_Thom_p_values","2019_Thom_adj_pvalue","2019_WirbelJ_p_values","2019_WirbelJ_adj_pvalue","2019_Yachida_p_values","2019_Yachida_adj_pvalue","2021_JunY_1_p_values","2021_JunY_1_adj_pvalue","2021_JunY_2_p_values","2021_JunY_2_adj_pvalue","2014_ZellerG_p_values","2014_ZellerG_adj_pvalue","2015_FengQ_p_values","2015_FengQ_adj_pvalue","2016_VogtmannE_p_values","2016_VogtmannE_adj_pvalue","2019_Thom_p_values","2019_Thom_adj_pvalue","2019_WirbelJ_p_values","2019_WirbelJ_adj_pvalue","2019_Yachida_p_values","2019_Yachida_adj_pvalue","2021_JunY_1_p_values","2021_JunY_1_adj_pvalue","2021_JunY_2_p_values","2021_JunY_2_adj_pvalue"
"Trichoderma atroviride",0.0106155575827669,0.0253403632620887,0.00882033949155287,0.120523559377526,0.585380108383851,0.791459633005141,0.957101333231028,0.983687481376334,0.0832601543862255,0.280056882935486,0.735529683812723,0.855882485767955,0.0915637746246484,0.147298246135304,3.10330854049991e-06,0.000229644831996993,0.0106155575827669,0.0253403632620887,0.00882033949155287,0.120523559377526,0.585380108383851,0.791459633005141,0.957101333231028,0.983687481376334,0.0832601543862255,0.280056882935486,0.735529683812723,0.855882485767955,0.0915637746246484,0.147298246135304,3.10330854049991e-06,0.000229644831996993
"Pseudocercospora musae",0.0156493688609995,0.0350925241125442,0.0134955210037947,0.120523559377526,0.107060640822879,0.495155463805816,0.338321227681869,0.641942842268162,0.0142577818226293,0.131118379248989,0.311493547360057,0.651358473022571,0.00212390814912642,0.00847858481682214,0.00212717984386514,0.00925948873211885,0.0156493688609995,0.0350925241125442,0.0134955210037947,0.120523559377526,0.107060640822879,0.495155463805816,0.338321227681869,0.641942842268162,0.0142577818226293,0.131118379248989,0.311493547360057,0.651358473022571,0.00212390814912642,0.00847858481682214,0.00212717984386514,0.00925948873211885
"Cordyceps sp. RAO-2017",9.49698144015951e-05,0.00157224989476783,0.793021476177013,0.978059820618316,0.518361763171294,0.791459633005141,0.888772397991741,0.983687481376334,0.337977384591261,0.510414825709251,0.0193702950656522,0.124718860443211,0.590685500310483,0.66228374277236,0.0154360509600743,0.0278601895376952,9.49698144015951e-05,0.00157224989476783,0.793021476177013,0.978059820618316,0.518361763171294,0.791459633005141,0.888772397991741,0.983687481376334,0.337977384591261,0.510414825709251,0.0193702950656522,0.124718860443211,0.590685500310483,0.66228374277236,0.0154360509600743,0.0278601895376952
"Rhizophagus clarus",0.000127479721197391,0.00157224989476783,0.0692292502719013,0.341530968008046,0.151011011539428,0.532389328139854,0.0832585685778382,0.436748977733233,0.017454231543324,0.131118379248989,0.183734455626732,0.487756077589759,0.000372830446389323,0.00440746644308547,0.0059695591869816,0.0149528387910634,0.000127479721197391,0.00157224989476783,0.0692292502719013,0.341530968008046,0.151011011539428,0.532389328139854,0.0832585685778382,0.436748977733233,0.017454231543324,0.131118379248989,0.183734455626732,0.487756077589759,0.000372830446389323,0.00440746644308547,0.0059695591869816,0.0149528387910634
"Pichia kudriavzevii",0.00178328879566606,0.00659816854396444,0.29620526358868,0.644682044281244,0.758645588999321,0.905480219128222,0.00839440545880342,0.310593001975727,0.140452878989596,0.359606197674231,0.621804658788552,0.855882485767955,0.00352721106103664,0.0124292199293672,3.36164243745628e-05,0.000628779876487797,0.00178328879566606,0.00659816854396444,0.29620526358868,0.644682044281244,0.758645588999321,0.905480219128222,0.00839440545880342,0.310593001975727,0.140452878989596,0.359606197674231,0.621804658788552,0.855882485767955,0.00352721106103664,0.0124292199293672,3.36164243745628e-05,0.000628779876487797
"Paracoccidioides brasiliensis",0.0284890701214887,0.0448708549438932,0.291650796505456,0.644682044281244,0.518361763171294,0.791459633005141,0.957101333231028,0.983687481376334,0.0150042703853497,0.131118379248989,0.674565003389415,0.855882485767955,0.00174047760725982,0.00804970893357665,0.0113149714302908,0.0239230824526148,0.0284890701214887,0.0448708549438932,0.291650796505456,0.644682044281244,0.518361763171294,0.791459633005141,0.957101333231028,0.983687481376334,0.0150042703853497,0.131118379248989,0.674565003389415,0.855882485767955,0.00174047760725982,0.00804970893357665,0.0113149714302908,0.0239230824526148
"Albugo candida",0.0168773390459556,0.0356835168400205,0.29620526358868,0.644682044281244,0.806801968885333,0.918513010730995,0.200462091618741,0.573281770111097,0.140452878989596,0.359606197674231,0.787658534942977,0.875771763043674,0.00217693393945433,0.00847858481682214,0.00159116838703516,0.00805566891129478,0.0168773390459556,0.0356835168400205,0.29620526358868,0.644682044281244,0.806801968885333,0.918513010730995,0.200462091618741,0.573281770111097,0.140452878989596,0.359606197674231,0.787658534942977,0.875771763043674,0.00217693393945433,0.00847858481682214,0.00159116838703516,0.00805566891129478
"Lipomyces starkeyi",0.00505182416223978,0.014878662059171,0.925058304211549,0.988769141006624,0.295011147742393,0.742052622770104,0.991416294424989,0.991416294424989,0.0340880748648701,0.180179824285742,0.879848872669736,0.917025585599443,0.00406070146352824,0.013658723104595,0.00527483968406161,0.0144569680229837,0.00505182416223978,0.014878662059171,0.925058304211549,0.988769141006624,0.295011147742393,0.742052622770104,0.991416294424989,0.991416294424989,0.0340880748648701,0.180179824285742,0.879848872669736,0.917025585599443,0.00406070146352824,0.013658723104595,0.00527483968406161,0.0144569680229837
"Naumovozyma dairenensis",0.0220255426205873,0.0407472538480864,0.012415035262786,0.120523559377526,0.826282914179704,0.923414459804759,0.0723937523909925,0.436748977733233,0.461089922522438,0.588287142528628,0.717787454545207,0.855882485767955,0.0007803384412495,0.00553655295527778,0.00519334182689797,0.0144569680229837,0.0220255426205873,0.0407472538480864,0.012415035262786,0.120523559377526,0.826282914179704,0.923414459804759,0.0723937523909925,0.436748977733233,0.461089922522438,0.588287142528628,0.717787454545207,0.855882485767955,0.0007803384412495,0.00553655295527778,0.00519334182689797,0.0144569680229837
"Phytopythium vexans",0.00847716555448177,0.0216313879666087,0.54914670205658,0.84660116567056,0.486405262362873,0.791459633005141,0.306763260080283,0.613526520160566,0.417504281373441,0.572135496696938,0.0202246800718721,0.124718860443211,0.906160063045697,0.917845544090201,0.129096204492922,0.151636811626607,0.00847716555448177,0.0216313879666087,0.54914670205658,0.84660116567056,0.486405262362873,0.791459633005141,0.306763260080283,0.613526520160566,0.417504281373441,0.572135496696938,0.0202246800718721,0.124718860443211,0.906160063045697,0.917845544090201,0.129096204492922,0.151636811626607
