"","2014_ZellerG-Median","2014_ZellerG-low-CI","2014_ZellerG-high-CI","2014_ZellerG-p-value","2015_FengQ-Median","2015_FengQ-low-CI","2015_FengQ-high-CI","2015_FengQ-p-value","2016_VogtmannE-Median","2016_VogtmannE-low-CI","2016_VogtmannE-high-CI","2016_VogtmannE-p-value","2019_Thom-Median","2019_Thom-low-CI","2019_Thom-high-CI","2019_Thom-p-value","2019_WirbelJ-Median","2019_WirbelJ-low-CI","2019_WirbelJ-high-CI","2019_WirbelJ-p-value","2019_Yachida-Median","2019_Yachida-low-CI","2019_Yachida-high-CI","2019_Yachida-p-value","2021_JunY_1-Median","2021_JunY_1-low-CI","2021_JunY_1-high-CI","2021_JunY_1-p-value","2021_JunY_2-Median","2021_JunY_2-low-CI","2021_JunY_2-high-CI","2021_JunY_2-p-value"
"Pythium iwayamai",0.293233502001887,0.250419044846711,0.336246737661467,2.05579540239675e-39,-0.0507803461518476,-0.115847216000066,0.0138442021740182,0.122202306576464,-0.0301317721171017,-0.11061474580056,0.0505836775813991,0.462985400210581,-0.669231010550358,-0.790823581800587,-0.54737341602561,4.23827804211709e-24,-0.47288997375056,-0.589814792140759,-0.35385160189515,1.42943268560186e-13,0.191972997693581,0.169622730744986,0.214354421444985,5.26528943953573e-63,-0.234344883510723,-0.28300831907244,-0.186043492140501,5.45144585844462e-21,0.266556847270114,0.236142816050359,0.297006265461895,8.25294554466302e-65
"Pythium aphanidermatum",-0.320075679844261,-0.373489325019517,-0.266260821976389,9.72542571334914e-30,0.179425533462151,0.092219142950099,0.266638089126814,5.6438693846973e-05,-0.0955636357383861,-0.165704841834398,-0.0241403950539301,0.00920255008443031,-0.42606936263326,-0.549174264903324,-0.299240113116312,2.04726437480007e-10,-0.347155603913137,-0.474246955944507,-0.216639832243443,3.77336591641454e-07,0.0445207836165814,0.0243576466087096,0.0646714558818069,1.52121818343906e-05,-0.483827218068258,-0.572170702743641,-0.396538465698048,3.05519859022286e-27,-0.467743814192238,-0.502311205685475,-0.433139792778812,7.52063452793143e-146
"Hyaloperonospora arabidopsidis",-0.244366577757857,-0.289194527758051,-0.19973071564021,4.53033724139233e-27,-0.271962589472652,-0.330140197295807,-0.21428602971433,6.11054602032767e-20,0.0251472342794978,-0.0438719435717138,0.0941529835560679,0.481086301022893,0.28224393460773,0.121540404034957,0.441367743558986,0.00031033432627602,-1.19798954432282,-1.35117454726879,-1.05783204613967,1.64858096681241e-43,0.170329028888209,0.153110631984621,0.187546163735774,3.71800408498431e-83,-0.470712041858824,-0.52308317274801,-0.418492519796589,6.80678601512455e-62,-0.2722692763862,-0.300132706124827,-0.244410043754778,8.32104484387683e-80
"Phytophthora parasitica",0.385107897625122,0.345189286353552,0.424827478749888,1.85034048466685e-72,0.0900503528674779,0.0279090074691798,0.151558904415595,0.00461741329084585,0.166138948950303,0.107938170678906,0.225053912323453,2.28119685304068e-08,0.238387984043748,0.146192230110229,0.333678186064008,6.90771153842343e-07,-0.721335738741092,-0.832193611835144,-0.613906735021322,5.76076768598041e-33,0.164801045072054,0.149509792302243,0.180029267452339,1.32239980747719e-97,-0.514050897735062,-0.579529197511519,-0.448354890448299,4.0856052783121e-50,-0.111909305747875,-0.13963923268446,-0.0841603032550681,2.80061169490364e-15
"Phytophthora palmivora",-0.124041209437046,-0.159693339015148,-0.0883814580619994,9.05319373229965e-12,-0.0753597722895153,-0.127568291694315,-0.0247727215105498,0.00396993416012629,0.0696010735661784,0.00822072624674429,0.131530744408807,0.0263961146587838,0.157757014068871,0.0428065283104243,0.279273840670665,0.00712969215004953,-0.392250818469948,-0.491724819970787,-0.292571003355105,1.7179426985613e-13,0.172059333695437,0.156810695648484,0.187276143396488,1.06800212804038e-106,0.00899845753880811,-0.0356192501512474,0.0533421419209586,0.689846295710529,-0.227038278883801,-0.252922862850048,-0.201063836920282,1.59643297558969e-63
"Phytophthora capsici",0.499601658384132,0.458248928192086,0.54076713089254,3.44324902552172e-109,0.0384472862704409,-0.0287247012011771,0.106312822826845,0.250150804774042,-0.225211997153637,-0.286152747100709,-0.163480500231269,3.54823708374194e-12,0.409687517447168,0.314252333197041,0.505077882808596,7.57517604322297e-16,-0.155050718843215,-0.282055432036002,-0.0316079651812248,0.0138095900327574,0.365014344686847,0.345998353963976,0.384011719359032,1.34113362442756e-297,0.295318935087003,0.218780189003473,0.370909998047675,9.70671106636836e-14,0.341190304483858,0.305109533554482,0.377373087898785,4.83251230457276e-74
"Phytophthora ramorum",-0.0811285442991829,-0.127142534373231,-0.0354819814009228,0.000472731624518642,-0.374745593661893,-0.458995333999335,-0.28997273591452,9.86619406874059e-18,-0.00587439504282646,-0.0820784800823429,0.0703034273576912,0.881598322482113,-0.33690552537625,-0.454552741249794,-0.221333572577286,1.90297430182006e-08,-0.557498288854276,-0.682602789352444,-0.4291098195081,1.15114421366305e-15,0.0518164860372723,0.0277305622576399,0.075859012368853,2.46393605695062e-05,-0.507823341834167,-0.598736050609914,-0.418231365362865,1.92085928495924e-28,-0.237780234771503,-0.275382678315749,-0.200199645140764,8.3726664289253e-35
"Phytophthora cinnamomi",0.51287768320087,0.47271124183267,0.552684423696965,6.43080310225545e-122,-0.0543335792762143,-0.117399471038031,0.00940346948964853,0.0937154282892086,-0.120325382598521,-0.183337862689764,-0.0571044395486336,0.000237210726431898,0.174777067706464,0.0564727075462039,0.29337018009988,0.00390634505615317,-0.419282839770348,-0.534385423615257,-0.306430909849288,9.93620686648117e-13,0.0796091562244052,0.0601904864149755,0.0990372343635351,9.40906521495958e-16,-0.353322087767399,-0.428393841898304,-0.279525055510694,1.64931646475976e-20,-0.0664328106126565,-0.0997560881910473,-0.0328723682276367,0.000100095009350918
"Phytophthora infestans",0.000608675853052777,-0.0471036766818159,0.0474770921410407,0.979176948961737,-0.288555405800595,-0.347928161972694,-0.229093253341572,1.44301963455192e-20,-0.274384293997181,-0.352179479348135,-0.195564529406586,1.4053886333056e-11,-0.0405468426758543,-0.142161775835018,0.0627091546091339,0.428915287071154,-0.0899832975801257,-0.225261583055192,0.0434063258931474,0.187182774965595,0.0330418800574285,0.016412092182019,0.049653492910543,0.000101425240040373,-0.697056640353132,-0.757188052702207,-0.637128649782583,1.77126351537175e-99,-0.226887543724396,-0.257529618510479,-0.196252816994738,3.91114423403041e-47
"Phytophthora sojae",0.352361530564136,0.296964190952423,0.407949518055643,1.65867119132429e-35,0.135572741167768,0.0618683673397425,0.209831800504736,0.00031187391716632,-0.239220770088779,-0.294151830566549,-0.18367483813151,1.51108322485761e-16,-0.0357065897751958,-0.153353571144503,0.0828536065236149,0.572264174695221,-0.167976128801761,-0.247498397205983,-0.0881036195942523,3.82112970421847e-05,0.30345201525799,0.286438582553954,0.320451892682879,4.70241157826235e-257,-0.559427891462664,-0.642446994804243,-0.477375459173676,4.12366581848672e-39,0.159696247055357,0.127209444736805,0.192089035695892,6.54073194316444e-22
