"","unclassified","Bacteria","Eukaryota","Ratio"
"CCMD85481373ST",2350877,4869487,5655,0.116131329645197
"CCMD85661207ST",6272067,8557167,17212,0.201141335678035
"CCMD86114146ST-21-0",19360059,10338108,23357,0.22593108913159
"CCMD86707194ST-21-0",11430560,21076619,16279,0.0772372456891686
"CCMD87156761ST-21-0",18684337,8657906,28030,0.323750338707766
"CCMD88272491ST-21-0",8197959,21592935,15057,0.0697311412274431
"CCMD89107682ST",5194481,14142892,21679,0.15328548079134
"CCMD89306485ST",4470718,3115625,132405,4.24970912738215
"CCMD89643949ST",10348518,6936064,34911,0.503325805528899
"CCMD89967135ST",8602237,8518082,24537,0.288057804562107
"CCMD90311071ST-21-0",8673008,18029991,10433,0.0578646988786628
"CCMD92404903ST",651643,7646441,49571,0.648288530572589
"CCMD93344354ST-21-0",8988282,24460981,11676,0.0477331632774663
"CCMD93755960ST",9437202,14245472,39042,0.274066033052467
"CCMD95431029ST",1697507,3417238,171322,5.01346409000485
"CCMD95433940ST-21-0",18961864,34618380,21961,0.0634373994392574
"CCMD95676152ST",3267487,5877043,7815,0.132975035234556
"CCMD96553385ST-21-0",6547088,23019554,12646,0.054935903623502
"CCMD98198513ST",2611482,5207481,5864,0.112607227947639
"CCMD98531134ST",4020865,5627185,15296,0.271823300637886
"CCMD98702133ST",7028073,15599216,26205,0.167989211765514
"CCMD99440714ST",4443634,14345976,31284,0.218068118892713
"CCMD99929634ST",8941382,7633737,20724,0.271479093398161
"G082",3153481,21939036,61680,0.281142708366949
"G098",9745289,19717472,168520,0.854673459153384
"G103",384155,5721513,48450,0.846803983491779
"G104",7385695,20516314,53305,0.259817626109641
"G105",6273337,18424254,61944,0.336208999289741
"G109",350371,28216991,22427,0.0794804803956595
"G115",6219017,19409119,79721,0.410739920755806
"G118",13473886,16397086,44871,0.273652281874962
"G129",5789685,21650231,80287,0.370836689917997
"G12",12497712,16222453,48783,0.300712845338495
"G130",5712379,26014777,110653,0.425346717367595
"G133",4164040,27498106,23092,0.0839766927947692
"G139",2831541,26649289,34501,0.129463116257998
"G208",6404993,19637217,35603,0.181303694917666
"G209",2388882,22416503,8932,0.0398456440774906
"G217",6763212,22122428,23937,0.108202408885679
"G230",5506181,22984577,11321,0.0492547676644212
"G241",10114337,16078959,133732,0.831720511259467
"G242",5777958,23323656,35638,0.152797657451302
"G256",8157359,18488199,35600,0.192555261872722
"G269",5720464,20095776,37046,0.184347198137559
"G276",6660904,19925070,22481,0.112827709011813
"G303",4946055,17220941,14201,0.0824635541112417
"G317",3306277,28926375,30957,0.107019977442732
"G318",7620605,25546074,74945,0.293371889551404
"G358",8426679,26286097,198138,0.753774894766614
"G361",4699569,24149784,19680,0.081491412097102
"G366",4609611,22044054,26300,0.119306548604898
"G374",6475371,19142120,19530,0.10202631683429
"G409",7326664,19967339,36339,0.181992202366074
"G411",5422493,18276365,141289,0.773069480720045
"G416",10204520,15774130,29829,0.189100761816975
"G41",756102,5101515,132097,2.58936806027229
"G424",10091822,22232043,30948,0.139204480667836
"G426",11215278,18850704,60267,0.319706892644434
"G429",274255,90976,112217,123.347915933873
"G431",11581136,14988861,32278,0.215346583039232
"G433",18131702,9879959,82488,0.834902250100431
"G441",6843600,22332238,107471,0.481237034998463
"G448",285939,2553852,51792,2.02799535760099
"G455",1060875,14418978,69588,0.482613955025107
"G458",5474953,26772722,36016,0.134524984049063
"G462",4908205,25116299,126798,0.504843488286232
"G479",17299397,13800734,74280,0.538232241850325
"G481",5415824,24856113,63796,0.256661208452021
"G4",6841436,17250350,62770,0.363876674966015
"G95",4415272,21560842,10387,0.0481752985342595
"G96",3885393,27906960,75075,0.269018911411347
"G97",14084335,15427970,400750,2.59755496024428
"G99",121096,24177320,2759,0.0114115212107876
"GF06",5700456,24502188,10833,0.0442123780945604
"GF12",822971,15374323,1324,0.00861176131137612
"GF15",10455230,12979598,17668,0.136121319011575
"GF16",7475850,10101841,10928,0.108178301361108
"GF17",4044588,7539001,6994,0.0927709122203326
"GF18",3021982,8549422,9443,0.110451911252012
"HmFeces_00001",595932,13598845,3115,0.0229063571207702
"HmFeces_10021",2006791,21644243,11425,0.0527853988702677
"HmFeces_10023",9321783,14639106,44079,0.301104452689939
"HmFeces_10025",9427077,11005190,36350,0.330298704520322
"HmFeces_10029",6578067,16510907,22896,0.138671969989293
"HmFeces_10030.1",572375,19580019,2465,0.0125893646987779
"HmFeces_10030",2679331,21759565,11974,0.0550286735971055
"HmFeces_10031",10855463,8558538,52581,0.614368949463098
"HmFeces_10033",9052029,9718820,46754,0.481066631545805
"HmFeces_10034",6098630,22879789,29567,0.129227590341851
"HmFeces_10036",1565999,26163160,8268,0.0316016872579612
"HmFeces_10037",3345593,23560946,16852,0.0715251416475383
"HmFeces_10038",2430431,21925034,9262,0.0422439481735809
"HmFeces_10040",2252670,4420235,11076,0.250574912872279
"HmFeces_10046",10392734,17501448,55115,0.314916800027061
"HmFeces_10047",17562130,11367030,84808,0.746087588402599
"HmFeces_10048",8113962,16360387,43272,0.26449252086763
"HmFeces_10052",11773628,20095055,63421,0.315605008296817
"HmFeces_10055",7094751,16131802,34823,0.215865530707605
"HmFeces_10058",16660775,13742660,99243,0.722152771006486
"HmFeces_10059",8284512,9637983,44956,0.466446143347628
"HmFeces_10060",5158298,20250446,33233,0.164109965775569
"HmFeces_10061",6609996,18831655,25953,0.137815821286021
"HmFeces_10066",6245615,10731949,27145,0.25293634921299
"HmFeces_10067.1",2949752,16735967,14080,0.0841301850081325
"HmFeces_10067",7605970,16578541,34470,0.207919382049361
"HmFeces_10073",6804749,12623243,32293,0.255821740894951
"HmFeces_10074",16276978,8411690,83993,0.998527049855618
"HmFeces_10076",3414424,28782873,22416,0.0778796473861383
"HmFeces_10077",10634118,9472059,52793,0.557355058704765
"HmFeces_10078",2714849,20422996,13323,0.0652352867326615
"HmFeces_10080",1162811,24075448,94048,0.390638629029873
"HmFeces_10081",5146745,9804262,24736,0.252298439188998
"HmFeces_10084",6540633,16114373,22438,0.139242153573087
"HmFeces_10089",5081971,22403201,33423,0.14918850212521
"HmFeces_10091.1",4466389,12888704,19801,0.153630652081078
"HmFeces_10091",6835406,11609882,22891,0.197168239952826
"HmFeces_10092",7431451,18506745,29380,0.158752930350529
"HmFeces_10096",8900683,11281719,32961,0.292162923043908
"HmFeces_10097.1",5424439,21864371,24863,0.113714682210616
"HmFeces_10097",13542334,8589615,46656,0.543167534284133
"HmFeces_10099.1",1172093,22791152,5281,0.0231712727816479
"HmFeces_10099",8246316,12852217,30385,0.236418354903282
"HmFeces_10100",3128547,19066689,16624,0.0871887090621764
"HmFeces_10103.1",3170439,17672993,12813,0.0725004530924671
"HmFeces_10103",9507956,12070869,42693,0.353686217620289
"HmFeces_10105",13251352,10324843,58512,0.566710796474097
"HmFeces_10106",7384415,16650013,28368,0.170378245350319
"HmFeces_10107",5098812,16131443,26979,0.167244802588336
"HmFeces_10109",2572642,11157293,7043,0.0631246306787856
"HmFeces_10111",3864673,17935611,20996,0.117063199017865
"HmFeces_10114",2525840,18493154,12862,0.0695500616065815
"HmFeces_10115",5607694,9291828,15507,0.16688858209601
"HmFeces_10118.1",11659023,9836578,47434,0.482220544583696
"HmFeces_10118",3087339,4487994,18739,0.417536208827374
"HmFeces_10119",2832846,15600900,15951,0.102244101301848
"HmFeces_10120",1702648,12749375,4646,0.0364410020099024
"HmFeces_10124",1942891,9801612,7420,0.0757018335351369
"HmFeces_10126.1",5800474,10904339,21497,0.197141706617889
"HmFeces_10126",9648642,23759381,51827,0.218132787213606
"HmFeces_10132",1345876,11871297,4798,0.0404168137651682
"HmFeces_10134",6485323,24362542,36571,0.15011159344538
"HmFeces_10135",11526339,15245777,68771,0.451082289869516
"HmFeces_10138",6876781,12545186,20358,0.162277386720293
"HmFeces_10140",4069732,10053250,13402,0.133310123591873
"HmFeces_10144",5047242,13792023,15446,0.111992272634696
"HmFeces_10147.1",5065873,5037973,21685,0.430431048360124
"HmFeces_10147",5862744,22184013,34724,0.156527135104005
"HmFeces_10150",7130740,28173561,35649,0.12653352552771
"HmFeces_10151",4229764,13288566,12737,0.0958493188806076
"HmFeces_10152",3703693,23089002,20783,0.0900125522965436
"HmFeces_10154",4707695,17606362,31196,0.177185951305556
"HmFeces_10158",9604832,20430110,41929,0.205231396208831
"HmFeces_10161",13914703,16108401,59625,0.370148470974866
"HmFeces_10165",8769118,16421723,41227,0.251051610114237
"HmFeces_10168",790820,5725359,3156,0.05512318092193
"HmFeces_10169",2548570,14729586,6953,0.047204313821176
"HmFeces_10170",2838835,15587329,7448,0.0477824006922546
"HmFeces_10171",12345279,22516381,57615,0.255880374381656
"HmFeces_10177",8275187,16850099,44349,0.263197266674813
"HmFeces_10178",8091600,19543435,43466,0.222407166396286
"HmFeces_10182",8220205,6980846,24697,0.353782335264236
"HmFeces_10183",320217,15555307,966,0.0062100992285141
"HmFeces_10185.1",3571623,7909404,14557,0.184046737276285
"HmFeces_10185",8648959,7413684,42423,0.572225630334392
"HmFeces_10188",2778496,23298542,21620,0.0927955062595762
"HmFeces_10191",6018427,14611856,28214,0.193089775864202
"HmFeces_10193",20480297,10991635,103811,0.944454578413494
"HmFeces_10194",1771130,6568694,12717,0.193600128122881
"HmFeces_10195",3330466,24868082,16227,0.0652523182125586
"HmFeces_10197",323019,14638855,4032,0.0275431377658977
"HmFeces_10198",1638473,22467364,10050,0.0447315492818828
"HmFeces_10199.1",2844864,14086852,11241,0.0797978143023012
"HmFeces_10199",1409780,16811471,5552,0.0330250696087213
"HmFeces_10200",5684748,21762928,35592,0.163544170159456
"HmFeces_10201",6655099,17367878,30380,0.174920620699892
"HmFeces_10203",14248566,16592830,66954,0.403511637255369
"HmFeces_10206",19244716,6641911,79984,1.20423173390911
"HmFeces_10207",22150908,14107133,101277,0.717913413023043
"HmFeces_10208",3321067,13100042,13108,0.100060747896839
"HmFeces_10209",7496823,18842866,45768,0.242892986661371
"HmFeces_10210",10381250,16070481,62741,0.390411463104309
"HmFeces_10212",11642169,13656801,67884,0.497071019779815
"HmFeces_10213",2994388,16068722,11452,0.0712688912036688
"HmFeces_10215",2774014,15686493,14435,0.0920218432507508
"HmFeces_10219",14203476,24601195,64372,0.261662085927127
"HmFeces_10220",1649268,25652339,8933,0.0348233352132139
"HmFeces_10221",7324145,16644951,36292,0.218036087940421
"HmFeces_10223",3734768,26884356,20927,0.0778408082380698
"HmFeces_10226",10645707,11118786,52236,0.469799490699794
"HmFeces_10229",4079678,11893728,12848,0.108023321199207
"HmFeces_10230",3458902,21618900,17416,0.0805591403817956
"HmFeces_10231",10576631,18086672,44576,0.246457723123414
"HmFeces_10232",9312224,16585644,38474,0.231971697933466
"HmFeces_10233",9390859,11816055,51359,0.434654374916163
"HmFeces_10234",14703235,15224518,73652,0.483772294137653
"HmFeces_10235",2154098,18349267,11520,0.0627817994037582
"HmFeces_10236.1",2523267,16003511,10566,0.0660230120752877
"HmFeces_10236",12770388,11464309,67733,0.590816245444885
"HmFeces_10237",3852619,28562292,20796,0.0728092829525026
"HmFeces_10238",3866636,16635232,18565,0.111600487447365
"HmFeces_10239",7260356,16502260,35818,0.217049058734985
"HmFeces_10241",5034977,16389173,26315,0.160563318234544
"HmFeces_10242",4215615,12322793,19990,0.162219717559161
"HmFeces_10244",13103961,21456849,65011,0.302984841809718
"HmFeces_10246",3081793,16294803,16163,0.099191134744004
"HmFeces_10248",14206752,12784933,70007,0.547574242274089
"HmFeces_10249",5167814,19634828,24560,0.125083856094894
"HmFeces_10250",4245049,18017813,15715,0.0872192424241499
"HmFeces_10251",5854379,27607911,31142,0.112801001133335
"HmFeces_10252",3625408,21726379,21695,0.0998555718833773
"HmFeces_10254",13790007,11723422,58335,0.497593620702215
"HmFeces_10255",3584929,22543841,19743,0.0875760257535528
"HmFeces_10256",9138792,7927886,50568,0.637849736991677
"HmFeces_10258",6844653,30403963,35147,0.115600061741951
"HmFeces_10259",4331320,20585190,21114,0.102568885689178
"HmFeces_10260.1",4776554,9955613,19651,0.197386137850075
"HmFeces_10260",6299771,28983920,28493,0.0983062332493327
"HmFeces_10261",8804430,22902199,41854,0.182751010066763
"HmFeces_10262",1772255,10945252,7019,0.0641282631044036
"HmFeces_10265",8190461,18074425,33902,0.187568899148936
"HmFeces_10266",1802676,14744667,8692,0.0589501275274647
"HmFeces_10267.1",1493310,14428144,5445,0.0377387417258935
"HmFeces_10267",5022559,7114879,23096,0.324615499434354
"HmFeces_10268",9323459,20154384,48795,0.242106134327896
"HmFeces_10269",12490973,18485022,59038,0.319382903628678
"HmFeces_10271",12373819,9521259,65526,0.688207305357411
"HmFeces_10272",6484525,26471246,41049,0.155070146679155
"HmFeces_10273",5822981,18792556,33435,0.17791619192195
"HmFeces_10274",3247873,12997665,15704,0.120821701436373
"HmFeces_10275",1773859,10421831,8499,0.0815499694823299
"HmFeces_10277",10837012,23773102,50814,0.213745770324798
"HmFeces_10280",2155800,18423330,10207,0.0554025792297049
"HmFeces_10281",5393478,35717850,25359,0.0709981143881841
"HmFeces_10282",10436993,25498513,56185,0.220346182540135
"HmFeces_10283",5516736,30986049,28591,0.0922705569851774
"HmFeces_10284",10842414,26669852,47822,0.17931108129134
"HmFeces_10285",2792623,9589771,12886,0.134372343197768
"HmFeces_10286",2874574,17909871,12050,0.0672813332938021
"HmFeces_10288",8662473,14815938,31614,0.213378322722463
"HmFeces_10290",6341789,14671062,27949,0.190504272969469
"HmFeces_10294",5263144,18710844,25882,0.138326202708975
"HmFeces_10296",4885225,28979501,23351,0.080577646937399
"HmFeces_10298",5815968,16247635,28231,0.173754518734573
"HmFeces_10299",3722944,9459894,13980,0.147781782755705
"HmFeces_10301",2371305,10238196,8569,0.0836963855741773
"HmFeces_10302",7018007,5953110,34817,0.584853967086111
"HmFeces_10303.1",376343,13831872,1491,0.0107794519787343
"HmFeces_10303",3649211,19093576,18805,0.0984886225608027
"HmFeces_10304",2995326,13116818,14709,0.112138477487452
"HmFeces_10306",3722147,17228460,21750,0.126244597601875
"HmFeces_10307.1",3830671,22301340,14660,0.0657359602606839
"HmFeces_10307",6161027,20824993,30206,0.145046867482741
"HmFeces_10308.1",1489371,11711927,6350,0.0542182341129688
"HmFeces_10308",10819252,16751208,55720,0.332632727144216
"HmFeces_10309",13155834,10844000,75924,0.700147547030616
"HmFeces_10312",6750683,13805046,35377,0.256261369936761
"HmFeces_10313",9700494,15455663,51445,0.332855342407505
"HmFeces_10315",4148874,10954663,13278,0.121208657902119
"HmFeces_10316",6590947,19753283,34270,0.173490148447729
"HmFeces_10317",9686870,15215632,43210,0.283984260397465
"HmFeces_10318",11900560,20944053,55523,0.265101506379878
"HmFeces_10320",7281905,12937639,39947,0.30876576475816
"HmFeces_10322",13971208,16215669,70398,0.434135649907506
"HmFeces_10323.1",936398,12519903,4518,0.0360865415650585
"HmFeces_10323",3100140,23122966,16083,0.0695542258722346
"HmFeces_10324",1440013,12639832,6299,0.0498345231170794
"HmFeces_10325",22990336,15512153,121039,0.780284980427926
"HmFeces_10327",3753355,21142152,19954,0.0943801747333952
"HmFeces_10329",7540051,25733883,39328,0.15282575117016
"HmFeces_10330",5049235,17764912,28163,0.158531604322048
"HmFeces_10332",4173403,25045391,20929,0.0835642773554623
"HmFeces_10333.1",4463170,6393162,18966,0.296660713431006
"HmFeces_10333",4490071,11616311,14560,0.125340996810433
"HmFeces_10334",5436704,20111331,29605,0.147205572818626
"HmFeces_10335",4227704,19503551,28283,0.145014618107236
"HmFeces_10336",5107302,21599221,30544,0.1414125074233
"HmFeces_10338",5736188,24435315,29612,0.121185259940377
"HmFeces_10339",2584730,15764552,12586,0.0798373464720089
"HmFeces_10340",9558087,5830401,52705,0.903968697864864
"HmFeces_10341",6872632,26525970,34344,0.129473116345981
"HmFeces_10345",12163593,14576010,56017,0.384309560709687
"HmFeces_10349",8031879,19344189,35873,0.185445872142792
"HmFeces_10350",20781653,25465490,94612,0.371530255259176
"HmFeces_10353",1139279,17832969,5468,0.0306623086710912
"HmFeces_10354",1152290,13059145,4278,0.0327586530358611
"HmFeces_10356",11918329,12447478,64388,0.517277475806746
"HmFeces_10357",7771039,12621220,38722,0.306800768863866
"HmFeces_10358",2879812,19757196,11937,0.0604184925836642
"HmFeces_10362",7506603,14785182,38175,0.258197700914334
"HmFeces_10364",11285371,13595339,55381,0.407352843500261
"HmFeces_10365",5369254,17345196,28247,0.162852008129513
"HmFeces_10366",4879884,18211540,25839,0.141882564571695
"HmFeces_10367",4699126,13569550,22750,0.167654785899311
"HmFeces_10368",4686455,10778749,14431,0.133883811562919
"HmFeces_10371",3833263,18843870,19828,0.105222547173166
"HmFeces_10374",6362471,20489051,36385,0.177582651339001
"HmFeces_10376",3877492,19005188,22382,0.117767843180504
"HmFeces_10377",11370484,10826186,58169,0.537299100532727
"HmFeces_10378",7027687,14004291,36537,0.260898606005831
"HmFeces_10380",8267015,13021716,34899,0.268006152184551
"HmFeces_10385",11082215,11622170,60224,0.518182060665091
"HmFeces_10389",4444966,9579285,13655,0.142547173405948
"HmFeces_10390",1750611,13537882,4419,0.0326417381980431
"HmFeces_10456",3745835,10388920,10063,0.0968628115338264
"HmFeces_10459",5596248,13795363,13244,0.096003272983828
"HmFeces_10461",5020876,14087329,12866,0.0913303011521914
"HmFeces_10462.1",925806,13766823,4405,0.0319972153342859
"HmFeces_10462",1235472,19163306,2570,0.0134110471335165
"HmFeces_10463",5071794,15443721,16368,0.105984820627101
"HmFeces_10464",1879450,16996435,4757,0.027988222236016
"HmFeces_10465",4978790,14046952,13074,0.0930735721172821
"HmFeces_10466",8129544,10362321,22448,0.216631003806966
"HmFeces_10468",8037486,11365972,18866,0.165986683760967
"HmFeces_10469",7750002,11197819,23349,0.208513818628431
"HmFeces_10470",3224372,11790618,9155,0.0776464812955521
"HmFeces_10471",6711956,15051777,21047,0.139830665840983
"HmFeces_10473",7071644,11883238,25135,0.211516423385613
"HmFeces_10476",198414,16242817,702,0.00432191041738634
"HmFeces_10480.1",2721666,11407244,11737,0.102890759591011
"HmFeces_10480",4058512,15267153,11356,0.0743819099736539
"HmFeces_10483",4398304,14621481,11418,0.0780905846678596
"HmFeces_10484",10294666,6791283,31361,0.461783141712693
"HmFeces_10485",4738382,15890540,12116,0.0762466222041542
"HmFeces_10486",4644282,15328879,11331,0.073919299643503
"HmFeces_10487",4080238,14203828,11803,0.0830973171457722
"HmFeces_10489",5506147,14535505,15182,0.104447695487704
"HmFeces_10492",786803,19648619,2031,0.0103366043180948
"HmFeces_10497",2421178,16023266,9373,0.0584961892288376
"HmFeces_10502",6932648,14876970,25626,0.172252817610038
"HmFeces_10503",4878975,8733924,15578,0.178361982540723
"HmFeces_10504",2387831,15486922,6565,0.0423906054411587
"HmFeces_10505.1",1771890,8330500,8119,0.0974611367865074
"HmFeces_10505",6339645,10660185,19533,0.18323321781001
"HmFeces_10508",2145246,16469158,7841,0.0476102056947902
