Sample	raw pair1	raw pair2	trimmed pair1	trimmed pair2	trimmed orphan1	trimmed orphan2	decontaminated Homo_sapiens pair1	decontaminated Homo_sapiens pair2	decontaminated Homo_sapiens orphan1	decontaminated Homo_sapiens orphan2	final pair1	final pair2	final orphan1	final orphan2
CCIS11558985ST-4-0	17480615.0	17480615.0	16654340.0	16654340.0	440581.0	353412.0	16652534.0	16652534.0	441047.0	353879.0	16652534.0	16652534.0	441047.0	353879.0
CCIS12370844ST-4-0	1981993.0	1981993.0	1882944.0	1882944.0	68956.0	26841.0	1337477.0	1337477.0	213138.0	177926.0	1337477.0	1337477.0	213138.0	177926.0
CCIS12656533ST-4-0	21293790.0	21293790.0	20171922.0	20171922.0	610211.0	473627.0	20170166.0	20170166.0	610781.0	474176.0	20170166.0	20170166.0	610781.0	474176.0
CCIS13047523ST-4-0	29557894.0	29557894.0	28323077.0	28323077.0	750300.0	441501.0	28322986.0	28322986.0	750339.0	441541.0	28322986.0	28322986.0	750339.0	441541.0
CCIS14449628ST-4-0	22367285.0	22367285.0	20857560.0	20857560.0	501304.0	947194.0	20855418.0	20855418.0	502225.0	948075.0	20855418.0	20855418.0	502225.0	948075.0
CCIS15704761ST-4-0	19267185.0	19267185.0	18268713.0	18268713.0	552332.0	407479.0	18267152.0	18267152.0	552809.0	408013.0	18267152.0	18267152.0	552809.0	408013.0
CCIS15794887ST-4-0	19330062.0	19330062.0	17731113.0	17731113.0	844941.0	674979.0	17727968.0	17727968.0	845868.0	676291.0	17727968.0	17727968.0	845868.0	676291.0
CCIS16326685ST-4-0	24000063.0	24000063.0	22544862.0	22544862.0	759109.0	623867.0	22543716.0	22543716.0	759340.0	624108.0	22543716.0	22543716.0	759340.0	624108.0
CCIS16383318ST-4-0	36238309.0	36238309.0	34530077.0	34530077.0	1141167.0	504425.0	34530016.0	34530016.0	1141195.0	504451.0	34530016.0	34530016.0	1141195.0	504451.0
CCIS16561622ST-4-0	41280291.0	41280291.0	39717648.0	39717648.0	792977.0	717504.0	39716262.0	39716262.0	793381.0	717920.0	39716262.0	39716262.0	793381.0	717920.0
CCIS17669415ST-4-0	30538779.0	30538779.0	28289132.0	28289132.0	1031094.0	1103876.0	28281421.0	28281421.0	1033911.0	1106570.0	28281421.0	28281421.0	1033911.0	1106570.0
CCIS19142497ST-3-0	12933986.0	12933986.0	10872814.0	10872814.0	538770.0	1383718.0	10872546.0	10872546.0	538852.0	1383823.0	10872546.0	10872546.0	538852.0	1383823.0
CCIS20795251ST-4-0	25358270.0	25358270.0	24060585.0	24060585.0	822386.0	429829.0	24060160.0	24060160.0	822531.0	429976.0	24060160.0	24060160.0	822531.0	429976.0
CCIS21126322ST-4-0	36157541.0	36157541.0	33558236.0	33558236.0	1285334.0	1184226.0	33557760.0	33557760.0	1285464.0	1184373.0	33557760.0	33557760.0	1285464.0	1184373.0
CCIS21278152ST-4-0	23458416.0	23458416.0	21650840.0	21650840.0	879587.0	831146.0	21650503.0	21650503.0	879661.0	831232.0	21650503.0	21650503.0	879661.0	831232.0
CCIS22275061ST-4-0	42358438.0	42358438.0	40354561.0	40354561.0	1121078.0	813886.0	40354468.0	40354468.0	1121112.0	813935.0	40354468.0	40354468.0	1121112.0	813935.0
CCIS22416007ST-4-0	42178363.0	42178363.0	40432023.0	40432023.0	836509.0	849658.0	40431850.0	40431850.0	836551.0	849707.0	40431850.0	40431850.0	836551.0	849707.0
CCIS22906510ST-20-0	40587980.0	40587980.0	39061674.0	39061674.0	871670.0	591323.0	39061536.0	39061536.0	871720.0	591372.0	39061536.0	39061536.0	871720.0	591372.0
CCIS22958137ST-20-0	46226004.0	46226004.0	44472410.0	44472410.0	1010180.0	670787.0	44471805.0	44471805.0	1010369.0	670993.0	44471805.0	44471805.0	1010369.0	670993.0
CCIS23164343ST-4-0	32281417.0	32281417.0	30945950.0	30945950.0	837994.0	447513.0	30945854.0	30945854.0	838033.0	447558.0	30945854.0	30945854.0	838033.0	447558.0
CCIS24254057ST-4-0	61932153.0	61932153.0	58607082.0	58607082.0	1941303.0	1236410.0	58606121.0	58606121.0	1941573.0	1236677.0	58606121.0	58606121.0	1941573.0	1236677.0
CCIS24898163ST-4-0	5647333.0	5647333.0	5225747.0	5225747.0	211544.0	191743.0	5225422.0	5225422.0	211668.0	191880.0	5225422.0	5225422.0	211668.0	191880.0
CCIS25399172ST-4-0	13361371.0	13361371.0	12548307.0	12548307.0	415641.0	363350.0	12547836.0	12547836.0	415803.0	363524.0	12547836.0	12547836.0	415803.0	363524.0
CCIS27304052ST-3-0	19441026.0	19441026.0	16736641.0	16736641.0	788782.0	1734797.0	16736078.0	16736078.0	788969.0	1735039.0	16736078.0	16736078.0	788969.0	1735039.0
CCIS27927933ST-4-0	44183270.0	44183270.0	41936352.0	41936352.0	1155015.0	1007263.0	41935535.0	41935535.0	1155170.0	1007406.0	41935535.0	41935535.0	1155170.0	1007406.0
CCIS28384594ST-4-0	25528379.0	25528379.0	24236218.0	24236218.0	737692.0	506499.0	24236064.0	24236064.0	737724.0	506544.0	24236064.0	24236064.0	737724.0	506544.0
CCIS29210128ST-4-0	21601905.0	21601905.0	20150343.0	20150343.0	744429.0	635967.0	20149003.0	20149003.0	744798.0	636307.0	20149003.0	20149003.0	744798.0	636307.0
CCIS29688262ST-20-0	38854418.0	38854418.0	37551137.0	37551137.0	734444.0	512473.0	37550699.0	37550699.0	734624.0	512649.0	37550699.0	37550699.0	734624.0	512649.0
CCIS31434951ST-20-0	13840048.0	13840048.0	13271794.0	13271794.0	326526.0	217875.0	13271677.0	13271677.0	326568.0	217912.0	13271677.0	13271677.0	326568.0	217912.0
CCIS32105356ST-4-0	23774880.0	23774880.0	22219261.0	22219261.0	793810.0	683910.0	22218921.0	22218921.0	793894.0	684022.0	22218921.0	22218921.0	793894.0	684022.0
CCIS32452666ST-4-0	25019747.0	25019747.0	23706512.0	23706512.0	792689.0	474656.0	23705818.0	23705818.0	792987.0	474931.0	23705818.0	23705818.0	792987.0	474931.0
CCIS33816588ST-4-0	30493004.0	30493004.0	29262068.0	29262068.0	589499.0	601027.0	29252677.0	29252677.0	592624.0	604133.0	29252677.0	29252677.0	592624.0	604133.0
CCIS34055159ST-4-0	21250090.0	21250090.0	20114092.0	20114092.0	583206.0	508453.0	20111761.0	20111761.0	583841.0	509135.0	20111761.0	20111761.0	583841.0	509135.0
CCIS34604008ST-4-0	33724649.0	33724649.0	32471587.0	32471587.0	724959.0	484705.0	32471444.0	32471444.0	725009.0	484746.0	32471444.0	32471444.0	725009.0	484746.0
CCIS35092938ST-4-0	20654081.0	20654081.0	19140804.0	19140804.0	716134.0	716575.0	19139894.0	19139894.0	716405.0	716800.0	19139894.0	19139894.0	716405.0	716800.0
CCIS35100175ST-4-0	25119675.0	25119675.0	23579692.0	23579692.0	989312.0	494988.0	23579545.0	23579545.0	989369.0	495038.0	23579545.0	23579545.0	989369.0	495038.0
CCIS36699628ST-4-0	31159348.0	31159348.0	29862152.0	29862152.0	822791.0	427226.0	29861955.0	29861955.0	822861.0	427292.0	29861955.0	29861955.0	822861.0	427292.0
CCIS36797902ST-4-0	19681060.0	19681060.0	18561601.0	18561601.0	753485.0	327379.0	18560525.0	18560525.0	753821.0	327724.0	18560525.0	18560525.0	753821.0	327724.0
CCIS37250421ST-4-0	22577160.0	22577160.0	21054485.0	21054485.0	526783.0	932990.0	21054168.0	21054168.0	526874.0	933100.0	21054168.0	21054168.0	526874.0	933100.0
CCIS38765456ST-20-0	38274855.0	38274855.0	36609373.0	36609373.0	965577.0	628918.0	36579265.0	36579265.0	975002.0	638208.0	36579265.0	36579265.0	975002.0	638208.0
CCIS40244499ST-3-0	24505848.0	24505848.0	22662390.0	22662390.0	720009.0	1041160.0	22659026.0	22659026.0	721208.0	1042571.0	22659026.0	22659026.0	721208.0	1042571.0
CCIS41222843ST-4-0	42370435.0	42370435.0	40802813.0	40802813.0	759416.0	754555.0	40802516.0	40802516.0	759482.0	754612.0	40802516.0	40802516.0	759482.0	754612.0
