"Gene1","Gene2","CRC_cor","CRC_pVal","adenoma_cor","adenoma_pVal","zScoreDiff","pValDiff","empPVals","pValDiff_adj","Classes"
"Butyrivibrio proteoclasticus","Leucoagaricus sp. SymC.cos",0.148114100103919,0.00155253656597187,0.103498879030752,0.053044520917926,-0.634952462731883,0.525459419277457,0.448576576576577,0.56493671693534,"+/0"
"Pseudobutyrivibrio xylanivorans","Aspergillus ochraceoroseus",0.0633112211178972,0.178102003885934,0.0182814642993301,0.733239189919071,-0.631754863512514,0.527547071811374,0.45045045045045,0.56493671693534,"0/0"
"Blautia sp. SC05B48","Thielaviopsis punctulata",-0.115576013357652,0.0137364078247366,-0.0708707280294108,0.185904996230088,0.631650361466012,0.527615370543748,0.45045045045045,0.56493671693534,"-/0"
"Streptococcus milleri","Aspergillus rambellii",0.0182240416293579,0.698559022860732,0.0629035247596657,0.240487132463287,0.626827076070634,0.530772593065821,0.452900900900901,0.56493671693534,"0/0"
"Blautia sp. SC05B48","Paracoccidioides brasiliensis",0.0923516996248869,0.0492359506823834,0.0478419320076204,0.372205453987,-0.626497836821193,0.530988455303542,0.452972972972973,0.56493671693534,"+/0"
"Anaerostipes hadrus","Edhazardia aedis",0.223728898553977,1.47140108852639e-06,0.180859036033912,0.000675005255529992,-0.626082147022244,0.531261061533403,0.453189189189189,0.56493671693534,"+/+"
"Prevotella intermedia","Colletotrichum fioriniae",-0.0284728129751439,0.545093762288159,-0.072904971334488,0.17355810661063,-0.623934006478668,0.532670926013927,0.454234234234234,0.56493671693534,"0/0"
"Fusobacterium nucleatum","Paracoccidioides brasiliensis",-0.0590210361986431,0.209404336048906,-0.0145549907258165,0.786130144934678,0.62364907677912,0.532858072785397,0.454414414414414,0.56493671693534,"0/0"
"Lactococcus garvieae","Tuber magnatum",0.00848383592923987,0.856938772087116,0.0528616219005308,0.324082958556084,0.622153578441549,0.533840887217092,0.455207207207207,0.56493671693534,"0/0"
"Streptococcus sp. JS71","Baudoinia panamericana",0.0675135051893257,0.150944813400928,0.0231988665842152,0.665365934790117,-0.621963558211959,0.533965830606906,0.455279279279279,0.56493671693534,"0/0"
"Bifidobacterium pseudocatenulatum","Naumovozyma dairenensis",0.0159745458417402,0.734265204650409,0.0602885987408646,0.260637745509422,0.621579337028628,0.53421851143975,0.455387387387387,0.56493671693534,"0/0"
"Streptococcus salivarius","Edhazardia aedis",0.0996827548534015,0.033720027446615,0.143387303517632,0.00721332459308899,0.621319954121142,0.534389127230671,0.455459459459459,0.56493671693534,"+/+"
"Butyrivibrio proteoclasticus","Aspergillus rambellii",-0.114789591431966,0.0143968951623155,-0.0709628905066265,0.185331988652418,0.61919208108431,0.535789828018542,0.456864864864865,0.566090605951261,"-/0"
"Streptococcus sp. I-P16","[Candida] arabinofermentans",0.0839331811685931,0.0740004064508084,0.127598470447946,0.0169228497758753,0.61850958933522,0.536239478644743,0.457225225225225,0.566090605951261,"0/+"
