,Class,Family,Genus,Kingdom,name,Order,Phylum,shared name,Label
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_anginosus,Bacilli,Streptococcaceae,Streptococcus,Bacteria,Streptococcus anginosus,Lactobacillales,Firmicutes,Streptococcus anginosus,Bac otu18
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_garvieae,Bacilli,Streptococcaceae,Lactococcus,Bacteria,Lactococcus garvieae,Lactobacillales,Firmicutes,Lactococcus garvieae,Bac otu19
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_ruminis,Bacilli,Lactobacillaceae,Lactobacillus,Bacteria,Lactobacillus ruminis,Lactobacillales,Firmicutes,Lactobacillus ruminis,Bac otu20
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|g__Gemella|s__Gemella_morbillorum,Bacilli,NA,Gemella,Bacteria,Gemella morbillorum,Bacillales,Firmicutes,Gemella morbillorum,Bac otu21
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_intermedia,Bacteroidia,Prevotellaceae,Prevotella,Bacteria,Prevotella intermedia,Bacteroidales,Bacteroidetes,Prevotella intermedia,Bac otu22
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_asaccharolytica,Bacteroidia,Porphyromonadaceae,Porphyromonas,Bacteria,Porphyromonas asaccharolytica,Bacteroidales,Bacteroidetes,Porphyromonas asaccharolytica,Bac otu23
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens,Coriobacteriia,Eggerthellaceae,Adlercreutzia,Bacteria,Adlercreutzia equolifaciens,Eggerthellales,Actinobacteria,Adlercreutzia equolifaciens,Bac otu24
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum,Actinobacteria,Bifidobacteriaceae,Bifidobacterium,Bacteria,Bifidobacterium pseudocatenulatum,Bifidobacteriales,Actinobacteria,Bifidobacterium pseudocatenulatum,Bac otu25
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,Actinobacteria,Bifidobacteriaceae,Bifidobacterium,Bacteria,Bifidobacterium longum,Bifidobacteriales,Actinobacteria,Bifidobacterium longum,Bac otu26
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum,Actinobacteria,Bifidobacteriaceae,Bifidobacterium,Bacteria,Bifidobacterium catenulatum,Bifidobacteriales,Actinobacteria,Bifidobacterium catenulatum,Bac otu27
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum,Actinobacteria,Bifidobacteriaceae,Bifidobacterium,Bacteria,Bifidobacterium bifidum,Bifidobacteriales,Actinobacteria,Bifidobacterium bifidum,Bac otu28
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_angulatum,Actinobacteria,Bifidobacteriaceae,Bifidobacterium,Bacteria,Bifidobacterium angulatum,Bifidobacteriales,Actinobacteria,Bifidobacterium angulatum,Bac otu29
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis,Actinobacteria,Bifidobacteriaceae,Bifidobacterium,Bacteria,Bifidobacterium adolescentis,Bifidobacteriales,Actinobacteria,Bifidobacterium adolescentis,Bac otu30
