"","Mean","CRC.1","CRC.2","CRC.3","CRC.4","CRC.5","CRC.6","CRC.7","CRC.8","CRC.9","CRC.10","Rank"
"Albugo_candida",6.19064592679629,6.75148865035433,6.12833006862317,6.12833006862317,6.12833006862317,6.12833006862317,6.12833006862317,6.12833006862317,6.12833006862317,6.12833006862317,6.12833006862317,29
"Lipomyces_starkeyi",0.379119878433096,3.79119878433096,0,0,0,0,0,0,0,0,0,33
"Naumovozyma_dairenensis",6.37835833562796,6.99358401409593,6.30999992690929,6.30999992690929,6.30999992690929,6.30999992690929,6.30999992690929,6.30999992690929,6.30999992690929,6.30999992690929,6.30999992690929,27
"Phytopythium_vexans",15.0233985247381,24.6956245222899,13.9487067472324,13.9487067472324,13.9487067472324,13.9487067472324,13.9487067472324,13.9487067472324,13.9487067472324,13.9487067472324,13.9487067472324,13
"Aspergillus_ochraceoroseus",16.307362506531,18.4825552218763,16.0656744270481,16.0656744270481,16.0656744270481,16.0656744270481,16.0656744270481,16.0656744270481,16.0656744270481,16.0656744270481,16.0656744270481,11
"Colletotrichum_fioriniae",6.38569824970061,5.42363935997369,6.49259368189249,6.49259368189249,6.49259368189249,6.49259368189249,6.49259368189249,6.49259368189249,6.49259368189249,6.49259368189249,6.49259368189249,26
"Coniochaeta_ligniaria",12.2865879373591,9.43654907892869,12.6032589216291,12.6032589216291,12.6032589216291,12.6032589216291,12.6032589216291,12.6032589216291,12.6032589216291,12.6032589216291,12.6032589216291,17
"Leucoagaricus_sp_SymC_cos",17.528088685068,16.2500956109804,17.6700879155222,17.6700879155222,17.6700879155222,17.6700879155222,17.6700879155222,17.6700879155222,17.6700879155222,17.6700879155222,17.6700879155222,10
"Colletotrichum_salicis",13.8737686707169,11.6307859827069,14.1229889693846,14.1229889693846,14.1229889693846,14.1229889693846,14.1229889693846,14.1229889693846,14.1229889693846,14.1229889693846,14.1229889693846,15
"Candida_arabinofermentans",2.42569482353255,0,2.69521647059173,2.69521647059173,2.69521647059173,2.69521647059173,2.69521647059173,2.69521647059173,2.69521647059173,2.69521647059173,2.69521647059173,32
"Baudoinia_panamericana",13.9607411834095,14.0830827643574,13.9471476744153,13.9471476744153,13.9471476744153,13.9471476744153,13.9471476744153,13.9471476744153,13.9471476744153,13.9471476744153,13.9471476744153,14
"Hyaloscypha_variabilis",11.3216317697036,16.422529603447,10.7548653437321,10.7548653437321,10.7548653437321,10.7548653437321,10.7548653437321,10.7548653437321,10.7548653437321,10.7548653437321,10.7548653437321,18
"Schizosaccharomyces_pombe",7.66862256736962,12.8706589223955,7.0906185279223,7.0906185279223,7.0906185279223,7.0906185279223,7.0906185279223,7.0906185279223,7.0906185279223,7.0906185279223,7.0906185279223,20
"Tuber_magnatum",7.11481426650804,4.78901378804798,7.37323654189249,7.37323654189249,7.37323654189249,7.37323654189249,7.37323654189249,7.37323654189249,7.37323654189249,7.37323654189249,7.37323654189249,23
"Thielaviopsis_punctulata",7.17065615351695,10.1625342980765,6.83822524856589,6.83822524856589,6.83822524856589,6.83822524856589,6.83822524856589,6.83822524856589,6.83822524856589,6.83822524856589,6.83822524856589,22
