"Gene1","Gene2","adenoma_cor","adenoma_pVal","CTRL_cor","CTRL_pVal","zScoreDiff","pValDiff","empPVals","pValDiff_adj","Classes"
"Butyrivibrio proteoclasticus","Colletotrichum salicis",0.145429457098296,0.00642027346440477,0.00461412485208484,0.916001726314585,-2.04800492156708,0.0405595171609981,0.0825396825396825,0.738396337183905,"+/0"
"Porphyromonas asaccharolytica","Tuber magnatum",-0.0975758220301454,0.0682580785185081,0.0416764658013318,0.340556737449484,2.01529148125342,0.043874116988018,0.0860119047619048,0.753821641377322,"0/0"
"Bifidobacterium catenulatum","Pneumocystis murina",-0.087103999533798,0.103773106662149,0.0520829276821224,0.233522491685623,2.01337847772538,0.0440748280201299,0.0862103174603175,0.753821641377322,"0/0"
"Romboutsia ilealis","Pseudocercospora musae",0.143251314784072,0.00726911874745939,0.00589634851172935,0.892784662162537,-1.99737647073596,0.0457843018624821,0.0879464285714286,0.76292348824421,"+/0"
"Bifidobacterium bifidum","Aspergillus kawachii",-0.0101003372172035,0.850650232425406,0.126790287736541,0.00361477293027779,1.98625948597593,0.0470045187204202,0.0888392857142857,0.762962215324831,"0/+"
"Streptococcus salivarius","Edhazardia aedis",0.143387303517632,0.00721332459308899,0.00745155109353433,0.864749134698771,-1.97692682893796,0.0480499017005536,0.0900297619047619,0.764299505394499,"+/0"
"Fusobacterium periodonticum","Paracoccidioides brasiliensis",-0.027091646638797,0.613476026052749,0.109001079082671,0.0124535381447499,1.97120317649883,0.0487006407415163,0.0905753968253968,0.764299505394499,"0/+"
"Streptococcus milleri","Aspergillus ochraceoroseus",0.119210334832935,0.0257340782454887,-0.0167005093976972,0.702631022554948,-1.97044976565589,0.0487868468391338,0.0905753968253968,0.764299505394499,"+/0"
"Dialister pneumosintes","Colletotrichum salicis",0.105932349647775,0.0476700065579543,-0.0295550676005822,0.49921515566819,-1.96197495204915,0.0497654005170947,0.0916666666666667,0.764299505394499,"+/0"
"Clostridium beijerinckii","Pneumocystis murina",0.0419936273592194,0.433530858820545,0.174373891354154,5.90193181546628e-05,1.9368668536178,0.0527616211668584,0.0942460317460317,0.764299505394499,"0/+"
