"Gene1","Gene2","adenoma_cor","adenoma_pVal","CTRL_cor","CTRL_pVal","zScoreDiff","pValDiff","empPVals","pValDiff_adj","Classes"
"Albugo candida","Coniochaeta ligniaria",-0.00932405032089414,0.862009463061232,-0.00340345992200178,0.937989205775177,0.0854818621349633,0.931878314606254,0.901686507936508,0.834827324355096,"0/0"
"Erysiphe pulchra","Schizosaccharomyces pombe",0.051446649713181,0.337220699992592,0.0572111519316058,0.190595399265383,0.0834712474088459,0.933476838832741,0.903720238095238,0.835891814785235,"0/0"
"Aspergillus kawachii","Aspergillus ochraceoroseus",-0.0364104970588479,0.497159144852151,-0.0308093052372079,0.481174697440226,0.0809585192023033,0.935474941053134,0.906894841269841,0.836853236368615,"0/0"
"Sphaerulina musiva","Debaryomyces hansenii",-0.0213389544201128,0.690753681511529,-0.0267308699518542,0.541113192613241,-0.0778906253053684,0.937915056678049,0.909871031746032,0.836853236368615,"0/0"
"Cordyceps sp. RAO-2017","Baudoinia panamericana",0.0332793973129495,0.534898912095849,0.0279025913756453,0.523519887708785,-0.0777001971541616,0.93806653727552,0.910119047619048,0.836853236368615,"0/0"
"Leucoagaricus sp. SymC.cos","Edhazardia aedis",0.147906247316813,0.0055638112973142,0.142814128359702,0.00103323284007173,-0.0751042441425418,0.940131771027149,0.912549603174603,0.837258307346783,"+/+"
"Aspergillus rambellii","Tuber magnatum",-0.0115235638436485,0.829906058152135,-0.0165673959379788,0.704889927838709,-0.0728345308579189,0.941937792267503,0.915426587301587,0.837258307346783,"0/0"
"Moniliophthora perniciosa","Trichophyton mentagrophytes",-0.0255151633457761,0.634277544847853,-0.0204783208492324,0.639678782866457,0.072757728060524,0.941998909879464,0.91547619047619,0.837258307346783,"0/0"
"Trichoderma atroviride","Choanephora cucurbitarum",0.0472908624426559,0.377744540384719,0.0424298047092877,0.331892646359107,-0.070322875374824,0.943936675660666,0.918452380952381,0.837258307346783,"0/0"
"Paracoccidioides brasiliensis","Albugo candida",0.00708026221218665,0.894994271989647,0.00230947167705642,0.957898763913781,-0.0688796364455754,0.945085427777937,0.920386904761905,0.837258307346783,"0/0"
"Sphaerulina musiva","Rhizophagus clarus",0.0043130729121135,0.93591759555702,0.00907712669994672,0.835625925222022,0.0687839395099981,0.945161602221206,0.920585317460317,0.837258307346783,"0/0"
