"","2014_ZellerG-Median","2014_ZellerG-low-CI","2014_ZellerG-high-CI","2015_FengQ-Median","2015_FengQ-low-CI","2015_FengQ-high-CI","2016_VogtmannE-Median","2016_VogtmannE-low-CI","2016_VogtmannE-high-CI","2019_Thom-Median","2019_Thom-low-CI","2019_Thom-high-CI","2019_WirbelJ-Median","2019_WirbelJ-low-CI","2019_WirbelJ-high-CI","2019_Yachida-Median","2019_Yachida-low-CI","2019_Yachida-high-CI","2021_JunY_1-Median","2021_JunY_1-low-CI","2021_JunY_1-high-CI","2021_JunY_2-Median","2021_JunY_2-low-CI","2021_JunY_2-high-CI"
"Rhizoclosmatium globosum",1.04398834817077,1.00970197038724,1.07991164344208,0.960520017970236,0.923521317843968,1.00004192993949,1.11389563607236,1.06783612117628,1.16041443757833,1.29993317527487,1.2360756613537,1.36458355938151,0.705141302675107,0.649603688395229,0.76671569767954,1.27502772225515,1.25772757350526,1.29244504840147,1.24779580204116,1.20755675964247,1.28920331646265,1.10771582260349,1.08266968232881,1.13371032813852
"Anaeromyces robustus",0.777094367499295,0.751950186919108,0.803270055459246,1.08334111717479,1.04168489704366,1.12715446789655,1.0774084450613,1.02773482499331,1.12960516188883,1.74994190757106,1.66067432496642,1.84284515406295,0.880568290778246,0.816177919755421,0.948202942996633,1.18925942573992,1.17530616914901,1.20344064109197,1.01336729606309,0.982619958658118,1.04492635426389,1.04758947922983,1.02710307006311,1.06855223976685
"Piromyces sp. E2",0.844800826618113,0.81660443994821,0.873659852176791,1.27565051202944,1.21782040221741,1.33682895066918,0.983790312422321,0.937089889332207,1.03345768534607,2.27182199098702,2.15688475265187,2.39469694629675,0.486158271092973,0.452398487931249,0.522101978616156,0.984697572317094,0.973501984927913,0.996011537215493,0.865099537611867,0.837673161036502,0.89357615829876,1.10362993937528,1.07671218064127,1.13131932915821
"Piromyces finnis",0.900578536828563,0.866297999014606,0.936341350402372,1.35565658176796,1.29409487268699,1.41976334467913,1.26635105075838,1.21124789483075,1.32444596829941,1.68749636833495,1.59021750686492,1.79757897600219,1.09874393125303,1.0022243912147,1.20804793016245,1.27170254002496,1.25583801253872,1.2877308435436,1.53360349810241,1.47950866477305,1.59034187915697,1.29027620858633,1.25942602648492,1.32172411564324
"Neocallimastix californiae",0.834130185421794,0.806169144514142,0.862655436465991,1.17466609381037,1.1223860558653,1.22907887107951,1.02872538126211,0.983309469445083,1.07623717958879,1.75777223057468,1.67085243216912,1.84552405183234,0.784879090508231,0.735332113906335,0.838268408934526,1.12625092991993,1.1135744330963,1.13907268630018,1.10766810398086,1.06865025192286,1.14849043744225,1.14853632953878,1.12203286872415,1.17566580461528
"Mortierella elongata",1.20244487817134,1.15908536203274,1.24913767948934,1.09132662137833,1.04561138954216,1.13955018114946,0.998102259119349,0.94642968645887,1.05088148100324,1.64294545821297,1.55849197106739,1.7361062969205,0.614737443398038,0.564130640288222,0.676116334370834,1.46275376813286,1.44046177666745,1.48606877361085,1.38401491919686,1.33787256097479,1.43171490038939,1.29598309644709,1.26352632564959,1.32945002819744
"Mortierella verticillata",1.42421762496489,1.37501357198866,1.47499825676929,1.32852617404514,1.25620820711452,1.4051322276588,1.02495596932363,0.972880446741615,1.07984381445519,1.57242959041271,1.49562102454765,1.65621142596113,1.15119045829397,1.05133439512348,1.26889347435183,1.2564149938652,1.23809195249566,1.27502657082114,2.06450935344085,1.97438651762094,2.15703014246256,1.60164265735527,1.563350001781,1.64097312435949
"Rhizophagus irregularis",0.695173632178329,0.673328317614928,0.718117757403104,1.16595184275173,1.1176584107417,1.21687669238562,0.931515123655456,0.89320580296346,0.971700474840396,1.58510982385051,1.51333203377761,1.66053670804212,0.443703079765649,0.411276248238832,0.478912847973379,1.05125207081295,1.03421386840541,1.06857165310391,1.10547877312771,1.06782911585806,1.14441765191173,0.953857677057897,0.934922740777516,0.973187597821807
"Rhizophagus clarus",0.737495559489974,0.713915263233684,0.761745636683688,0.912071675671493,0.881880481498589,0.943479996945698,1.01767114996516,0.979262606433869,1.05776237142975,1.5490562283767,1.47839780984242,1.62231459879153,0.489270247657773,0.460907225558627,0.519844594661111,1.13270866180631,1.12106141066857,1.14447591075932,0.7974727020147,0.776744387741537,0.818856412138704,0.979750407851016,0.959554041268538,1.00039131020227
"Bifiguratus adelaidae",1.35412070510593,1.28879554163691,1.42233320842052,1.13792826713898,1.06668372883966,1.21529572162428,1.15792525812256,1.09521432543226,1.2362641794515,2.1666549798477,2.00005236498153,2.34542408483572,0.786997723052402,0.716744409175497,0.863624895788133,2.04538829219505,2.00316861487979,2.09088837092569,1.35298579821461,1.30004587203742,1.41252544693939,1.17251312609972,1.14070740806577,1.20555676907929
"Syncephalastrum racemosum",1.11992318464942,1.08046460673533,1.16124570160326,1.6816537543076,1.60556351067498,1.76129730549833,0.985163381361436,0.920701905055281,1.05380320775185,1.45480113365445,1.37496958774253,1.5397035468741,0.653950103131048,0.608550162808292,0.703710015914184,1.89909488953656,1.85748152462357,1.94168689606166,1.26788982326269,1.22039867423924,1.31750806031621,1.03126994063399,1.00253703540441,1.06123646759291
"Lichtheimia corymbifera",1.20766745625019,1.16428332503756,1.25442933913437,1.51111878357309,1.44443829286434,1.58829762338879,1.39288050386257,1.3188834726494,1.47785205098918,2.0499782124963,1.91997575770355,2.19999543268835,0.94705383121887,0.873227478231872,1.02679325605056,2.16665858475835,2.1176799729824,2.20906820434934,1.72779026580972,1.65435433730686,1.80230532174091,1.50654973059299,1.46205007838604,1.55290959032119
"Lichtheimia ramosa",1.00325033243037,0.969214809094549,1.03842883547199,1.64486171266871,1.55815231781418,1.73891837713507,1.1450102330156,1.08330443044058,1.21251139373668,1.42102473724412,1.33527417314321,1.51090453216575,0.445656292490124,0.410649029758608,0.483357163602886,1.20960143641486,1.19288062897601,1.22667615541602,1.23419499626086,1.19849642092628,1.27081590978154,1.05589364985968,1.03218373267996,1.08039353054545
"Phycomyces blakesleeanus",1.0420557452716,1.01194167492691,1.07310627080929,1.12937444417555,1.09022004328178,1.17004003227509,1.11283228410136,1.05712349790039,1.17154741106106,2.12096281173562,2.0051479828926,2.24012548502606,0.68308277750979,0.633132388661558,0.736355563974805,1.29747313111059,1.27829483778091,1.31695107144016,1.19919921069911,1.16239088569461,1.2374471368856,1.14218902118101,1.11427507776013,1.17087757409214
"Hesseltinella vesiculosa",1.72324937866377,1.65887119560495,1.78955529305281,1.7083666913912,1.61259363587768,1.8186423498444,1.43217247359931,1.36111069811596,1.50814537250572,1.89997531634581,1.77495041887924,2.04164010361081,0.868114902893091,0.800048367496122,0.939805826134325,1.45161514767547,1.42503642982576,1.48023109982107,1.34473951397911,1.29734774879708,1.39369920039364,1.36238843186896,1.32145897664368,1.40493754591329
"Absidia glauca",1.05314052644263,1.02093460237132,1.08577629844223,1.34130749130041,1.28566010995607,1.40088581912827,0.892631627946042,0.853633193023425,0.933249976145992,1.95059213860036,1.83335250969118,2.07572442123654,0.607157817809057,0.573676787030028,0.642865703908199,1.19773114923441,1.18144383849166,1.21424649219259,1.07769402735334,1.04693554887305,1.10922702765924,1.09995437389846,1.07282532894879,1.12735116395886
"Absidia repens",1.04025501278775,1.00974755647907,1.07175088153339,1.48058109597995,1.41870866078751,1.54631186690127,1.21959802888239,1.15595512541109,1.28604182367493,1.67428803884616,1.59424997699995,1.75900606421129,0.585328649309947,0.551143675718571,0.620597885984125,1.20119534013541,1.18735773561932,1.21531667089374,1.08625869668157,1.05582526954012,1.11726078385827,1.10895177680541,1.08410529802729,1.13461730508491
"Choanephora cucurbitarum",0.845233584405072,0.81451025580062,0.876460589767185,1.5842793196651,1.50691452419187,1.66671180996641,1.00003827098495,0.951877746549443,1.05048992171628,1.91672482022091,1.80952269018548,2.03701768613441,0.476180648452304,0.449617890545527,0.50408785318131,1.31735558723981,1.29874806874122,1.33617305143658,0.931206732663267,0.904695938192374,0.958526139866758,1.13178545350313,1.1052271523073,1.15910187927803
"Mucor ambiguus",1.16206623997706,1.11591089518481,1.20974647302372,1.69698107171779,1.60007656916415,1.79291069456318,1.193774756613,1.13365016777486,1.25615970954855,1.24351267164726,1.16808678318405,1.32143607836982,0.642862209145662,0.600728293907528,0.688431629746405,1.34408656002669,1.32250154077731,1.36663268927259,1.27082145570413,1.22087811522002,1.32278126969143,1.20529954081019,1.17492983700594,1.23635188263338
"Mucor circinelloides",0.980762131776187,0.953660264372715,1.00860051173052,1.14325093525942,1.11115384788707,1.17579857383758,0.965215389863811,0.927260303678641,1.00518832768613,1.20085447516624,1.15550430238331,1.24878443648054,0.486612880262429,0.464882956003971,0.509640237076264,1.2718357659036,1.25462871804436,1.28933040205104,0.866323398024996,0.845226367168706,0.888204792686993,1.06616308445035,1.04306735960606,1.08986090921989
"Rhizopus microsporus",0.999975150089236,0.999918617099584,1.00001597007428,1.00008058815822,1.00001984412134,1.00001600126103,0.99996844168991,0.999951118075059,0.999988459888557,1.00000202731128,1.00001077833035,1.00007386593166,1.00002213455851,0.999970815606678,1.00003528432855,1.00001202886555,1.00006258392259,1.0000292496878,0.815842522626163,0.738041668861701,0.903810296877653,1.20984379033684,1.10248817386808,1.34217897222762
"Rhizopus delemar",0.900548369679574,0.870289654788839,0.932134850823728,1.67481559019651,1.5928834397142,1.76193112099403,1.21187271552489,1.15462093192343,1.27289130928556,1.84934607115184,1.75000877410306,1.95455729666345,0.574140858499938,0.534839219980105,0.617895406079096,1.1649997862634,1.15056061865041,1.17939139521786,0.92927881649708,0.895067460233686,0.964928091097855,1.12189203030922,1.09235300270774,1.15238562835889
"Trachipleistophora hominis",1.20836810555808,1.16658985780961,1.26428046136955,2.50549357882738,2.31244301652288,2.74996183937156,1.08329697332173,1.0099720625059,1.16657386903575,2.83334895834991,2.51244694483057,3.01248925148613,1.41211447469147,1.21241619941572,1.59994491141867,1.64829448428307,1.60716177645121,1.67664959465839,1.27545736069514,1.22067735853011,1.33334307117226,1.56666302637054,1.51789119548464,1.61608999747671
"Vavraia culicis",1.16673244675142,1.12504248413487,1.26782914431733,2.25002580149325,2.01254764818279,2.51248225941114,2.83338751310753,2.50003218744671,3.12505112734838,2.33332305028865,1.99995032091657,3.00003899829217,0.524910282706836,0.516627930880634,0.525068368956763,3.49997345870789,3.19857244757398,3.58332632206039,1.78578187749993,1.66672447758782,2.00001539337552,1.54994859547788,1.5025214175982,1.62496179485905
"Anncaliia algerae",0.839776463587055,0.808030356152201,0.873175095653585,1.17398043291153,1.11984011378,1.23187225235837,1.55888143697695,1.4719026716554,1.65334535130395,3.24998051180736,3.02507172370004,3.46873038766167,0.693040665146703,0.650268563083515,0.738720638300914,1.2316826222736,1.21431248361402,1.24992549299388,1.85334391196706,1.76721822847429,1.94351454306784,1.3446675579197,1.31276028234495,1.37743022898219
"Amphiamblys sp. WSBS2006",2.24998544653583,2.08337704805518,2.49997535104551,3.1999781887389,2.49991894192279,5.00124815410612,1.50004588644188,1.35000499132319,1.5999342963348,5.5000183851176,5.49999871622358,6.00004516037654,0.58330452480976,0.531287694800804,0.666674757595974,2.05001360685553,2.01005278959282,2.16675195442368,1.68753322796031,1.58327366583216,1.80003081161851,2.99995963153616,2.74996589496281,3.02493446991374
"Ordospora colligata",1.52502373910752,1.49999071488009,1.75003601722276,2.00000443502836,1.700019803635,2.04995763466025,1.52776564726802,1.50003578370514,1.75002639429079,2.12500020023089,1.58328465691088,2.99995985621673,0.624942272597311,0.57138996899486,0.700057954976793,1.99999741941022,1.80000940968828,2.00003224898208,0.833297638449969,0.76661617383581,0.928534311308493,1.85712388491721,1.74998218285356,2.0000201572829
"Pseudoloma neurophilia",1.06405968550767,1.00838564262537,1.12154124932397,1.12497298121278,1.05005275417896,1.21431558707673,1.00002883452057,0.947049287551082,1.05717716095164,1.74994910230866,1.59993132306028,1.83337340212801,0.458309997463407,0.424214067582343,0.499939415910279,1.85005544733549,1.80003937643048,1.89784706379397,0.650774373198945,0.626980728210741,0.675925271091646,1.1354306581402,1.09538190059073,1.17703469741811
"Nematocida parisii",1.00003022040717,1.00006318382659,1.00004395075784,0.999993540439694,0.999973110839623,0.999988656174501,1,1,1,1,1,1,1,1,1,0.99998083393289,0.999972348307759,0.999976846747353,0.999985392561953,0.999944690922566,0.999934996218076,0.999910984623172,0.999970977117917,0.999997151671098
"Nematocida displodere",1.49995759451768,1.16674889809625,1.50000088613145,0.999961774310834,0.999963133247884,1.00002900284334,2.08341733227264,1.99995983344326,2.50000704497912,1.54997317453674,1.02499884145427,2.99997631083678,0.999983431783766,0.99995796200982,0.999989256865944,2.02500371709151,2.00004580372815,2.26666099231832,1.49995527336404,1.25007497293178,1.50000717317724,1.00004177297967,0.999999396264013,1.00000532076315
"Nematocida sp. 1",1.75455344639981,1.62503576550497,1.90629758599582,1.68568108906618,1.51673617664704,1.87499888889729,1.50310885569979,1.33340234907502,1.74993997453701,5.49993353689353,5.04996584560809,6.49998097861028,0.712175882423812,0.624969103287769,0.772754222185797,1.50006736408245,1.44997374645755,1.53809495808766,1.32354455981891,1.2521328727705,1.39388869835103,1.00285200370648,0.970232347060213,1.04157582378097
"Nematocida sp. ERTm5",0.95004906925918,0.861176683243603,1.00554461527155,1.95839736712705,1.71052025562705,2.24995560887983,1.1666810352196,1.01251310129207,1.49995448157021,5.49996148004499,5.12498916519135,5.50001884573034,0.776746748511521,0.675064452701906,0.999968354517567,1.9999530857296,1.75007453268824,2.00005510247592,1.39995559167452,1.28127061762436,1.50001331896242,1.54994076054507,1.50513656224504,1.62499549029529
"Edhazardia aedis",0.727154528248414,0.698585217929353,0.756517801992447,1.24980016598681,1.20145813373467,1.30037189566123,1.11052745495269,1.06323238379752,1.15942865516023,1.33122732124112,1.27372631111896,1.39165446694113,0.443137122154704,0.415517917354897,0.473714773562857,1.2324473008722,1.21742177002635,1.24762950926024,0.778981545046935,0.756388341670506,0.802413032542829,0.985951243168496,0.963015103842902,1.00937854444241
"Spraguea lophii",0.983355891669478,0.927747793116482,1.03575090213931,1.76671211891369,1.62494513719751,1.91658090086229,2.04171302872744,1.86671723141925,2.2142613114276,3.12494912740128,2.599984740447,3.74998862891343,2.01476824856682,1.70827162637462,2.32143943987207,1.6110655820155,1.57692086414061,1.64995291455983,1.91492234544915,1.83135645026602,2.00455144355242,1.35304536344899,1.32078864264829,1.3865213198929
"Encephalitozoon intestinalis",1.08821651021625,1.00004667221535,1.25000715183641,1.00004420685864,1.0000445322687,1.00006308134019,1.00000152934794,1.00001558162444,1.00002331651302,1.00003494056688,1.00001912451087,1.00001087503516,0.999985075506259,0.55007517735137,0.999978946132921,0.999997163724373,0.999967538859805,0.999978661136957,1.0000652142445,1.00002908318788,1.00008233705353,0.999962731287656,0.999994101808284,0.999941187915711
"Encephalitozoon cuniculi",0.999976136648202,0.99999941342221,0.999968790920576,0.999943784340064,0.999960091545781,1.0000689359796,0.999967857934466,0.999960500241604,0.999935426185399,1.00003239336574,0.999998945018825,1.00006461789033,0.999924238798779,0.999900646199526,1,1.00001481603969,1.00003433597293,1.00002579522059,0.999977934559849,0.999946864400957,0.999991322915679,1.00004209214998,1.00004868770954,1.0000144992884
"Encephalitozoon hellem",0.99996581181473,0.999988251155977,0.99997852434273,0.599961746230764,0.550058272138567,0.749981351020852,0.999972256919778,0.999992297086523,1.00003209269321,0.999958692784768,0.999956246895404,0.999975983364808,0.52506067520215,0.524931872816423,0.549987523535242,1.00000956157738,1.00001141876391,1.00008369846055,0.999996336098356,0.88331519521947,0.999946462017452,1.00000927577051,1.00001387867621,1.00004532248633
"Encephalitozoon romaleae",1.19994786256509,1.0678054879484,1.3399051361962,2.7018863523946,2.16258353764776,3.3816850096254,1.00007642100325,1.00005518853518,1.02775199683648,5.49994568645039,4.01252213933233,9.13883608262975,0.749982762605471,0.54994985061945,0.99726504517646,1.00000751995096,1.00000223740608,1.00000393714793,1.79343599729754,1.62794718473745,2.00675171271545,2.66655602377666,2.43873222660133,2.92620987215457
"Vittaforma corneae",1.05556722163616,1.00003948319171,1.24996586989869,3.50723225702744,2.75001687431821,4.51662225629051,1.50005796668606,1.09998109391568,2.00007806478941,5.00003883452597,1.50002343445504,5.0166071805871,1.02384153030238,1.00000671618057,1.49992495643766,5.04997223555178,5.03572161391928,5.05004441547317,1.5045235005305,1.41665401457818,1.56244469264936,1.83329592024586,1.74994370216716,1.99992705105781
"Nosema apis",0.662805800655141,0.631252534614526,0.693712799944931,1.11524549834115,1.0528359657825,1.18177412937912,1.04997578869034,0.983074959864165,1.12502804766017,2.12500934557482,1.99997874215124,2.3392229665666,0.333309055294158,0.299951392025019,0.372541375407428,1.33336919177777,1.31240375571473,1.35714002005998,0.749999884666704,0.718242204353837,0.777252586191706,1.03804544610734,1.00836475209893,1.06838714042902
"Nosema ceranae",0.922097329613537,0.866633630042839,0.989212635332449,1.98696458677125,1.83331083524703,2.16664335463319,1.09800404758802,1.0250972795861,1.17852267194971,4.16668272798782,3.75001818043623,4.75000536675401,0.468029818999957,0.405131313609471,0.509991694294108,1.50002601242941,1.48033646704656,1.52495627255167,0.674649355480711,0.647570133006143,0.702420276841296,1.43890252124675,1.3963834140543,1.48371818702218
"Nosema bombycis",0.886324845385096,0.845197132069464,0.92863582028981,1.29996598453924,1.2205645698923,1.38425210452428,0.806227356444434,0.75759297465356,0.851196915808432,2.12498786835296,1.99994640196939,2.29994828964193,0.675026442059484,0.603866788861464,0.755494269012505,1.32502717892389,1.30211280871495,1.34707503470817,0.876359032433963,0.845825244955245,0.908530205625226,1.39015437115986,1.35207878201477,1.42862540776901
"Enterospora canceri",1.00004318590461,0.999978511511309,1.02496174546807,1.87497381208385,1.56247692334653,2.25626507712715,2.01674458923751,1.83324877857847,2.37501668895469,5.49999060833985,5.16671572184629,5.49998946820177,0.549983283293221,0.525004600681281,0.571394410329523,2.00003485710964,1.94442985745039,2.01256003257854,1.18743828222219,1.12494898957695,1.25000935040511,1.55549614687475,1.50559389006649,1.65911847995321
"Hepatospora eriocheir",1.01432157721953,0.968182290313575,1.06256377522621,1.45837564458817,1.3676192096388,1.55005122964975,1.8334124960659,1.66669889254909,2.03843933351153,2.71426803696048,2.5050525488702,3.0000465712137,0.624960435230418,0.571005156526299,0.700009126747053,1.48530749422868,1.43750553170421,1.50002308709401,0.926084089006713,0.892113156776879,0.961507825748828,1.28127982940992,1.24127038973603,1.32192379341031
"Enterocytozoon hepatopenaei",0.88335977418938,0.83331431514695,0.995111728106068,1.83334067446839,1.59530789054219,2.01673695998085,2.50292576545905,2.00003456688928,2.99998373145916,5.05003779498068,5.01249801764417,5.49999616346434,0.525000485913149,0.512500511179375,0.549934324348816,1.62498496280345,1.57228789768863,1.66670712013041,0.749986528988035,0.700030119970626,0.76665708803277,1.18690310406031,1.15388045319467,1.22726168442679
"Enterocytozoon bieneusi",0.988663537141811,0.952375123509329,1.02556100753444,1.15501090002472,1.09117291213448,1.22322006768142,1.05006710966612,0.994287006606518,1.10943962112798,1.20117623928372,1.13935772233388,1.26740468208079,0.637292777948387,0.599354327238985,0.678574832818817,1.30634410203963,1.28875943055594,1.32412456857697,1.06990968618432,1.03597569853405,1.10491356558894,1.13401388180055,1.10923632352086,1.15923324374587
"Wallemia mellicola",1.54381582304952,1.47522600367167,1.62100896265213,1.28566744938931,1.18748952321774,1.38748487410479,1.14335557670463,1.06058251459629,1.23080487317666,2.33330901967478,2.1150645288526,2.5500452283102,0.499999931891039,0.437468780227196,0.520750940464527,1.50627531081258,1.49486605670685,1.53568924729229,1.28128636325301,1.22494411189048,1.34242924566895,1.41667267760194,1.37499211218491,1.46668699243581
"Wallemia ichthyophaga",1.08039963834258,1.03628623810129,1.12497371727321,0.773789202181913,0.730046803810152,0.824928957667039,1.06246217706324,0.999951295438913,1.1363072152675,4.41666741064079,3.84724300322762,5.06248841995244,0.666627942673769,0.600013382939312,0.746723813444762,1.49996457503967,1.449907224448,1.50216353448853,1.39994225199663,1.33338149225238,1.47221526435047,1.53411661276833,1.48537681071389,1.58719878912541
"Mixia osmundae",2.16669345397985,2.05003331117182,2.28568931352398,1.50827351898824,1.33333433454248,1.75312234561752,1.06251801383897,1.00005607324052,1.12507833980912,1.60001298828658,1.50002957642259,1.74995664453881,1.05553394519994,0.975048484055092,1.17222118224063,1.60718326119085,1.57143409666987,1.66664400882533,1.55770185805341,1.50005918054368,1.62849195505454,1.97728323876572,1.89992196489668,2.04999922584907
"Microbotryum intermedium",2.44441094148273,2.29991737236496,2.58007515094184,1.25002436745035,1.16670212191234,1.37492080910812,1.25754557114936,1.18183923865552,1.34848479769528,1.24992007499593,1.1666439204513,1.33324913897874,0.791700188399832,0.734831097301731,0.85420842419238,1.53334762226931,1.50451494643704,1.56256200908049,1.59999497937566,1.52518703298133,1.67891927759487,1.81246004421635,1.75395733240948,1.86673713074445
"Leucosporidium creatinivorum",1.75830004084079,1.68884969747406,1.83338819501334,1.43258385419705,1.34998678805357,1.51658695743195,1.09313785294689,1.0249544469652,1.17019244074058,1.60720538282145,1.51432825588692,1.71054885026163,0.766757970143385,0.704864467890178,0.830073627723769,1.74749583100493,1.70252635302172,1.78099265792325,1.7031741079151,1.62657878295655,1.78438198053252,1.36680536181447,1.32887082132771,1.40549355337785
"Rhodotorula taiwanensis",2.81252443461261,2.66958948692348,2.96665864760558,1.58326561890302,1.48337762816372,1.6999926612985,1.06675046567277,1.00340860749799,1.14282272621202,1.91663687129248,1.80713828479474,2.02373375114545,1.03360946478319,0.928569461329555,1.15461687103411,2.50001085588809,2.43749483696965,2.53704783819816,1.58072548092288,1.5147118392147,1.64590807769476,2.59004370685634,2.49999436910542,2.68966308355882
"Rhodotorula graminis",2.44695995739831,2.31940847276633,2.58642385409339,1.42081956978104,1.3359372269142,1.51343924900366,1.35157470986771,1.27713031734451,1.43052729362553,1.56823215582935,1.4767056607777,1.66667971357303,0.802652261676657,0.728950014759641,0.890467120112825,1.83996145517846,1.8013248899459,1.88068253540043,1.7327510308121,1.65618548791667,1.81329145478343,1.69646778314036,1.6404931290282,1.75392253526118
"Rhodotorula toruloides",2.26561252558465,2.15865395693154,2.37604360849281,1.71194992478364,1.59852264963085,1.83334489885048,1.08045872809452,1.01705694730872,1.14930469464601,1.5948346143313,1.50895409520385,1.68459116234197,0.419654155905486,0.388895625203695,0.453307945331911,1.71267574498795,1.67998693856879,1.74723416131572,1.50029334994034,1.44503356489025,1.55863228740382,2.18684763029429,2.11320238749344,2.26184814329791
"Rhodotorula sp. JG-1b",2.30553591295174,2.18746134771025,2.44051313176575,1.33325416959198,1.24995739758781,1.41671555068485,1.27222160116415,1.18549853888316,1.36137577958424,2.21425331545642,2.07147483940316,2.37497961985786,0.648796459463836,0.59398035355407,0.708361065866779,1.75001107477306,1.71244434239886,1.79162227608266,1.23804265014116,1.18336252722538,1.2937546440599,1.77067864308334,1.7133244748733,1.83033138170722
