"Gene1","Gene2","CRC_cor","CRC_pVal","CTRL_cor","CTRL_pVal","zScoreDiff","pValDiff","empPVals","pValDiff_adj","Classes"
"Streptococcus thermophilus","Albugo candida",0.197173348187283,2.32392184154051e-05,-0.00127518287681124,0.976746171659227,-3.12754561051333,0.0017627246710941,0.0420540540540541,0.469841603301475,"+/0"
"Parvimonas micra","Edhazardia aedis",-0.0329605338998779,0.483581736118919,0.165877212459813,0.000134457466496762,3.11714969292589,0.00182608824069018,0.0423783783783784,0.469841603301475,"0/+"
"Blautia sp. SC05B48","Erysiphe pulchra",-0.0727188927248876,0.121810450573121,0.124732669587554,0.00420501174721566,3.08349566362436,0.00204584091737373,0.0432072072072072,0.469841603301475,"0/+"
"Streptococcus sp. FDAARGOS 192","Albugo candida",0.241387728995625,1.92621019579065e-07,0.0511007629114171,0.242468712268404,-3.03478922707217,0.00240703838790804,0.0447207207207207,0.469841603301475,"+/0"
"Streptococcus sp. HSISS1","Albugo candida",0.236997292326369,3.24196955059364e-07,0.0474363678501799,0.277955383442197,-3.01948998329894,0.00253200665572623,0.0449369369369369,0.469841603301475,"+/0"
"Streptococcus sp. HSISS2","Albugo candida",0.238449708172907,2.73208945689163e-07,0.0498953703760609,0.253773194272662,-3.00509502749025,0.00265497886874191,0.0455855855855856,0.469841603301475,"+/0"
"Streptococcus sp. JS71","Naumovozyma dairenensis",0.187566962269766,5.78856361590496e-05,-0.000897956486255312,0.983623986281976,-2.96650791617139,0.00301202607043868,0.0464144144144144,0.469841603301475,"+/0"
"Adlercreutzia equolifaciens","Baudoinia panamericana",0.0671196494179377,0.153348057823858,0.251715176048924,4.96933516558329e-09,2.95577949308856,0.00311879978138772,0.0467747747747748,0.469841603301475,"0/+"
"Parvimonas micra","Phytophthora capsici",0.0122116307029504,0.795258007282267,0.199077315470502,4.29336932983304e-06,2.94857623730773,0.00319241388615175,0.046954954954955,0.469841603301475,"0/+"
"Pseudobutyrivibrio xylanivorans","Rhizophagus irregularis",0.250760171840424,6.12736554828075e-08,0.0666988157936951,0.126930395757374,-2.94649913623288,0.00321393316681856,0.0470630630630631,0.469841603301475,"+/0"
"Fusobacterium nucleatum","Thielaviopsis punctulata",0.155050375990096,0.000917545499566241,-0.0326363671130294,0.45554087248824,-2.93923871382581,0.00329019556540898,0.0471711711711712,0.469841603301475,"+/0"
"Parvimonas micra","Thielaviopsis punctulata",0.267990825555658,6.59775922784434e-09,0.0859599219475905,0.0490059972804022,-2.93249196493742,0.00336253623439657,0.0473153153153153,0.469841603301475,"+/+"
"Streptococcus sp. HSISS1","Schizosaccharomyces pombe",0.196621433575,2.45200008350821e-05,0.0122145099975673,0.780081435075244,-2.90877415958883,0.00362848873312951,0.0482522522522522,0.469841603301475,"+/0"
"Lactobacillus ruminis","Albugo candida",0.191466688201047,4.01804979073273e-05,0.00890122193292305,0.838767290723149,-2.8769988457774,0.00401477063822113,0.0491531531531532,0.469841603301475,"+/0"
"Romboutsia ilealis","Aspergillus ochraceoroseus",0.215448594434964,3.61308727159226e-06,0.0342433019535406,0.433643504769599,-2.87176826754045,0.00408182164486153,0.0492612612612613,0.469841603301475,"+/0"
"Fusobacterium periodonticum","Cordyceps sp. RAO-2017",0.0865654862661975,0.0653508494775237,-0.0967734596389165,0.0266039879120461,-2.85992247283268,0.00423744585373202,0.0498378378378378,0.469841603301475,"0/-"
"Streptococcus sp. HSISS1","Lipomyces starkeyi",0.159946148109072,0.000624674036777684,-0.0187635089014207,0.66796761265071,-2.80139224160522,0.00508826313001923,0.0516756756756757,0.469841603301475,"+/0"
