"","Cohort","Feature","Seed","AUC","MeanAUC","Kingdoms"
"160","2014_ZellerG","Baudoinia_panamericana","9","49.1",55.33,"fungi"
"161","2014_ZellerG","Sphaerulina_musiva","7","46.56",49.97,"fungi"
"162","2014_ZellerG","Cercospora_beticola","5","61.95",60.59,"fungi"
"163","2014_ZellerG","Cercospora_zeina","6","45.4",52.81,"fungi"
"164","2014_ZellerG","Cercospora_berteroae","7","56.62",49.95,"fungi"
"165","2014_ZellerG","Zymoseptoria_tritici","7","54.55",57.06,"fungi"
"166","2014_ZellerG","Pseudocercospora_eumusae","1","47.87",46.31,"fungi"
"167","2014_ZellerG","Pseudocercospora_musae","8","57.07",48.92,"fungi"
"168","2014_ZellerG","Pseudocercospora_fijiensis","3","49.67",51.35,"fungi"
"169","2014_ZellerG","Phaeomoniella_chlamydospora","7","49.91",49.17,"fungi"
"170","2014_ZellerG","Endocarpon_pusillum","7","53.51",49.97,"fungi"
"171","2014_ZellerG","Phialophora_americana","9","47.25",44.76,"fungi"
"172","2014_ZellerG","Capronia_epimyces","9","49.91",56.25,"fungi"
"173","2014_ZellerG","Exophiala_aquamarina","2","44.64",49.62,"fungi"
"174","2014_ZellerG","Trichophyton_mentagrophytes","8","28.06",37.58,"fungi"
"175","2014_ZellerG","Paracoccidioides_brasiliensis","5","45.85",48.33,"fungi"
"176","2014_ZellerG","Paracoccidioides_lutzii","9","53.08",54.18,"fungi"
"177","2014_ZellerG","Emergomyces_pasteurianus","3","36.84",44.45,"fungi"
"178","2014_ZellerG","Polytolypa_hystricis","1","54.51",46.16,"fungi"
"179","2014_ZellerG","Histoplasma_capsulatum","9","48.29",58.97,"fungi"
"180","2014_ZellerG","Emmonsia_crescens","4","57.42",55.85,"fungi"
"181","2014_ZellerG","Blastomyces_gilchristii","6","39.35",49.66,"fungi"
"182","2014_ZellerG","Blastomyces_dermatitidis","4","46.61",50.77,"fungi"
"183","2014_ZellerG","Elaphomyces_granulatus","7","48.67",48.24,"fungi"
"184","2014_ZellerG","Talaromyces_islandicus","3","58.42",60.55,"fungi"
"185","2014_ZellerG","Talaromyces_rugulosus","3","61.53",62.46,"fungi"
"186","2014_ZellerG","Penicilliopsis_zonata","9","41.94",45.98,"fungi"
"187","2014_ZellerG","Penicillium_roqueforti","4","48.22",49.72,"fungi"
"188","2014_ZellerG","Penicillium_nalgiovense","5","56.78",56.16,"fungi"
"189","2014_ZellerG","Penicillium_brasilianum","1","50.14",52.79,"fungi"
"190","2014_ZellerG","Penicillium_camemberti","3","44.12",43.92,"fungi"
"191","2014_ZellerG","Penicillium_decumbens","5","51.85",51.22,"fungi"
"192","2014_ZellerG","Penicillium_oxalicum","2","55.43",58.12,"fungi"
"193","2014_ZellerG","Penicillium_subrubescens","4","48.17",49.51,"fungi"
"194","2014_ZellerG","Aspergillus_ochraceoroseus","3","43.74",42.14,"fungi"
"195","2014_ZellerG","Aspergillus_kawachii","3","48.81",48.71,"fungi"
"196","2014_ZellerG","Aspergillus_oryzae","2","62.33",54.15,"fungi"
"197","2014_ZellerG","Aspergillus_udagawae","7","54.98",55.59,"fungi"
"198","2014_ZellerG","Aspergillus_ustus","8","52.02",50.52,"fungi"
"199","2014_ZellerG","Aspergillus_calidoustus","1","51.54",48.82,"fungi"
"200","2014_ZellerG","Aspergillus_rambellii","2","41.41",48.99,"fungi"
"201","2014_ZellerG","Aspergillus_ellipticus","9","62.33",54.69,"fungi"
"202","2014_ZellerG","Aspergillus_saccharolyticus","10","48.55",51.55,"fungi"
"203","2014_ZellerG","Aspergillus_nomius","1","46.87",44.62,"fungi"
"204","2014_ZellerG","Aspergillus_wentii","5","53.61",48.44,"fungi"
"205","2014_ZellerG","Aspergillus_fumigatus","2","55.38",49.52,"fungi"
"206","2014_ZellerG","Aspergillus_ruber","2","57.52",53.36,"fungi"
"207","2014_ZellerG","Aspergillus_sydowii","9","42.67",53.85,"fungi"
"208","2014_ZellerG","Aspergillus_nidulans","9","61.74",58.56,"fungi"
"209","2014_ZellerG","Aspergillus_heteromorphus","6","54.32",51.58,"fungi"
"210","2014_ZellerG","Aspergillus_steynii","3","50.31",51.45,"fungi"
"211","2014_ZellerG","Aspergillus_taichungensis","5","55.48",61.16,"fungi"
"212","2014_ZellerG","Blumeria_graminis","1","48.98",46.07,"fungi"
"213","2014_ZellerG","Erysiphe_necator","1","45",48.08,"fungi"
"214","2014_ZellerG","Erysiphe_pulchra","1","50.38",51.93,"fungi"
"215","2014_ZellerG","Amorphotheca_resinae","5","45.94",50.16,"fungi"
"216","2014_ZellerG","Pseudogymnoascus_sp_WSF_3629","9","52.23",53.88,"fungi"
"217","2014_ZellerG","Pseudogymnoascus_sp_VKM_F_3808","4","58.25",50.77,"fungi"
"218","2014_ZellerG","Rutstroemia_sp_NJR_2017a_BBW","9","45.37",48.83,"fungi"
"219","2014_ZellerG","Rutstroemia_sp_NJR_2017a_WRK4","3","48.65",53.84,"fungi"
"220","2014_ZellerG","Pezoloma_ericae","1","46.13",46.83,"fungi"
"221","2014_ZellerG","Diplocarpon_rosae","3","58.92",55.01,"fungi"
"222","2014_ZellerG","Marssonina_brunnea","6","41.77",47.17,"fungi"
"223","2014_ZellerG","Hyaloscypha_variabilis","2","45.9",46.29,"fungi"
"224","2014_ZellerG","Hyaloscypha_bicolor","4","56.93",52.06,"fungi"
"225","2014_ZellerG","Phialocephala_subalpina","9","44.54",49.71,"fungi"
"226","2014_ZellerG","Cadophora_sp_DSE1049","3","52.68",52.1,"fungi"
"227","2014_ZellerG","Rhynchosporium_secalis","2","43.1",48.03,"fungi"
"228","2014_ZellerG","Botrytis_cinerea","6","59.72",51.95,"fungi"
"229","2014_ZellerG","Sclerotinia_sclerotiorum","9","63.76",53.29,"fungi"
"230","2014_ZellerG","Sclerotinia_borealis","9","45.78",50.72,"fungi"
"231","2014_ZellerG","Microdochium_bolleyi","3","60.06",58.64,"fungi"
"232","2014_ZellerG","Pestalotiopsis_fici","7","49.31",47.67,"fungi"
"233","2014_ZellerG","Eutypa_lata","4","34.01",47.29,"fungi"
"234","2014_ZellerG","Pseudomassariella_vexata","6","54.93",53.02,"fungi"
"235","2014_ZellerG","Rosellinia_necatrix","6","41.91",48.63,"fungi"
"236","2014_ZellerG","Hypoxylon_sp_CO27_5","6","46.96",45.09,"fungi"
"237","2014_ZellerG","Phaeoacremonium_minimum","6","49.6",55.79,"fungi"
"238","2014_ZellerG","Coniochaeta_ligniaria","3","38.78",45.86,"fungi"
"239","2014_ZellerG","Pyricularia_grisea","8","47.25",47.76,"fungi"
"240","2014_ZellerG","Pyricularia_oryzae","6","54.6",56.5,"fungi"
