,p_values,adj_pvalue,mFC,AbsLog2FC
Endocarpon pusillum,0.772594212,0.877794143,0.986723111,0.019282795
Neurospora crassa,0.860323198,0.925246806,1.013396426,0.019198646
Mucor circinelloides,0.754609314,0.869926275,1.012888043,0.018474719
Rachicladosporium antarcticum,0.822956683,0.906739627,0.98740854,0.018280972
Pochonia chlamydosporia,0.827726758,0.906739627,0.98804267,0.017354747
Ganoderma sinense,0.849268357,0.920440496,1.010630005,0.015254919
Aureobasidium subglaciale,0.852029378,0.920440496,0.989511733,0.01521128
Laetiporus sulphureus,0.831069605,0.906739627,0.99040696,0.013906642
Penicilliopsis zonata,0.8873498,0.936501504,0.990532182,0.013724247
Phytophthora ramorum,0.901641952,0.943785046,1.008645226,0.012418819
Epicoccum nigrum,0.881908778,0.936286264,1.008641344,0.012413268
Ustilaginoidea virens,0.882513066,0.936286264,1.008630716,0.012398066
Aspergillus ruber,0.916573648,0.950508483,0.991660516,0.01208178
Pyricularia grisea,0.877197722,0.936286264,1.008118777,0.011665627
Rhodotorula toruloides,0.889043657,0.936501504,0.99219593,0.011303056
Pseudocercospora fijiensis,0.86273013,0.925246806,0.992229249,0.01125461
Aspergillus wentii,0.9027334,0.943785046,0.993552086,0.009332494
Mucor ambiguus,0.918396709,0.950508483,0.994065227,0.008587576
Choanephora cucurbitarum,0.90552349,0.943785046,0.994366781,0.008149995
Absidia glauca,0.928370111,0.95415817,0.995452663,0.006575382
Phytophthora infestans,0.922287329,0.951209231,1.004507008,0.006487628
Syncephalastrum racemosum,0.950544176,0.972335942,1.003757962,0.005411432
Vanderwaltozyma polyspora,0.953715431,0.972335942,1.003294084,0.004744548
Termitomyces sp. J132,0.955911349,0.972335942,0.997327152,0.003861267
Enterocytozoon bieneusi,0.959816017,0.972964182,1.002434619,0.003508144
Naumovozyma castellii,0.986193055,0.989536083,0.998581892,0.002047349
Lichtheimia ramosa,0.97788618,0.987898667,1.001148007,0.001655274
Pythium iwayamai,0.98594871,0.989536083,0.999055848,0.001362766
Hyaloscypha variabilis,0.997922748,0.997922748,1.000154767,0.000223264
