"","p_values","adj_pvalue","mFC","AbsLog2FC"
"Stachybotrys chartarum",0.823314203431731,0.912737843504841,0.988205947005806,0.0171163569627271
"Postia placenta",0.86032316976791,0.926020606380223,1.01180723156765,0.0169344554947242
"Sporisorium graminicola",0.873697435297776,0.936076438666612,1.01119120246712,0.0160558169936834
"Armillaria gallica",0.850708661466412,0.926020606380223,0.989286307987408,0.0155399850890453
"Pezoloma ericae",0.842074472115831,0.926020606380223,1.0104269671917,0.0149650487061972
"Talaromyces rugulosus",0.875990451049499,0.936076438666612,1.00935237608645,0.0134299231886771
"Hypholoma sublateritium",0.887591746715057,0.937138874853367,1.00813825569459,0.0116935030514682
"Piloderma croceum",0.879613115173491,0.936566482342997,0.99205093889232,0.0115138942343076
"Periconia macrospinosa",0.886865934423457,0.937138874853367,0.992302658319411,0.0111478764322201
"Aspergillus wentii",0.915358516847981,0.957406787939938,1.00640923788827,0.00921706997135947
"Cordyceps militaris",0.902369563511877,0.947168052480551,0.993789816992246,0.00898733570215111
"Mucor circinelloides",0.88964872916823,0.937138874853367,1.00594496375024,0.00855137602157533
"Moesziomyces antarcticus",0.942010211538069,0.968177161858571,0.994202422770461,0.00838847590107751
"Coprinopsis cinerea",0.941157164586594,0.968177161858571,0.995060523643367,0.00714381596012632
"Metarhizium album",0.938598433985867,0.968177161858571,1.00434223187735,0.00625095464910735
"Botrytis cinerea",0.934700642242951,0.968177161858571,0.995875583659151,0.00596257955160834
"Absidia repens",0.93396997857856,0.968177161858571,0.996241449372514,0.00543265821919333
"Gelatoporia subvermispora",0.955179337939589,0.97159135405539,0.996291809927893,0.00535973103147617
"Colletotrichum gloeosporioides",0.948836897078627,0.968468005294047,1.0036182188529,0.00521056558686893
"Lachancea fermentati",0.96335545804035,0.976552108150492,0.996477172396275,0.00509133914356036
"Histoplasma capsulatum",0.948105278179371,0.968468005294047,1.00260499238204,0.00375332302192495
"Fusarium verticillioides",0.986681750801359,0.99002643470238,0.998547573533868,0.00209693164835502
"Saccharomyces eubayanus",0.985093510902086,0.99002643470238,1.00130156365474,0.00187653847769266
"Candida albicans",0.9861930538017,0.99002643470238,0.999180582418043,0.0011826542919683
"Sphaerobolus stellatus",0.991080210330143,0.991080210330143,1.00045919965042,0.00066233299853143
